edit_index,doc_name,node_ix_src,node_ix_tgt,text_src,text_tgt,a,b,c,gold,node_type_src,node_type_tgt,parent_node_src,parent_node_tgt,s_index
10,10-ARR,"10-ARR_v2_12@7==26,114","10-ARR_v1_12@5==11,115",but enhance the generation process by infusing commonsense and domain specific knowledge,"our work uses external knowledge sources, but with several different settings to enhance text generation","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,10-ARR_v2_12@7,10-ARR_v1_12@5,36
11,10-ARR,"10-ARR_v2_12@7==115,163","10-ARR_v1_12@5==116,144",to better emulate what counselors do in practice,for counseling conversations,"Modify,Fact/Evidence","Modify,Claim","Modify,Claim","Modify,Claim",ss,ss,10-ARR_v2_12@7,10-ARR_v1_12@5,36
12,10-ARR,"10-ARR_v2_13@4==0,28","10-ARR_v1_13@0==0,46",External knowledge resources,There are various types of knowledge resources,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_13@4,10-ARR_v1_13@0,37
13,10-ARR,"10-ARR_v2_13@4==29,51","10-ARR_v1_13@0==47,63",have been found useful,that can be used,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_13@4,10-ARR_v1_13@0,37
14,10-ARR,"10-ARR_v2_13@4==52,81","10-ARR_v1_13@0==64,90",for enhancing language models,to enhance language models,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_13@4,10-ARR_v1_13@0,37
15,10-ARR,"10-ARR_v2_13@5==13,71","10-ARR_v1_13@1==13,66",large-scale commonsense knowledge graphs (CSKG) that store,large-scale commonsense knowledge graphs (CSKG) store,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_13@5,10-ARR_v1_13@1,38
16,10-ARR,"10-ARR_v2_18@0==109,154","10-ARR_v1_18@0==109,152",incorporate knowledge into the language model,incorporate knowledge in the language model,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_18@0,10-ARR_v1_18@0,39
17,10-ARR,"10-ARR_v2_20@0==106,130","10-ARR_v1_20@0==106,135",domain-specific concepts,some domain-specific concepts,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_20@0,10-ARR_v1_20@0,40
18,10-ARR,"10-ARR_v2_20@0==132,167","10-ARR_v1_20@0==137,168",especially for causal relationships,especially causal relationships,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_20@0,10-ARR_v1_20@0,40
19,10-ARR,"10-ARR_v2_26@2==57,104","10-ARR_v1_24@2==57,89","1,331 sentences with cause-effect relationships","1,331 cause-effect relationships","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_26@2,10-ARR_v1_24@2,21
20,10-ARR,"10-ARR_v2_5@0==36,138","10-ARR_v1_4@2==0,82",reflective listening has always been a fundamental procedure underlying effective counseling practices,Effective counseling practice calls for reflective listening as an essential skill,"Modify,Clarity","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,10-ARR_v2_5@0,10-ARR_v1_4@2,22
21,10-ARR,"10-ARR_v2_24@1==55,95","10-ARR_v1_22@3==55,88",a set of eleven distinct query templates,a set of distinct query templates,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,10-ARR_v2_24@1,10-ARR_v1_22@3,19
22,10-ARR,"10-ARR_v2_5@2==30,77","10-ARR_v1_4@3==67,133",it gives the client a sense of being understood,and respond in a way letting the other know he is being understood,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_5@2,10-ARR_v1_4@3,23
23,10-ARR,"10-ARR_v2_36@1==33,51","10-ARR_v1_33@6==33,51","Hwang et al., 2021","Hwang et al., 2020","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,10-ARR_v2_36@1,10-ARR_v1_33@6,24
24,10-ARR,"10-ARR_v2_5@6==6,98","10-ARR_v1_4@4==0,91",counseling frequently calls for counselors to make inferences based on their prior knowledge,This process frequently involves making inferences based on the counselor's prior knowledge,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_5@6,10-ARR_v1_4@4,25
25,10-ARR,"10-ARR_v2_5@7==0,33","10-ARR_v1_4@5==0,28","For example, when the client says","For example, the client says","Modify,Grammar","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_5@7,10-ARR_v1_4@5,26
26,10-ARR,"10-ARR_v2_5@9==145,177","10-ARR_v1_4@7==145,174",a medication for smoke cessation,a medication for quit smoking,"Modify,Grammar","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_5@9,10-ARR_v1_4@7,27
27,10-ARR,"10-ARR_v2_6@1==0,30","10-ARR_v1_5@1==0,26",This extra knowledge is needed,This is a challenging task,"Modify,Claim","Modify,Fact/Evidence","Modify,Claim","Modify,Claim",ss,ss,10-ARR_v2_6@1,10-ARR_v1_5@1,29
28,10-ARR,"10-ARR_v2_6@1==204,257","10-ARR_v1_5@1==200,252","during the pre-training phase (Petroni et al., 2019a)","during the pretraining (Petroni et al., 2019a) phase","Modify,Clarity","Modify,Clarity","Modify,Grammar","Modify,Clarity",ss,ss,10-ARR_v2_6@1,10-ARR_v1_5@1,29
29,10-ARR,"10-ARR_v2_62@2==17,35","10-ARR_v1_58@2==17,36",had no information,have no information,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_62@2,10-ARR_v1_58@2,31
30,10-ARR,"10-ARR_v2_62@2==39,60","10-ARR_v1_58@2==40,61",which model generated,which model generates,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_62@2,10-ARR_v1_58@2,31
31,10-ARR,"10-ARR_v2_25@2==2,47","10-ARR_v1_23@2==2,25",The resulting sentences with medical concepts,The resulting sentences,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,10-ARR_v2_25@2,10-ARR_v1_23@2,20
32,10-ARR,"10-ARR_v2_6@2==24,55","10-ARR_v1_5@2==24,51",accurate counseling reflections,good counseling reflections,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_6@2,10-ARR_v1_5@2,32
33,10-ARR,"10-ARR_v2_6@2==144,212","10-ARR_v1_5@2==140,169",providing alternative reflections in response to client's statements,providing candidate responses,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_6@2,10-ARR_v1_5@2,32
34,10-ARR,"10-ARR_v2_66@3==41,113","10-ARR_v1_62@3==41,114",commonsense related to intentional and causal relationships is essential,commonsense related to intentional and causal relationships are essential,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,10-ARR_v2_66@3,10-ARR_v1_62@3,33
35,10-ARR,"10-ARR_v2_7@1==79,182","10-ARR_v1_6@1==134,231",based on the vector representations of sentences from the dialogue and assertions in the knowledge base,to get vector representations of sentences from the dialogue and assertions in the knowledge base,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_7@1,10-ARR_v1_6@1,34
36,103-ARR,"103-ARR_v2_34@2==3,52",,"is a state-of-the-art (Zhou and Chen, 2021) model",,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,103-ARR_v2_34@2,,57
37,103-ARR,"103-ARR_v2_34@2==77,90",,as a backbone,,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,103-ARR_v2_34@2,,57
38,103-ARR,"103-ARR_v2_14@1==226,245",,";Sulem et al., 2022",,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,103-ARR_v2_14@1,,73
39,103-ARR,"103-ARR_v2_45@6==155,165","103-ARR_v1_47@5==155,165",WikiEvents,Wikievents,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_45@6,103-ARR_v1_47@5,61
40,103-ARR,"103-ARR_v2_21@0==192,197","103-ARR_v1_22@0==193,196",", and",and,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_21@0,103-ARR_v1_22@0,50
41,103-ARR,"103-ARR_v2_49@17==101,110","103-ARR_v1_51@17==101,111",a 37.5 F1,an 37.5 F1,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_49@17,103-ARR_v1_51@17,62
42,103-ARR,"103-ARR_v2_49@19==157,167","103-ARR_v1_51@19==157,166",WikiEvents,WikiEvent,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_49@19,103-ARR_v1_51@19,63
43,103-ARR,"103-ARR_v2_52@0==21,37","103-ARR_v1_54@0==21,36",entailment-based,entailment-base,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_52@0,103-ARR_v1_54@0,64
44,103-ARR,"103-ARR_v2_54@4==103,124","103-ARR_v1_55@4==103,124","Aribandi et al., 2022","Aribandi et al., 2021","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,103-ARR_v2_54@4,103-ARR_v1_55@4,65
45,103-ARR,"103-ARR_v2_7@0==93,103","103-ARR_v1_7@0==93,103",,,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_7@0,103-ARR_v1_7@0,66
46,103-ARR,"103-ARR_v2_8@1==12,38","103-ARR_v1_8@1==12,30","code, templates and models",code and templates,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,103-ARR_v2_8@1,103-ARR_v1_8@1,67
47,103-ARR,"103-ARR_v2_2@2==167,179","103-ARR_v1_2@2==166,180",respectively,", respectively","Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@2,103-ARR_v1_2@2,68
48,103-ARR,"103-ARR_v2_12@3==23,43","103-ARR_v1_13@2==23,43",Mishra et al. (2022),Mishra et al. (2021),"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,103-ARR_v2_12@3,103-ARR_v1_13@2,70
49,103-ARR,"103-ARR_v2_12@5==0,13","103-ARR_v1_13@4==0,12","In this work,",In this work,"Modify,Clarity","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_12@5,103-ARR_v1_13@4,71
50,103-ARR,"103-ARR_v2_2@5==24,31","103-ARR_v1_2@5==24,27",the key,key,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@5,103-ARR_v1_2@5,51
51,103-ARR,"103-ARR_v2_13@0==0,25","103-ARR_v1_14@0==0,31",Event Argument Extraction,Event Argument Extraction (EAE),"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,103-ARR_v2_13@0,103-ARR_v1_14@0,72
52,103-ARR,"103-ARR_v2_13@0==31,39","103-ARR_v1_14@0==37,44",sub-task,subtask,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_13@0,103-ARR_v1_14@0,72
53,103-ARR,"103-ARR_v2_17@3==105,116","103-ARR_v1_18@2==105,112",the context,context,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_17@3,103-ARR_v1_18@2,74
54,103-ARR,"103-ARR_v2_21@5==59,71","103-ARR_v1_23@2==58,71",a NLI format,an NLI format,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_21@5,103-ARR_v1_23@2,52
55,103-ARR,"103-ARR_v2_2@4==10,24","103-ARR_v1_2@4==10,20",the entailment,entailment,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@4,103-ARR_v1_2@4,49
56,103-ARR,"103-ARR_v2_2@6==129,152","103-ARR_v1_2@6==129,153",per event argument type,per event argument types,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@6,103-ARR_v1_2@6,53
57,103-ARR,"103-ARR_v2_2@6==162,186","103-ARR_v1_2@6==163,183",", and comparable results",; comparable results,"Modify,Clarity","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@6,103-ARR_v1_2@6,53
58,103-ARR,"103-ARR_v2_2@6==194,213","103-ARR_v1_2@6==191,210",achieved with users,achieved from users,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_2@6,103-ARR_v1_2@6,53
59,103-ARR,"103-ARR_v2_29@1==150,161","103-ARR_v1_31@1==150,162",a NLI model,an NLI model,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_29@1,103-ARR_v1_31@1,54
60,103-ARR,"103-ARR_v2_29@1==256,260","103-ARR_v1_31@1==257,260",were,are,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_29@1,103-ARR_v1_31@1,54
61,103-ARR,"103-ARR_v2_31@3==23,46","103-ARR_v1_33@3==23,47",is instead more focused,"instead, is more focused","Modify,Clarity","Modify,Grammar","Modify,Clarity","Modify,Clarity",ss,ss,103-ARR_v2_31@3,103-ARR_v1_33@3,55
62,103-ARR,"103-ARR_v2_4@0==392,403","103-ARR_v1_4@0==392,405",new schemas,a new schemas,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_4@0,103-ARR_v1_4@0,56
63,103-ARR,"103-ARR_v2_4@0==435,456","103-ARR_v1_4@0==437,454",the manual annotation,manual annotation,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_4@0,103-ARR_v1_4@0,56
64,103-ARR,"103-ARR_v2_34@2==53,76","103-ARR_v1_36@2==3,21",that uses ROBERTA LARGE,uses RoBERTa large,"Modify,Clarity","Modify,Grammar","Modify,Clarity","Modify,Clarity",ss,ss,103-ARR_v2_34@2,103-ARR_v1_36@2,57
65,103-ARR,"103-ARR_v2_2@0==89,113","103-ARR_v1_2@0==89,115",Textual Entailment tasks,a Textual Entailment tasks,"Modify,Grammar","Modify,Grammar","Modify,Clarity","Modify,Grammar",ss,ss,103-ARR_v2_2@0,103-ARR_v1_2@0,58
66,103-ARR,"103-ARR_v2_37@2==242,249","103-ARR_v1_39@2==242,248",88.2 km,88.2Km,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_37@2,103-ARR_v1_39@2,59
67,103-ARR,"103-ARR_v2_40@1==78,83","103-ARR_v1_42@1==78,82",shows,show,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,103-ARR_v2_40@1,103-ARR_v1_42@1,60
68,110-ARR,"110-ARR_v2_26@1==88,176",,as the metrics assess how likely the models make inaccurate answers that they must avoid,,"Add,Fact/Evidence","Add,Claim","Add,Claim","Add,Claim",ss,ss,110-ARR_v2_26@1,,86
69,110-ARR,"110-ARR_v2_30@2==84,138",,"but it is not used for the MKR-NQ and MWR experiments,",,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,110-ARR_v2_30@2,,87
70,110-ARR,"110-ARR_v2_30@2==254,280",,and have no MLM classifier,,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,110-ARR_v2_30@2,,87
71,110-ARR,"110-ARR_v2_48@3==13,64",,"a model can learn their common functional meanings,",,"Add,Claim","Add,Fact/Evidence","Add,Claim","Add,Claim",ss,ss,110-ARR_v2_48@3,,95
72,110-ARR,"110-ARR_v2_67@1==149,177",,with their IM 2 counterparts,,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,110-ARR_v2_67@1,,103
73,110-ARR,,"110-ARR_v1_57@1==46,48",,as,"Delete,Grammar","Delete,Grammar","Delete,Clarity","Delete,Grammar",ss,ss,,110-ARR_v1_57@1,99
74,110-ARR,"110-ARR_v2_62@1==38,51","110-ARR_v1_61@1==38,51",,,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_62@1,110-ARR_v1_61@1,102
75,110-ARR,"110-ARR_v2_67@1==86,99","110-ARR_v1_66@1==86,99",ELECTRA-large,Electra-large,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_67@1,110-ARR_v1_66@1,103
76,110-ARR,"110-ARR_v2_68@1==88,92","110-ARR_v1_67@0==88,96",MNLI,the MNLI,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_68@1,110-ARR_v1_67@0,104
77,110-ARR,"110-ARR_v2_68@2==49,53","110-ARR_v1_67@1==49,57",MRPC,the MRPC,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_68@2,110-ARR_v1_67@1,105
78,110-ARR,"110-ARR_v2_68@5==25,41","110-ARR_v1_67@4==25,44",meaning-matching,the meaningmatching,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_68@5,110-ARR_v1_67@4,106
79,110-ARR,"110-ARR_v2_68@5==83,102","110-ARR_v1_67@4==86,103",a positive transfer,positive transfer,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_68@5,110-ARR_v1_67@4,106
80,110-ARR,"110-ARR_v2_70@0==86,93","110-ARR_v1_69@0==87,92",", where",where,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_70@0,110-ARR_v1_69@0,107
81,110-ARR,"110-ARR_v2_71@0==76,95","110-ARR_v1_70@0==76,91",the NegNLI datasets,NegNLI datasets,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_71@0,110-ARR_v1_70@0,108
82,110-ARR,"110-ARR_v2_30@2==13,44","110-ARR_v1_31@2==13,44",ELECTRA-small/base/large models,Electra-small/base/large models,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_30@2,110-ARR_v1_31@2,87
83,110-ARR,"110-ARR_v2_30@2==139,198","110-ARR_v1_31@2==84,106",as the discriminator of the ELECTRA models are trained with,which are trained with,"Modify,Fact/Evidence","Modify,Clarity","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_30@2,110-ARR_v1_31@2,87
84,110-ARR,"110-ARR_v2_73@3==146,163","110-ARR_v1_72@3==146,163",,,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_73@3,110-ARR_v1_72@3,109
85,110-ARR,"110-ARR_v2_74@1==42,55","110-ARR_v1_73@1==42,58",to understand,to understand of,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_74@1,110-ARR_v1_73@1,110
86,110-ARR,"110-ARR_v2_75@1==95,115","110-ARR_v1_74@1==95,115","Welleck et al., 2020","Welleck et al., 2019","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_75@1,110-ARR_v1_74@1,111
87,110-ARR,"110-ARR_v2_75@3==63,68","110-ARR_v1_74@3==64,67",", and",and,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_75@3,110-ARR_v1_74@3,112
88,110-ARR,"110-ARR_v2_75@3==126,131","110-ARR_v1_74@3==126,129",,,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_75@3,110-ARR_v1_74@3,112
89,110-ARR,"110-ARR_v2_76@0==50,71","110-ARR_v1_75@0==50,71",) have mostly limited,", have mostly limited","Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_76@0,110-ARR_v1_75@0,113
90,110-ARR,"110-ARR_v2_76@1==28,41","110-ARR_v1_75@1==28,40",this property,the property,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_76@1,110-ARR_v1_75@1,114
91,110-ARR,"110-ARR_v2_76@1==45,65","110-ARR_v1_75@1==44,60",the opposite meaning,opposite-meaning,"Modify,Grammar","Modify,Grammar","Modify,Clarity","Modify,Grammar",ss,ss,110-ARR_v2_76@1,110-ARR_v1_75@1,114
92,110-ARR,"110-ARR_v2_76@2==16,20","110-ARR_v1_75@2==16,20",2020,2019,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_76@2,110-ARR_v1_75@2,115
93,110-ARR,"110-ARR_v2_76@3==64,88","110-ARR_v1_75@3==64,84",the negation expressions,negation expressions,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_76@3,110-ARR_v1_75@3,116
94,110-ARR,"110-ARR_v2_76@4==99,106","110-ARR_v1_75@4==100,105",", which",which,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_76@4,110-ARR_v1_75@4,117
95,110-ARR,"110-ARR_v2_30@5==28,55","110-ARR_v1_31@5==28,55","Loshchilov and Hutter, 2019","Loshchilov and Hutter, 2017","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_30@5,110-ARR_v1_31@5,88
96,110-ARR,"110-ARR_v2_76@5==186,194","110-ARR_v1_75@5==187,193",", called",called,"Modify,Clarity","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_76@5,110-ARR_v1_75@5,118
97,110-ARR,"110-ARR_v2_76@5==244,251","110-ARR_v1_75@5==244,248",", which",that,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_76@5,110-ARR_v1_75@5,118
98,110-ARR,"110-ARR_v2_79@0==50,92","110-ARR_v1_78@0==50,91",is an insufficient basis for understanding,results in PLMs' lack of understanding of,"Modify,Clarity","Modify,Clarity","Modify,Claim","Modify,Clarity",ss,ss,110-ARR_v2_79@0,110-ARR_v1_78@0,119
99,110-ARR,"110-ARR_v2_79@0==93,113","110-ARR_v1_78@0==92,108",,,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_79@0,110-ARR_v1_78@0,119
100,110-ARR,"110-ARR_v2_8@1==86,106","110-ARR_v1_8@1==86,106",,,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,110-ARR_v2_8@1,110-ARR_v1_8@1,120
101,110-ARR,"110-ARR_v2_8@4==125,146","110-ARR_v1_8@4==124,143",a model's performance,model's performance,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_8@4,110-ARR_v1_8@4,121
102,110-ARR,"110-ARR_v2_9@1==83,90","110-ARR_v1_10@0==82,88",", which",", that","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_9@1,110-ARR_v1_10@0,122
103,110-ARR,"110-ARR_v2_10@0==241,248","110-ARR_v1_11@0==240,244",,,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_10@0,110-ARR_v1_11@0,123
104,110-ARR,"110-ARR_v2_2@5==124,136","110-ARR_v1_2@5==123,134",meaning-text,meaningtext,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_2@5,110-ARR_v1_2@5,124
105,110-ARR,"110-ARR_v2_4@0==66,73","110-ARR_v1_4@0==66,73",ELECTRA,Electra,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,110-ARR_v2_4@0,110-ARR_v1_4@0,89
106,110-ARR,"110-ARR_v2_26@0==11,42","110-ARR_v1_27@0==11,31",the prediction confidence score,the confidence score,"Modify,Clarity","Modify,Fact/Evidence","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_26@0,110-ARR_v1_27@0,85
107,110-ARR,"110-ARR_v2_42@3==89,104","110-ARR_v1_42@5==89,112",many parameters,a great many parameters,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,110-ARR_v2_42@3,110-ARR_v1_42@5,91
