edit_index,doc_name,node_ix_src,node_ix_tgt,gold,s_index,node_type_src,node_type_tgt,sec_node_src,sec_node_tgt,sec_id_src,sec_id_tgt,sec_title_src,sec_title_tgt
14,1-21,1-21_v2_28,1-21_v1_29,"Modify,Grammar;Modify,Grammar;Modify,Claim",6025;6026;6027,p,p,"1-21_v2_27,title","1-21_v1_28,title",4.3,4.3,Preliminary tests,Preliminary tests
15,1-21,1-21_v2_30,,"Add,Fact/Evidence",6014,p,,"1-21_v2_29,title",,4.4,,Experiments using UV-inactivated phage,
16,1-21,1-21_v2_30,1-21_v1_31,"Modify,Clarity",6028,p,p,"1-21_v2_29,title","1-21_v1_30,title",4.4,4.4,Experiments using UV-inactivated phage,Experiments using UV-inactivated phage
17,1-21,1-21_v2_34,1-21_v1_35,"Modify,Clarity",6029,p,p,"1-21_v2_31,title","1-21_v1_32,title",4.5,5,Measures,Measures
18,1-21,1-21_v2_36,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim",6015;6016;6017;6018,p,,"1-21_v2_31,title",,4.5,,Measures,
19,1-21,1-21_v2_8,1-21_v1_8,"Modify,Claim",6030,p,p,"1-21_v2_3,title","1-21_v1_3,title",1,1,Introduction,Introduction
20,1-23,,1-23_v1_19,"Delete,Fact/Evidence;Delete,Claim;Delete,Claim;Delete,Claim;Delete,Claim;Delete,Fact/Evidence;Delete,Claim",6037;6038;6039;6040;6041;6046;6047,,p,,"1-23_v1_18,title",,4,,Comments
21,1-23,,1-23_v1_22,"Delete,Claim;Delete,Claim",6042;6043,,p,,"1-23_v1_20,title",,5,,Religious and cultural views
22,1-23,1-23_v2_17,1-23_v1_17,"Modify,Claim;Modify,Clarity",6049;6050,p,p,"1-23_v2_14,title","1-23_v1_14,title",3.2,3.2,Late complications,Late complications
23,1-23,1-23_v2_19,,"Add,Claim;Add,Claim",6044;6045,p,,"1-23_v2_18,title",,4,,Comments,
24,1-23,1-23_v2_19,1-23_v1_19,"Merge+Modify,Claim;Merge+Modify,Clarity;Merge+Modify,Clarity",6051;6052;6053,p,p,"1-23_v2_18,title","1-23_v1_18,title",4,4,Comments,Comments
25,1-62,,1-62_v1_11,"Delete,Fact/Evidence",6093,,p,,"1-62_v1_10,title",,2.1,,Isolation and culture of bacteria
26,1-62,,1-62_v1_13,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6095;6096;6097;6098;6099,,p,,"1-62_v1_12,title",,2.2,,DNA extraction and Polymerase Chain Reaction (PCR)
27,1-62,,1-62_v1_14,"Delete,Fact/Evidence;Delete,Fact/Evidence",6100;6101,,p,,"1-62_v1_12,title",,2.2,,DNA extraction and Polymerase Chain Reaction (PCR)
28,1-62,,1-62_v1_16,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6054;6055;6056;6057;6058,,p,,"1-62_v1_15,title",,2.3,,DNA sequencing and analysis
29,1-62,,1-62_v1_17,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6059;6060;6061,,p,,"1-62_v1_15,title",,2.3,,DNA sequencing and analysis
30,1-62,,1-62_v1_2,"Delete,Claim;Delete,Fact/Evidence",6091;6102,,p,,"1-62_v1_1,abstract",,,,Abstract
31,1-62,,1-62_v1_20,"Delete,Fact/Evidence;Delete,Fact/Evidence",6062;6063,,p,,"1-62_v1_19,title",,3.1,,Bacterial identification
32,1-62,,1-62_v1_37,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6065;6066;6067,,p,,"1-62_v1_33,title",,3.3,,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
33,1-62,,1-62_v1_38,"Delete,Fact/Evidence",6068,,p,,"1-62_v1_33,title",,3.3,,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
34,1-62,,1-62_v1_39,"Delete,Fact/Evidence",6069,,p,,"1-62_v1_33,title",,3.3,,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
35,1-62,,1-62_v1_6,"Delete,Fact/Evidence;Delete,Claim;Delete,Fact/Evidence;Delete,Claim;Delete,Claim;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6076;6077;6078;6079;6080;6084;6085;6086,,p,,"1-62_v1_3,title",,1,,Introduction
36,1-62,,1-62_v1_7,"Delete,Fact/Evidence;Delete,Claim",6087;6088,,p,,"1-62_v1_3,title",,1,,Introduction
37,1-62,,1-62_v1_8,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",6089;6090;6092,,p,,"1-62_v1_3,title",,1,,Introduction
38,1-62,1-62_v2_11,,"Add,Fact/Evidence;Add,Fact/Evidence",6073;6074,p,,"1-62_v2_10,title",,2.2,,PCR and DNA sequencing of ATP synthase a -subunit of Stenotrophomonas species DL18,
39,1-62,1-62_v2_11,1-62_v1_14,"Modify,Fact/Evidence;Modify,Fact/Evidence",6153;6154,p,p,"1-62_v2_10,title","1-62_v1_12,title",2.2,2.2,PCR and DNA sequencing of ATP synthase a -subunit of Stenotrophomonas species DL18,DNA extraction and Polymerase Chain Reaction (PCR)
40,1-62,1-62_v2_11,1-62_v1_17,"Modify,Clarity",6103,p,p,"1-62_v2_10,title","1-62_v1_15,title",2.2,2.3,PCR and DNA sequencing of ATP synthase a -subunit of Stenotrophomonas species DL18,DNA sequencing and analysis
41,1-62,1-62_v2_16,1-62_v1_20,"Modify,Fact/Evidence;Merge+Modify,Clarity;Merge+Modify,Fact/Evidence",6106;6107;6108,p,p,"1-62_v2_15,title","1-62_v1_19,title",3.1,3.1,Bacterial identification and ATP synthase F o subunit amplification,Bacterial identification
42,1-62,1-62_v2_17,1-62_v1_26,"Modify,Clarity",6111,p,p,"1-62_v2_15,title","1-62_v1_25,title",3.1,3.2,Bacterial identification and ATP synthase F o subunit amplification,ATP synthase a -subunit of Stenotrophomonas species DL18
43,1-62,1-62_v2_19,,"Add,Fact/Evidence",6075,p,,"1-62_v2_18,title",,3.2,,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,
44,1-62,1-62_v2_19,1-62_v1_26,"Modify,Fact/Evidence;Modify,Clarity",6112;6113,p,p,"1-62_v2_18,title","1-62_v1_25,title",3.2,3.2,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,ATP synthase a -subunit of Stenotrophomonas species DL18
45,1-62,1-62_v2_2,,"Add,Fact/Evidence",6070,p,,"1-62_v2_1,abstract",,,,Abstract,
46,1-62,1-62_v2_2,1-62_v1_2,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Clarity",6125;6142;6144;6152,p,p,"1-62_v2_1,abstract","1-62_v1_1,abstract",,,Abstract,Abstract
47,1-62,1-62_v2_24,1-62_v1_34,"Modify,Fact/Evidence;Modify,Clarity;Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence",6117;6118;6119;6120;6121,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
48,1-62,1-62_v2_25,1-62_v1_34,"Modify,Clarity",6124,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
49,1-62,1-62_v2_25,1-62_v1_37,"Modify,Fact/Evidence",6127,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
50,1-62,1-62_v2_25,1-62_v1_38,"Modify,Clarity;Modify,Fact/Evidence;Modify,Fact/Evidence",6128;6129;6130,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
51,1-62,1-62_v2_26,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6081;6082;6083,p,,"1-62_v2_18,title",,3.2,,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,
52,1-62,1-62_v2_26,1-62_v1_34,"Modify,Fact/Evidence",6123,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
53,1-62,1-62_v2_26,1-62_v1_38,"Modify,Fact/Evidence",6131,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
54,1-62,1-62_v2_27,1-62_v1_39,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Clarity;Modify,Fact/Evidence;Modify,Clarity",6132;6133;6134;6135;6136,p,p,"1-62_v2_18,title","1-62_v1_33,title",3.2,3.3,Comparative studies of ATP synthase a -subunit of Stenotrophomonas species DL18,"Comparison of a -subunit of Stenotrophomonas species DL18 with acidophiles, alkaliphiles and neutrophiles"
55,1-62,1-62_v2_4,,"Add,Claim",6071,p,,"1-62_v2_3,title",,1,,Introduction,
56,1-62,1-62_v2_4,1-62_v1_4,"Modify,Clarity;Modify,Clarity;Modify,Grammar",6109;6114;6115,p,p,"1-62_v2_3,title","1-62_v1_3,title",1,1,Introduction,Introduction
57,1-62,1-62_v2_4,1-62_v1_5,"Modify,Grammar;Modify,Grammar;Modify,Fact/Evidence;Modify,Grammar;Modify,Grammar;Modify,Grammar;Modify,Grammar",6116;6122;6126;6137;6138;6139;6140,p,p,"1-62_v2_3,title","1-62_v1_3,title",1,1,Introduction,Introduction
58,1-62,1-62_v2_4,1-62_v1_6,"Modify,Clarity;Modify,Fact/Evidence",6141;6143,p,p,"1-62_v2_3,title","1-62_v1_3,title",1,1,Introduction,Introduction
59,1-62,1-62_v2_5,1-62_v1_8,"Modify,Fact/Evidence;Modify,Grammar;Modify,Fact/Evidence",6145;6146;6147,p,p,"1-62_v2_3,title","1-62_v1_3,title",1,1,Introduction,Introduction
60,1-62,1-62_v2_8,1-62_v1_11,"Modify,Clarity",6150,p,p,"1-62_v2_7,title","1-62_v1_10,title",2.1,2.1,Isolation and identification of bacteria from the soda lake,Isolation and culture of bacteria
61,1-62,1-62_v2_8,1-62_v1_13,"Modify,Fact/Evidence",6151,p,p,"1-62_v2_7,title","1-62_v1_12,title",2.1,2.2,Isolation and identification of bacteria from the soda lake,DNA extraction and Polymerase Chain Reaction (PCR)
62,1-62,1-62_v2_8,1-62_v1_20,"Modify,Fact/Evidence",6105,p,p,"1-62_v2_7,title","1-62_v1_19,title",2.1,3.1,Isolation and identification of bacteria from the soda lake,Bacterial identification
63,1-62,1-62_v2_9,,"Add,Fact/Evidence",6072,p,,"1-62_v2_7,title",,2.1,,Isolation and identification of bacteria from the soda lake,
64,10-25,10-25_v2_2,10-25_v1_2,"Modify,Clarity",6163,p,p,"10-25_v2_1,abstract","10-25_v1_1,abstract",,,Abstract,Abstract
65,10-25,10-25_v2_24,,"Add,Fact/Evidence",6156,p,,"10-25_v2_23,title",,2.5,,Feeding trial and digestibility study,
66,10-25,10-25_v2_24,10-25_v1_24,"Modify,Fact/Evidence",6160,p,p,"10-25_v2_23,title","10-25_v1_23,title",2.5,2.5,Feeding trial and digestibility study,Feeding trial and digestibility study
67,10-25,10-25_v2_29,,"Add,Fact/Evidence",6157,p,,"10-25_v2_25,title",,2.6,,Variables observed and measured,
68,10-25,10-25_v2_3,10-25_v1_3,"Modify,Fact/Evidence",6159,p,p,"10-25_v2_1,abstract","10-25_v1_1,abstract",,,Abstract,Abstract
69,10-25,10-25_v2_55,,"Add,Claim",6158,p,,"10-25_v2_53,title",,4,,Discussion,
70,10-25,10-25_v2_58,10-25_v1_58,"Modify,Fact/Evidence",6161,p,p,"10-25_v2_53,title","10-25_v1_53,title",4,4,Discussion,Discussion
71,10-25,10-25_v2_68,10-25_v1_68,"Modify,Fact/Evidence",6162,p,p,"10-25_v2_67,title","10-25_v1_67,title",5,5,Conclusion,Conclusion
72,10-77,10-77_v2_14,,"Add,Fact/Evidence",6164,p,,"10-77_v2_13,title",,2.2,,Collection of specimens,
73,10-77,10-77_v2_14,10-77_v1_14,"Modify,Clarity;Modify,Clarity",6173;6174,p,p,"10-77_v2_13,title","10-77_v1_13,title",2.2,2.2,Collection of specimens,Collection of specimens
74,10-77,10-77_v2_20,,"Add,Fact/Evidence",6165,p,,"10-77_v2_19,title",,2.5,,Data analysis,
75,10-77,10-77_v2_24,10-77_v1_24,"Modify,Clarity;Modify,Clarity;Modify,Clarity",6175;6176;6177,p,p,"10-77_v2_23,title","10-77_v1_23,title",3,3,Results,Results
76,10-77,10-77_v2_39,10-77_v1_39,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Fact/Evidence",6166;6167;6168;6169;6170;6171,p,p,"10-77_v2_36,title","10-77_v1_36,title",4,4,Discussion,Discussion
77,10-77,10-77_v2_9,10-77_v1_9,"Modify,Fact/Evidence",6172,p,p,"10-77_v2_6,title","10-77_v1_6,title",1,1,Introduction,Introduction
78,10-ARR,,10-ARR_v1_12,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",15;16;17;18,,p,,"10-ARR_v1_10,title",,2,,Related Work
79,10-ARR,10-ARR_v2_12,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Claim;Add,Fact/Evidence;Add,Claim",6;7;8;9;10;11;12;13,p,,"10-ARR_v2_11,title",,2,,Related Work,
80,10-ARR,10-ARR_v2_12,10-ARR_v1_12,"Modify,Claim",36,p,p,"10-ARR_v2_11,title","10-ARR_v1_10,title",2,2,Related Work,Related Work
81,10-ARR,10-ARR_v2_13,10-ARR_v1_13,"Modify,Claim;Modify,Grammar",37;38,p,p,"10-ARR_v2_11,title","10-ARR_v1_10,title",2,2,Related Work,Related Work
82,10-ARR,10-ARR_v2_18,10-ARR_v1_18,"Modify,Grammar",39,p,p,"10-ARR_v2_16,title","10-ARR_v1_16,title",3.1,3.1,Task definition,Task definition
83,10-ARR,10-ARR_v2_20,10-ARR_v1_20,"Modify,Clarity",40,p,p,"10-ARR_v2_19,title","10-ARR_v1_19,title",3.2,3.2,Domain Knowledge Collection,Domain Knowledge Collection
84,10-ARR,10-ARR_v2_24,10-ARR_v1_22,"Modify,Fact/Evidence",19,p,p,"10-ARR_v2_19,title","10-ARR_v1_19,title",3.2,3.2,Domain Knowledge Collection,Domain Knowledge Collection
85,10-ARR,10-ARR_v2_25,10-ARR_v1_23,"Modify,Fact/Evidence",20,p,p,"10-ARR_v2_19,title","10-ARR_v1_19,title",3.2,3.2,Domain Knowledge Collection,Domain Knowledge Collection
86,10-ARR,10-ARR_v2_26,10-ARR_v1_24,"Modify,Clarity",21,p,p,"10-ARR_v2_19,title","10-ARR_v1_19,title",3.2,3.2,Domain Knowledge Collection,Domain Knowledge Collection
87,10-ARR,10-ARR_v2_35,,"Add,Fact/Evidence",14,p,,"10-ARR_v2_33,title",,3.4,,Generated Knowledge Setup,
88,10-ARR,10-ARR_v2_36,10-ARR_v1_33,"Modify,Fact/Evidence",24,p,p,"10-ARR_v2_33,title","10-ARR_v1_32,title",3.4,3.4,Generated Knowledge Setup,Generated Knowledge Setup
89,10-ARR,10-ARR_v2_4,,"Add,Claim",0,p,,"10-ARR_v2_3,title",,1,,Introduction,
90,10-ARR,10-ARR_v2_5,,"Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Claim",1;2;3;4;5,p,,"10-ARR_v2_3,title",,1,,Introduction,
91,10-ARR,10-ARR_v2_5,10-ARR_v1_4,"Modify,Fact/Evidence;Modify,Claim;Modify,Clarity;Modify,Claim;Modify,Clarity",22;23;25;26;27,p,p,"10-ARR_v2_3,title","10-ARR_v1_3,title",1,1,Introduction,Introduction
92,10-ARR,10-ARR_v2_51,10-ARR_v1_48,"Modify,Grammar",28,p,p,"10-ARR_v2_50,title","10-ARR_v1_46,title",4.4,4.4,Result on K-BART Model Architecture,Result on K-BART Model Architecture
93,10-ARR,10-ARR_v2_6,10-ARR_v1_5,"Modify,Claim;Modify,Clarity",29;32,p,p,"10-ARR_v2_3,title","10-ARR_v1_3,title",1,1,Introduction,Introduction
94,10-ARR,10-ARR_v2_60,10-ARR_v1_56,"Modify,Grammar",30,p,p,"10-ARR_v2_59,title","10-ARR_v1_55,title",4.6,4.6,Human Evaluation,Human Evaluation
95,10-ARR,10-ARR_v2_62,10-ARR_v1_58,"Modify,Grammar",31,p,p,"10-ARR_v2_59,title","10-ARR_v1_55,title",4.6,4.6,Human Evaluation,Human Evaluation
96,10-ARR,10-ARR_v2_66,10-ARR_v1_62,"Modify,Grammar",33,p,p,"10-ARR_v2_65,title","10-ARR_v1_61,title",5,5,Conclusion,Conclusion
97,10-ARR,10-ARR_v2_7,10-ARR_v1_6,"Modify,Clarity;Modify,Clarity",34;35,p,p,"10-ARR_v2_3,title","10-ARR_v1_3,title",1,1,Introduction,Introduction
98,103-ARR,,103-ARR_v1_41,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",41;42;43,,p,,"103-ARR_v1_40,title",,6,,Results
99,103-ARR,103-ARR_v2_12,103-ARR_v1_12,"Modify,Grammar",69,p,p,"103-ARR_v2_9,title","103-ARR_v1_9,title",2,2,Related Work,Related Work
100,103-ARR,103-ARR_v2_12,103-ARR_v1_13,"Modify,Fact/Evidence;Modify,Grammar",70;71,p,p,"103-ARR_v2_9,title","103-ARR_v1_9,title",2,2,Related Work,Related Work
101,103-ARR,103-ARR_v2_13,103-ARR_v1_14,"Modify,Clarity",72,p,p,"103-ARR_v2_9,title","103-ARR_v1_9,title",2,2,Related Work,Related Work
102,103-ARR,103-ARR_v2_14,103-ARR_v1_15,"Modify,Fact/Evidence",73,p,p,"103-ARR_v2_9,title","103-ARR_v1_9,title",2,2,Related Work,Related Work
103,103-ARR,103-ARR_v2_17,103-ARR_v1_18,"Modify,Grammar",74,p,p,"103-ARR_v2_15,title","103-ARR_v1_16,title",3,3,Approach,Approach
104,103-ARR,103-ARR_v2_2,103-ARR_v1_2,"Modify,Grammar;Modify,Grammar;Modify,Grammar;Modify,Grammar;Modify,Grammar",49;51;53;58;68,p,p,"103-ARR_v2_1,abstract","103-ARR_v1_1,abstract",,,Abstract,Abstract
105,103-ARR,103-ARR_v2_21,103-ARR_v1_22,"Modify,Grammar",50,p,p,"103-ARR_v2_15,title","103-ARR_v1_16,title",3,3,Approach,Approach
106,103-ARR,103-ARR_v2_21,103-ARR_v1_23,"Modify,Grammar",52,p,p,"103-ARR_v2_15,title","103-ARR_v1_16,title",3,3,Approach,Approach
107,103-ARR,103-ARR_v2_29,103-ARR_v1_31,"Modify,Grammar",54,p,p,"103-ARR_v2_28,title","103-ARR_v1_30,title",5.1,5.1,Methodology for verbalization,Methodology for verbalization
108,103-ARR,103-ARR_v2_31,103-ARR_v1_33,"Modify,Clarity",55,p,p,"103-ARR_v2_30,title","103-ARR_v1_32,title",5.2,5.2,Evaluation,Evaluation
109,103-ARR,103-ARR_v2_34,103-ARR_v1_36,"Modify,Fact/Evidence",57,p,p,"103-ARR_v2_33,title","103-ARR_v1_35,title",5.3,5.3,Baselines and Models,Baselines and Models
110,103-ARR,103-ARR_v2_37,103-ARR_v1_39,"Modify,Grammar",59,p,p,"103-ARR_v2_36,title","103-ARR_v1_38,title",5.4,5.4,Infrastructure,Infrastructure
111,103-ARR,103-ARR_v2_4,103-ARR_v1_4,"Modify,Grammar",56,p,p,"103-ARR_v2_3,title","103-ARR_v1_3,title",1,1,Introduction,Introduction
112,103-ARR,103-ARR_v2_40,103-ARR_v1_42,"Modify,Grammar",60,p,p,"103-ARR_v2_38,title","103-ARR_v1_40,title",6,6,Results,Results
113,103-ARR,103-ARR_v2_45,103-ARR_v1_47,"Modify,Grammar",61,p,p,"103-ARR_v2_42,title","103-ARR_v1_44,title",7,7,Analysis,Analysis
114,103-ARR,103-ARR_v2_49,103-ARR_v1_51,"Modify,Grammar;Modify,Grammar",62;63,p,p,"103-ARR_v2_42,title","103-ARR_v1_44,title",7,7,Analysis,Analysis
115,103-ARR,103-ARR_v2_52,103-ARR_v1_54,"Modify,Grammar",64,p,p,"103-ARR_v2_51,title","103-ARR_v1_53,title",8,8,Conclusions,Conclusions
116,103-ARR,103-ARR_v2_53,,"Add,Claim;Add,Fact/Evidence;Add,Claim",44;45;46,p,,"103-ARR_v2_51,title",,8,,Conclusions,
117,103-ARR,103-ARR_v2_54,103-ARR_v1_55,"Modify,Fact/Evidence",65,p,p,"103-ARR_v2_51,title","103-ARR_v1_53,title",8,8,Conclusions,Conclusions
118,103-ARR,103-ARR_v2_55,,"Add,Fact/Evidence;Add,Fact/Evidence",47;48,p,,"103-ARR_v2_51,title",,8,,Conclusions,
119,103-ARR,103-ARR_v2_7,103-ARR_v1_7,"Modify,Grammar",66,p,p,"103-ARR_v2_3,title","103-ARR_v1_3,title",1,1,Introduction,Introduction
120,103-ARR,103-ARR_v2_8,103-ARR_v1_8,"Modify,Fact/Evidence",67,p,p,"103-ARR_v2_3,title","103-ARR_v1_3,title",1,1,Introduction,Introduction
121,110-ARR,,110-ARR_v1_37,"Delete,Claim",75,,p,,"110-ARR_v1_35,title",,3.2,,Results for MWR
122,110-ARR,,110-ARR_v1_52,"Delete,Other",76,,p,,"110-ARR_v1_49,title",,4.2,,Meaning-Matching Task
123,110-ARR,,110-ARR_v1_59,"Delete,Other",77,,p,,"110-ARR_v1_56,title",,5.1,,SAR Results
124,110-ARR,110-ARR_v2_10,110-ARR_v1_11,"Modify,Clarity",123,p,p,"110-ARR_v2_3,title","110-ARR_v1_3,title",1,1,Introduction,Introduction
125,110-ARR,110-ARR_v2_2,110-ARR_v1_2,"Modify,Grammar",124,p,p,"110-ARR_v2_1,abstract","110-ARR_v1_1,abstract",,,Abstract,Abstract
126,110-ARR,110-ARR_v2_26,110-ARR_v1_27,"Modify,Clarity;Modify,Fact/Evidence",85;86,p,p,"110-ARR_v2_22,title","110-ARR_v1_23,title",2.4,2.4,Evaluation Metrics,Evaluation Metrics
127,110-ARR,110-ARR_v2_30,110-ARR_v1_31,"Modify,Fact/Evidence;Modify,Fact/Evidence",87;88,p,p,"110-ARR_v2_29,title","110-ARR_v1_30,title",3,3,PLMs Lack Information of Negation and Lexical Semantics,PLMs Lack Information of Negation and Lexical Semantics
128,110-ARR,110-ARR_v2_4,110-ARR_v1_4,"Modify,Grammar",89,p,p,"110-ARR_v2_3,title","110-ARR_v1_3,title",1,1,Introduction,Introduction
129,110-ARR,110-ARR_v2_42,110-ARR_v1_42,"Modify,Grammar;Modify,Clarity",90;91,p,p,"110-ARR_v2_40,title","110-ARR_v1_40,title",3.3,3.3,Results for SAR,Results for SAR
130,110-ARR,110-ARR_v2_48,,"Add,Claim",78,p,,"110-ARR_v2_45,title",,4.1,,Issue of PLMs,
131,110-ARR,110-ARR_v2_48,110-ARR_v1_48,"Merge+Modify,Claim;Merge+Modify,Claim;Modify,Clarity;Modify,Claim;Modify,Clarity",92;93;94;95;96,p,p,"110-ARR_v2_45,title","110-ARR_v1_45,title",4.1,4.1,Issue of PLMs,Issue of PLMs
132,110-ARR,110-ARR_v2_5,110-ARR_v1_5,"Modify,Fact/Evidence",97,p,p,"110-ARR_v2_3,title","110-ARR_v1_3,title",1,1,Introduction,Introduction
133,110-ARR,110-ARR_v2_53,,"Add,Fact/Evidence;Add,Fact/Evidence",79;80,p,,"110-ARR_v2_49,title",,4.2,,Meaning-Matching Task,
134,110-ARR,110-ARR_v2_54,110-ARR_v1_52,"Modify,Clarity",98,p,p,"110-ARR_v2_49,title","110-ARR_v1_49,title",4.2,4.2,Meaning-Matching Task,Meaning-Matching Task
135,110-ARR,110-ARR_v2_59,110-ARR_v1_57,"Modify,Fact/Evidence",99,p,p,"110-ARR_v2_58,title","110-ARR_v1_56,title",5.1,5.1,SAR Results,SAR Results
136,110-ARR,110-ARR_v2_59,110-ARR_v1_58,"Modify,Clarity",100,p,p,"110-ARR_v2_58,title","110-ARR_v1_56,title",5.1,5.1,SAR Results,SAR Results
137,110-ARR,110-ARR_v2_60,110-ARR_v1_59,"Modify,Grammar",101,p,p,"110-ARR_v2_58,title","110-ARR_v1_56,title",5.1,5.1,SAR Results,SAR Results
