doc_name,node_ix_src,text_src,label
192-ARR,192-ARR_v1_review1_4@1,"There are some grammatical mistakes, such as a)	in line 115, it should be ""that introduces an entity similarity evaluator""; b)	etc.",Yes
192-ARR,192-ARR_v1_review2_3@1,"1. The authors unitize multilingual mBERT as basic sequence feature extractor to achieve the sequence embedding representation, why not try other multilingual pre-trained language models, such as mBART, ERNIE-M, mLUKE and so on. 
",Yes
192-ARR,192-ARR_v1_review2_3@2,"2. The languages in CoNLL dataset are some rich-resourced languages indeed, the authors need to test MTMT model on some low-resourced languages.
",Yes
192-ARR,192-ARR_v1_review2_4@1,"This paper has done a solid work on Cross-Lingual Named Entity Recognition, however, some questions remain to be clarified.
",Yes
192-ARR,192-ARR_v1_review2_4@2,Please try more multilingual feature extractors and test MTMT model on some low-resourced languages.,Yes
192-ARR,192-ARR_v1_review3_3@7,"While training with the student model, it is possible that the similarity evaluator teacher may provide incorrect supervision for w2 as the other two tokens have incorrect labels. 
",Yes
192-ARR,192-ARR_v1_review3_3@9,There should be a label distribution analysis of the source language training dataset used for the Similarity evaluator teacher model.,Yes
192-ARR,192-ARR_v1_review3_4@1,1. Some sentences are confusing.,Yes
192-ARR,192-ARR_v1_review3_4@2,For example (1) lines 7-11 sentence.,Yes
192-ARR,192-ARR_v1_review3_4@3,"In particular, what is the meaning of the phrase “identical single task across both domain.” 
",Yes
192-ARR,192-ARR_v1_review3_4@4,"2. In line 23, it should be: …on the three datasets…. 
",Yes
192-ARR,192-ARR_v1_review3_4@5,"3. In lines 523-524, it is unclear what embedding distribution is considered from the student model; add more detail.",Yes
192-ARR,192-ARR_v1_review4_3@1,1. 	I don’t understand how and why the student model is taught by the teacher model.,Yes
192-ARR,192-ARR_v1_review4_3@5,So why don’t we just use the teacher model to conduct zero-shot cross-lingual NER?,Yes
192-ARR,192-ARR_v1_review4_3@6,I also didn’t see this baseline exists.,Yes
192-ARR,192-ARR_v1_review4_3@8,"2. 	More baselines should be contained such XLM, XLMR, mBART.",Yes
192-ARR,192-ARR_v1_review4_4@1,"1. The teacher model should also be evaluated to verify whether the distillation process is necessary. 
",Yes
192-ARR,192-ARR_v1_review4_4@3,L-347.,Yes
192-ARR,192-ARR_v1_review4_4@4,' Figure.4',Yes
2-180,2-180_v1_report1747_10@0,"- Methods, Page 1, Col 2, Par 1, Lines 7-8. Could the authors provide an idea of how far in their development (if possible in age compared to humans) are 8-10 week old mice? It seems that in a prior study by the same authors that showed significant results after 14 days of low field rTMS on the visual cortex by Rodger et al. 2012, FASEB J, the mice were slightly younger (6-8 weeks). Is this period crucial in terms of postnatal development for mice? Could a less plastically sensitive brain of 8-10 week old mice vs. 6-8 week old mice explain the current null results? Please comment briefly in the manuscript.",Yes
2-180,2-180_v1_report1747_11@0,"- Methods, Page 2, Col 2, Par 2, Lines 6-7. Why were mice tested before the low field pulsed magnetic stimulation session and not also immediately thereafter, when the impact of the stimulation should have been stronger? Although I understand the authors sought a long-term effect, such a measure could have proven useful to reveal at least an immediate day-to-day impact of stimulation and become a proof of their efficacy? Given the order of events, one could be tempted to speculate the possibility of non-synergistic interaction between the lasting effects of task practice and immediately subsequent low field rTMS stimulation, cancelling the modulatory effects.",Yes
2-180,2-180_v1_report1747_12@0,"- Methods, Page 3, Col 1, Par 2, Lines 7-8 . As this is not a standard rTMS stimulation device, some additional information on the stimulation source should be given to be able to compare the efficiency of low field pulsed magnetic stimulation with current human rTMS equipment. More specifically, what is the shape of the stimulating pulse (monophasic, biphasic?) and what is the rise time of the field? The pattern of stimulation used seems essentially an “excitatory” 10 Hz rTMS pattern, preceded and followed by short instances of ~6 Hz stimulation. Was this high frequency employed as a way to induce LTP phenomena in the hippocampus or as a tool to enhance cortical excitability and facilitate learning behavior leading then to functional and anatomical modulations of the hippocampus? Please comment briefly.",Yes
2-180,2-180_v1_report1747_13@0,"- Methods, Page 3, Col 1, Par 2, Lines 7-8. Navigation of the TMS coil of course could have been improved given the high-focality of the device used by the authors and the fact that any small head movements in a small rodent brain could easily lead to a completely different area of stimulation. It is true that prior studies in awake felines by our own group (see Valero-Cabré et al . 2006, Exp Brain , Valero-Cabre A et al. 2008, Eur J Neurosci. ) have used a similar manual procedure, but it is also the case that the coils and brains in those studies were larger and precise location on a specific region of the posterior parietal cortex was guided day to day by stereotaxic based measures and references. In many instances, we additionally benefited from parietal bone transparency during surgery, and identified in each animal the sulci/gyral pattern and labelled the exact area of interest (see Valero-Cabré et al . 2005 Exp Brain Res, Valero-Cabré et al .2007 Exp Brain Res ). Furthermore, in groups that were to be followed longitudinally, we placed a dental acrylic plug, that could be palpated through the skin of the scalp (see Afifi et al. 2012 Eur J Neurosci ) which was then used as consistent localization marker. The correct positioning of those plugs with regards to the stimulated areas was often verified pre-treatment by anatomical MRI methods and also in post-mortem brain dissections at the end of the follow up. In the current study, given the elongated shape of the hippocampus in rodents, which part of the rodent cortex or which stereotaxic level was aimed at during the stimulation? Also, in contrast with the quoted feline study, the authors indicate here that the coil was not in direct contact with the scalp. As air is a strong isolator, could that have attenuated the strength of such a low intensity field even further? Were Hall probe field measures in the hippocampus performed with the stimulating cell also separated from the scalp?",Yes
2-180,2-180_v1_report1747_14@0,"- Discussion, Page 5, Col 1, Par 1, Lines 4-6. The statement “ The absence of observed behavioral and structural change is consistent with previously reported rTMS specificity for abnormal systems ” needs to be expanded upon as the Ephrin-A2-/- mice have indeed abnormal systems. Maybe a short comment on how to reconcile the current findings with those reported in Rodger et al. 2012, FASEB J , would be important as in that study by the same authors similar stimulation patterns were able to correct cortico-collicular connectivity only in Ephrin-A2-/- and not in Wild type mice, supporting the above-mentioned statement.",Yes
2-180,2-180_v1_report1747_15@0,"- Discussion, Page 5, Col 1, Par 1, Lines 6-8 . I would strongly advise the authors to alter the contents of the sentence “ Furthermore, the lack of adverse effects in our long term study contributes evidence that rTMS is safe to use in healthy control participants ”. Could they rephrase to something like “Furthermore, the lack of adverse effects in our long term study suggests that up to 5 weeks of daily sessions (35 session) of low field pulsed magnetic stimulation at the parameters used in this study appears safe to use in healthy participants”. This is important as the intensity levels employed are very different of those employed in human rTMS, which are much higher, and this information could have some public health implications for future use of rTMS in humans.",Yes
2-180,2-180_v1_report1747_16@0,"- Discussion, Page 5, Col 2, Par 1, Lines 19-21 . Please check the accuracy of the sentence “ To our knowledge, there have been no studies assessing cognitive effects of long-term rTMS in patients and healthy controls, which presents a large gap in knowledge ”",Yes
2-180,2-180_v1_report1747_17@0,"- Discussion, Page 5, Col 2, Par 1, Lines 21-22 . As indicated above (comment 10), would the authors agree to rewrite the sentence “ Although more research is needed, our results support that rTMS is safe to use in healthy control participants… ” and revise the second part of it “ … invaluable in assessment of rTMS effects clinically ” which to this reviewer is confusing?",Yes
2-180,2-180_v1_report1747_18@0,"- Discussion, Page 5, Col 2, Par 2, Lines 5-8. This sentence can be a bit surprising to readers, why did the authors chose a knock out for Ephrine A2 in a study that aimed to analyze spine density in the hippocampus if as they affirm in this paragraph, this molecule is not involved in spine dynamics? Maybe the rational for that choice needs to be explained more carefully.",Yes
2-180,2-180_v1_report1747_3@0,The only limitation of the current manuscript is related to the difficulties in interpreting null outcomes; in this case a triple negative result.,Yes
2-180,2-180_v1_report1747_5@3,"Nonetheless, in the absence of any positive sign of a stimulatory impact, this possibility cannot be ruled out and should probably be briefly discussed.",Yes
2-180,2-180_v1_report1747_7@0,"- Introduction, Page 1, Col 1, Par 1, Line 6. Could the authors re-evaluate the adequacy of the term “metaplasticity” with regards to TMS-induced LTP effects, as to this reviewer, the main effect of high frequency stimulation are LTP or LTP-like effects. Metaplasticity is a consequence of forcing homeostatic plasticity beyond a particular boundary, which may result in paradoxical modulatory effects.",Yes
2-180,2-180_v1_report1747_8@0,"- Introduction, Page 1, Col 1, Par 2, Lines 7-9 . With regards to this issue, in this particular study were the authors hypothesizing a direct impact of low field pulsed magnetic stimulation on specific cortical locations translated through connectivity into a declarative and spatial memory region such as the hippocampus, or a cortical effect of stimulation leading to subsequent changes in behavior that could leave a distinctive memory trace in the hippocampus?",Yes
2-180,2-180_v1_report1747_9@0,"- Introduction, Page 1, Col 1, Par 3 . The paper by May et al. 2007, Cereb. Cortex, in which the effect of 5 straight days of rTMS on humans assessed with MRI methods and regional size increases (hypothetically attributed to increases in spine density) could be relevant for this introduction.",Yes
2-180,2-180_v1_report2135_2@0,"The title and abstract should ideally reflect the findings of the study more precisely, for example:",Yes
2-180,2-180_v1_report2135_4@1,"Furthermore, the abstract should mention that they were adult mice and the background strain used was C57Bl/6J, as it is possible that different aged mice and/or a different genetic strain of mice might respond differently to the same rTMS protocol.",Yes
2-180,2-180_v1_report2135_5@3,"The authors report no significant gene effects, and it is therefore not a major confound in this case, however if randomised littermates were not used (as the methods imply) this should be noted.",Yes
2-180,2-180_v1_report2135_6@1,"However, it might be worth noting that an extensive battery of behavioural tests (for example including sensory, cognitive, affective and motor protocols) on wild-type mice would be worth pursuing to assess whether this rTMS protocol (or others with different spatial and temporal specificities) has any effects on brain function analogous to human studies.",Yes
21-ARR,21-ARR_v1_review1_3@0,summary_of_weaknesses. - The proposed method is quite simple.,Yes
21-ARR,21-ARR_v1_review1_3@2,"
- The achieved performance boost is moderate.",Yes
21-ARR,21-ARR_v1_review1_3@4,"This analysis, though very welcome, demonstrates that the proposed method suffers a large computational penalty for a small accuracy/F1 gain.",Yes
21-ARR,21-ARR_v1_review1_4@1,"This paper is a resubmission from ARR August, and it has not been significantly improved.",Yes
30-ARR,30-ARR_v1_review1_3@0,summary_of_weaknesses. - Some experiments don’t add much to the analysis: Duplication (line 493) doesn’t seem like a reasonable baseline to compare to.,Yes
30-ARR,30-ARR_v1_review1_3@1,It merely multiplies the 50 examples without adding any new information.,Yes
30-ARR,30-ARR_v1_review1_3@2,"
-The semi-factual generation on model generated rationale in the first step: the replacement could be done on missing rationales, This will remove the correct rationales form the example.",Yes
30-ARR,30-ARR_v1_review1_3@3,It would be better if the paper address this (even simply pointing out that it’s not an issue).,Yes
30-ARR,30-ARR_v1_review1_3@4,"
-Some annotation protocals and their encessities are not explained.",Yes
30-ARR,30-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - Typo line 1: rational-centric → rationale-centric -Was the notation in line 284 intentional? Would look nicer to use $x'$ instead.",Yes
30-ARR,30-ARR_v1_review1_4@1,"
-Not sure if *inductive bias* is the right term to characterize what the annotation captures.",Yes
30-ARR,30-ARR_v1_review2_3@0,"summary_of_weaknesses. - The proposed approach is not fully automatic, and still requires human annotations for identifying rationales and correcting errors from the static semi-factual generation phase.",Yes
30-ARR,30-ARR_v1_review2_3@1,"While this annotation effort could be less significant that other data augmentation methods, it still presents a significant cost overhead.",Yes
30-ARR,30-ARR_v1_review2_3@2,"
-It is not clear how to generalize this approach to other NLP tasks aside from sentiment analysis and text classification.",Yes
30-ARR,30-ARR_v1_review2_3@3,"For instance, it is not clear how to generalize this approach to other sequence-to-sequence tasks like machine translation.",Yes
30-ARR,30-ARR_v1_review2_3@4,"
-Identifying rationales is not a simple problem, specifically for more complicated NLP tasks like machine translation.",Yes
30-ARR,30-ARR_v1_review2_4@2,"Figure 2 is a bit cluttered and the ""bold"" text is hard to see, perhaps another color or a bigger font could help in highlighting the human identified rationales better.",Yes
7-1235,7-1235_v1_report37844_3@0,- The manuscript will benefit from editing by a native English speaker. Phrasing and grammar are uncommon at times.,Yes
7-1235,7-1235_v1_report37844_3@1,"- Reference 5 is referred as “updated TCGA clinical data”. This is incorrect. The paper referred to is an interpretation of the clinical data in the context of the Pan Can Atlas effort by the TCGA, but it is NOT the official clinical data. It is a derived product of it.",Yes
7-1235,7-1235_v1_report38311_2@0,"1. As noted by reviewer 1, the manuscript should be carefully proofread for typographical errors and standard english grammar.",Yes
7-1235,7-1235_v1_report38311_2@1,"For example: the common R package ggplot2 is referred to in the text as ""ggplots2"".",Yes
7-1235,7-1235_v1_report38311_3@2,A plan for updating the packaged TCPA and survival data should be included in the manuscript (and implemented in the package).,Yes
7-1235,7-1235_v1_report38311_3@3,"Automating this process as a function in the package would be ideal, but detailed instructions for updating the packaged data for local installations would be acceptable as well.",Yes
7-1306,7-1306_v1_report37288_4@0,"- The current manuscript focuses on user experience through a standardized analysis pattern, this is done well by the publication. The majority of the analysis and data visualization is modeled after current trends but two areas of improvement exist. The use of a Wilcoxon-Rank-Sum test to test one label verse all other labels is useful to researchers and is something offered through current analysis packages. There has been work that has improved the way differential expression is performed, SCDE and MAST are packages that allow more complex models or comparisons that go beyond two labels. Of those, at least MAST has shown to be performant and is now available as an option in Seurat. It is rare one will only find two clusters of cells in a single cell transcriptomics study, the extension to more labels should be included.",Yes
7-1306,7-1306_v1_report37288_4@1,"- Heatmaps were used in Figure 4a. Although useful when one wants to see the actual data and scalable to an extremely small subsection of genes (here 10), often single cell transcriptomics data is too sparse to fully appreciate patterns when presented in heatmaps (as measurements, when not using summaries) and the numbers of observations in these studies can go to more than a million; making this visualization not scalable. Dot plots should be the first plot offered in these use cases with the ability to go to heatmaps to see the actual data if needed.",Yes
7-1306,7-1306_v1_report37288_4@2,"- Standardization and approachable user experiences are big wins for our community, but this has to be coupled with an underlying methodology that is scalable to the sizes of data we see and expect to see the near future. Data sets of over a million already exist, how does this solution scale to data in the thousands, tens of thousands, and so on. It is essential the manuscript include benchmarking so users can understand if working with their data set in this environment is possible.",Yes
7-1306,7-1306_v1_report37288_4@3,"- Please list if there are any costs (or that there are no costs if that is, in fact, true) with running analysis in the notebooks. Must one always download the notebooks and run them on their own systems or is the running of analysis hosted?",Yes
7-1306,7-1306_v1_report37288_6@0,- It is interesting that Jupyter Notebooks are leveraged to target an audience that can not program given Jupyter notebooks are a common environment for developers. That being said the interfaces given to the users do seem to be appropriate user experiences for those who prefer working through UIs. Does this work also include the ability for someone to edit and update the code of the GenePattern Notebook if they are a developer? Such a functionality would extend the usability of the notebooks by supporting an additional type of user.,Yes
7-1306,7-1306_v1_report37288_6@1,"- In Figure 1 kernel density estimations with a data plotted below the density are used instead of violin plots with overplotted data. Although I appreciate the same information is being presented in both plots (hence this being a minor comment), it would be helpful to use violin plots instead of the current plots. First, violin plots are de facto (and the GenePattern plot does not add information) and secondly, outliers are given more presence in violin plots (data is plotted directly on the plot and the tail of the plot to higher values is not hidden by an axis). This is important given outlier are explicitly the focus of figure 1.",Yes
7-1306,7-1306_v1_report40612_11@2,I recommend that the author regularly update this template with methods as they become available in that library.,Yes
7-1306,7-1306_v1_report40612_11@4,"I recommend the t-test_overestim_var from Scanpy for something fast and logreg for something more accurate, but all the options should be made available and the defaults from Scanpy should be the defaults for you.",Yes
7-1306,7-1306_v1_report40612_4@0,There are some significant usability issues with the notebook as it stands that will need to be remedied for it to be useful to a broad audience.,Yes
7-1306,7-1306_v1_report40612_6@0,The author should make it possible to upload 10X files properly.,Yes
7-1306,7-1306_v1_report40612_7@0,"- Interactive sliders are nice, much better than setting cutoffs by number, seeing how values change, and iterating. For the cutoffs on nGene and nCounts, the sliders are not aligned with the plot and lack numerical axes or numbers for current values. These should be displayed directly under the plots so that one can slide them to align with suggested cutoffs at various values of sigma, and should also display the numerical value currently selected.",Yes
7-1306,7-1306_v1_report40612_8@0,"(Also, the suggestion that 3\sigma is an appropriate cutoff is based on the assumption of a normal distribution, which does not hold for this data, especially for 10X.)",Yes
7-1306,7-1306_v1_report40612_9@0,"- The notebook bakes in certain analysis choices, such as regressing out % mito, which are not statistically sound. For the problems with regressing out, see this [blog post](http://ds.czbiohub.org/blog/Regression-Hazards/). I suggest that such ""corrections"" be removed. For a simple, sound analysis, see the workflow and language we used for Tabula Muris [Annotation Vignette](https://github.com/czbiohub/tabula-muris/blob/master/00_data_ingest/02_tissue_analysis_rmd/Organ_Annotation_Vignette.Rmd)",Yes
7-1306,7-1306_v1_report40612_9@3,- The tSNE tab for visualizing gene expression did not load when clicked on.,Yes
7-1306,7-1306_v1_report40612_9@4,"- ""Conversely, reads for multiple cells may be captured together, artificially inflating the number of reads for a single cell. "" Doublet detection is indeed a tricky problem. There are [methods](https://www.biorxiv.org/content/early/2018/07/19/352484) to address it, but this notebook does not implement them.",Yes
7-1306,7-1306_v1_report40612_9@5,"- Depending on the size of the data, each step may take seconds to hours. For a naive user, they may not know how long to wait and at some point anyone would give up. It would be very useful if the author did some calibration for each step (running sample datasets of various sizes) so that an estimated time to completion could be displayed.",Yes
192-ARR,192-ARR_v1_review4_4@0,"comments,_suggestions_and_typos.",No
21-ARR,21-ARR_v1_review1_1@1,This paper presents a knowledge distillation method based on MAML.,No
7-1306,7-1306_v1_report37288_3@0,The following major comments should be addressed.,No
2-180,2-180_v1_report1747_3@1,Not only did low field pulsed magnetic stimulation prove unable to modify visual learning behavior or hippocampus spine density in these two population of mice but neither of the two showed (as should have been at least expected) significant differences in any of these two measures.,No
192-ARR,192-ARR_v1_review1_4@0,"comments,_suggestions_and_typos.",No
2-180,2-180_v1_report1747_3@3,"Among other important issues, the study emphasizes once more the importance of task titration.",No
192-ARR,192-ARR_v1_review3_3@0,summary_of_weaknesses.,No
172-ARR,172-ARR_v1_review1_1@0,paper_summary.,No
7-1306,7-1306_v1_report40612_10@0,Final remarks:,No
21-ARR,21-ARR_v1_review1_4@2,The only major addition is Table 2 that describes the tradeoff between computational cost and model performance.,No
2-180,2-180_v1_report1747_1@2,"In spite of the current null results, this kind of work is greatly needed in the field of non-invasive brain stimulation in order to understand the cellular underpinnings of these techniques and assess the safeness and real therapeutic potential of stimulation technologies in clinical neurorehabilitation.",No
21-ARR,21-ARR_v1_review1_2@3,"- The presentation is clear, logical and easy to follow.
",No
2-180,2-180_v1_report1747_1@3,"Overall, the neurostimulation community should strongly thank the authors for investing their know-how, time and effort to carry over this type of animal research and we all should encourage them to pursue their efforts in the future.",No
192-ARR,192-ARR_v1_review3_4@0,"comments,_suggestions_and_typos.",No
166-ARR,166-ARR_v1_review1_1@3,A quantization process further reduces the size of the representations on disk.,No
192-ARR,192-ARR_v1_review3_2@0,summary_of_strengths.,No
192-ARR,192-ARR_v1_review3_2@2,"2. Cross-lingual NER is a challenging problem, and the proposed approach can be easily scaled to more low-resource languages. 
",No
192-ARR,192-ARR_v1_review4_1@2,Two student models are supervised by two teacher models.,No
2-180,2-180_v1_report1747_3@2,"The authors do an excellent job going over the different possibilities that could explain this null pattern of outcomes, even if they do not have much basis to rule out any of the hypotheses in particular.",No
2-180,2-180_v1_report2135_7@0,"If such comprehensive TMS animal studies are done but still show inconsistencies with matching human TMS studies then one possibility is that the animal TMS needs to better match the exact spatial, temporal and biophysical aspects of human TMS.",No
2-180,2-180_v1_report2135_5@0,One concern regarding the methods and design is that the authors appear to have used a separate wild-type mouse colony and compared them to ephrin-a2 KO mice inbred via a backcrossed colony.,No
7-1235,7-1235_v1_report37844_1@2,"There are no major flaws with the module, the code is deposited in github, allowing easy access to users.",No
172-ARR,172-ARR_v1_review1_3@1,### Original comments from previous review -The main concern is the technical novelty of this paper.,No
172-ARR,172-ARR_v1_review1_3@15,-**Re.,No
7-1235,7-1235_v1_report38311_3@1,This tool is substantially less useful if it is not updated when new source data is released.,No
7-1306,7-1306_v1_report40612_3@1,"Such an accessible analysis with guard-rails would be useful--had I been aware of the GenePattern system when organizing data analysis for the Tabula Muris project, I would certainly have used it, and so avoided many problems with people deleting code they shouldn't have, not changing file names to match their local directory structure, etc.",No
21-ARR,21-ARR_v1_review1_3@1,"Its essence is the ""pilot update"" mechanism, which basically applies the inner loop of MAML twice, once to update the teacher, and once to update the student.",No
21-ARR,21-ARR_v1_review1_4@3,"Therefore, the majority of reviewers' comments from ARR August still holds (I was one of the original reviewers).",No
30-ARR,30-ARR_v1_review2_2@2,-The proposed approach is simple and can be applied for NLP tasks where rationales can be easily identified and annotated.,No
7-1306,7-1306_v1_report40612_11@3,"For example, t-tests and the wilcox have problems with log-normalized data (they fail to be consistent when cells are sampled to different depths).",No
7-1306,7-1306_v1_report40612_1@1,"GenePattern notebooks allow a user to access python libraries for data analysis through a simple GUI--dropdown menus, text fields, and sliders are used to provide inputs to python functions that get run under the hood.",No
30-ARR,30-ARR_v1_review1_3@5,"E.g., line 223-224 and line 230-231.",No
192-ARR,192-ARR_v1_review3_3@4,"Let’s consider a counter-example: suppose for a low-resource language LR with sentences S1 = {w1, w2, w3, w4}, S2 = {w1, w5, w3, w4} and S3 = {w1, w6, w3, w4}.",No
7-1235,7-1235_v1_report38311_5@0,Yes,No
192-ARR,192-ARR_v1_review3_1@4,It is trained as a similarity prediction task with two uniformly sampled tokens from two input sentences.,No
2-180,2-180_v1_report1747_6@0,MINOR COMMENTS AND SUGGESTIONS,No
7-1306,7-1306_v1_report37288_2@1,Growing resources for single cell transcriptomics will continue to enable that community and extend GenePattern to additional users.,No
172-ARR,172-ARR_v1_review1_3@19,"Yes, when fine-tuning there is only the BERT encoder used.",No
172-ARR,172-ARR_v1_review1_3@22,"That's why I gave this paper a score of 3.5.
",No
30-ARR,30-ARR_v1_review2_1@1,The paper presents a rational-centric framework with human-in-the-loop to boost model out-of-distribution performance in few-shot learning scenarios.,No
7-1235,7-1235_v1_report37844_5@0,Yes,No
192-ARR,192-ARR_v1_review3_1@6,Then a Teacher Student Distillation model is simultaneously trained with both teachers’ soft labels to improve the representation for the target language.,No
2-180,2-180_v1_report1747_5@2,This reviewer cannot demonstrate that this possibility is more likely than any of the others already mentioned in the manuscript.,No
192-ARR,192-ARR_v1_review2_3@3,"[1] Ri R, Yamada I, Tsuruoka Y. mLUKE: The Power of Entity Representations in Multilingual Pretrained Language Models[J].",No
30-ARR,30-ARR_v1_review2_2@0,summary_of_strengths.,No
21-ARR,21-ARR_v1_review1_2@2,"- The proposed method achieves SOTA performance on a large number of tasks in NLP, in distilling BERT.
",No
192-ARR,192-ARR_v1_review4_3@4,"If so, this means that the mBART teacher model is able to conduct NER task in the target language.",No
7-1306,7-1306_v1_report37288_8@0,Partly,No
192-ARR,192-ARR_v1_review3_1@8,The experiments are conducted on three datasets and six low-resource languages.,No
30-ARR,30-ARR_v1_review1_1@5,The authors compare with CAD and show better in-domain and OOD performance.,No
172-ARR,172-ARR_v1_review1_3@17,-**Re.,No
192-ARR,192-ARR_v1_review1_1@2,An entity similarity evaluator is proposed to help NER as an auxiliary task.,No
172-ARR,172-ARR_v1_review1_2@1,"- The idea behind the paper is intuitive and straightforward.
",No
172-ARR,172-ARR_v1_review1_3@18,To Reviewer2.3**: Sorry for the confusion.,No
172-ARR,172-ARR_v1_review1_2@2,"-The results are a little surprising to me and they look good.
",No
192-ARR,192-ARR_v1_review4_3@0,summary_of_weaknesses.,No
21-ARR,21-ARR_v1_review1_1@2,"The paper's main aim is to address two drawbacks of existing knowledge distillation methods: (1) teacher being unaware of the capacity of the student, and (2) teacher not optimised for distillation.
",No
7-1235,7-1235_v1_report38311_3@0,"2. The web interface indicates that the TCPA data included with the package were downloaded on 2017/11/10, but the current TCPA release (4.2) was made available on 2018/07/18.",No
7-1306,7-1306_v1_report40612_12@0,This will need to be a living document to be useful.,No
7-1306,7-1306_v1_report37288_2@4,Steps for analysis leveraged from that tutorial seem reasonable and visualizations (excluding one comment below) seem to match what you would see in publications.,No
166-ARR,166-ARR_v1_review1_1@0,paper_summary.,No
192-ARR,192-ARR_v1_review3_1@2,"This framework consists of two teacher training models as two tasks, i.e., Entity recognizer teacher and similarity evaluator teacher for entity recognition and token type identification, respectively in the source language.",No
192-ARR,192-ARR_v1_review3_1@0,paper_summary.,No
192-ARR,192-ARR_v1_review4_3@2,The teacher model is only trained on the source language.,No
2-180,2-180_v1_report1747_2@0,GENERAL POINTS,No
30-ARR,30-ARR_v1_review1_1@4,2) ask human annotators to identify false rationales (use synonym replacement for the false span) and missing rationales (extract a subsequence) to generate as the new examples.,No
7-1306,7-1306_v1_report40612_11@0,"Single-cell sequencing analysis is evolving, and it is essential that we get the most sound methods in the hands of practitioners.",No
192-ARR,192-ARR_v1_review3_3@2,Paper reported a concrete example in lines 70-85.,No
192-ARR,192-ARR_v1_review1_2@0,summary_of_strengths.,No
192-ARR,192-ARR_v1_review2_1@4,Experimental results show that the proposed model yields significant improvements on six target language datasets and outperforms the existing state-of-the-art approaches.,No
7-1306,7-1306_v1_report40612_1@2,This allows a user familiar with web interfaces to run a program without having to understand syntax.,No
172-ARR,172-ARR_v1_review1_3@27,"Thus, I keep my recommendation of weak acceptance for this paper and I suggest other reviewers consider increasing their scores.",No
192-ARR,192-ARR_v1_review2_1@0,paper_summary.,No
192-ARR,192-ARR_v1_review1_3@3,2. 	The experiment is not sufficient.,No
7-1235,7-1235_v1_report37844_1@0,This report by Borcherding et al. deals with the creation of a tool to visualize the impact of proteins represented in the Reverse Phase Protein Array (RPPA) on the survival of patients used in The Cancer Genome Atlas (TCGA).,No
7-1306,7-1306_v1_report40612_3@0,"Ideally, a naive user could upload their gene counts (say the output of CellRanger by 10X), tune just a few parameters according to the guidelines in the notebook, and find meaningful clusters in their data.",No
7-1306,7-1306_v1_report40612_14@0,Partly,No
30-ARR,30-ARR_v1_review2_1@0,paper_summary.,No
172-ARR,172-ARR_v1_review1_3@4,"Can you explain why?
",No
