,before,after,label
13,"For the cross-correlation power spectrum of galaxy samples with the CMB , deviation from linear theory by about [MATH] can occur at [MATH] to [MATH] , or equivalently at scales of two to four degrees .","For the cross-correlation power spectrum of galaxy samples with the CMB , deviation from linear theory by about [MATH] can occur at [MATH] to [MATH] , or equivalently at scales of two to four degrees the density [MATH] and [MATH] behaves differently to the power spectrum of [MATH] .",Content
14,"For the cross-correlation power spectrum of galaxy samples with the CMB , deviation from linear theory by about [MATH] can occur at [MATH] to [MATH] , or equivalently at scales of two to four degrees ."," the cross-correlation power spectrum of galaxy samples with the CMB , deviation from linear theory by about [MATH] can occur at [MATH] to [MATH] , or equivalently at scales of two to four degrees .",Improve-grammar-Typo
15,"For the cross-correlation power spectrum of galaxy samples with the CMB , deviation from linear theory by about [MATH] can occur at [MATH] to [MATH] , or equivalently at scales of two to four degrees .",For the cross-correlation power spectrum of .,Content
16,"We consider this abstract question in the context of a simple but realistic model , in which we use observed SSTs , the mean number of hurricanes in the basin is a linear function of SST , and each basin hurricane has a constant probability of making landfall .",We consider this abstract question in the context of a simple but realistic model .,Content
17,"We consider this abstract question in the context of a simple but realistic model , in which we use observed SSTs , the mean number of hurricanes in the basin is a linear function of SST , and each basin hurricane has a constant probability of making landfall .","We consider this abstract question in the context of two simple models , in which we use observed SSTs , the mean number of hurricanes in the basin is a linear function of SST , and each basin hurricane has a constant probability of making landfall .",Content
18,This package contains a tridimensional description of the interactions and should reproduce the spatial distribution of secondaries better than older models based on empirical parameterizations of accelerator data .,This package contains a tridimensional description of the interactions and should reproduce the spatial distribution of secondaries better than older models based on empirical parameterizations of both electro-magnetic and hadronic accelerator data .,Content
19,This package contains a tridimensional description of the interactions and should reproduce the spatial distribution of secondaries better than older models based on empirical parameterizations of accelerator data .,This package contains a tridimensional description of interactions and should reproduce the spatial distribution of secondaries better than older models based on empirical parameterizations of accelerator data .,Improve-grammar-Typo
20,This package contains a tridimensional description of the interactions and should reproduce the spatial distribution of secondaries better than older models based on empirical parameterizations of accelerator data .,This package contains a tridimensional description of the interactions .,Content
21,"To this end , it is convenient to recall that [MATH] is given in terms of [MATH] by the Williamson transform inversion formula [EQUATION] with [MATH] denoting the right-hand derivative of [MATH] , cf. [CITATION] .","To this end , it is convenient to recall that [MATH] is given in terms of [MATH] by the Williamson transform inversion formula [EQUATION] with [MATH] denoting the right-hand derivative of [MATH] In case [MATH] is not given in closed form , cf. [CITATION] .",Content
22,"To this end , it is convenient to recall that [MATH] is given in terms of [MATH] by the Williamson transform inversion formula [EQUATION] with [MATH] denoting the right-hand derivative of [MATH] , cf. [CITATION] ."," , it is convenient to recall that [MATH] is given in terms of [MATH] by the Williamson transform inversion formula [EQUATION] with [MATH] denoting the right-hand derivative of [MATH] , cf. [CITATION] .",Lang-improve-readability-Simplify
23,"Precisely , we exploit the log-concavity of [MATH] to induce a Riemannian geometry on the parameter space .","Precisely , we exploit the log-concavity of [MATH] to induce a Riemannian geometry on the solutions space .",Lang-accurate-spefific
24,"In Fig. [REF] ( c ) , we plot the performance for the more realistic finite traffic model .","In Fig. [REF] ( c ) , we plot the performance for the more realistic finite traffic model as a function of packet arrival rate .",Content
25,"In Fig. [REF] ( c ) , we plot the performance for the more realistic finite traffic model .","In Fig. [REF] ( c ) , we plot the performance for the finite traffic model .",Lang-improve-readability-Simplify
26,"In Fig. [REF] ( c ) , we plot the performance for the more realistic finite traffic model .","In Fig. [REF] ( c ) , we plot the user throughput of the more realistic finite traffic model .",Lang-accurate-spefific
27,"Replacing the perfectly reflecting plates by impurities embedded in a one-dimensional quantum liquid , Casimir forces between these impurities have been calculated in [CITATION] as a function of the impurity-liquid coupling .","Replacing the perfectly reflecting plates by impurities embedded in a quantum liquid , Casimir forces between these impurities have been calculated in [CITATION] as a function of the impurity-liquid coupling .",Lang-improve-readability-Simplify
28,It can be checked that any nilrotation is distal [CITATION] .,It can be checked that any nilrotation is distal ( [CITATION] .,Format
29,It can be checked that any nilrotation is distal [CITATION] .,"It can be checked that any nilrotation is distal [CITATION] ; see also [CITATION] , [CITATION] ) .",Format
30,This is an out of equilibrium problem characterized by the absence of fluctuation-dissipation theorem due to long range hydrodynamic term .,This is an out of equilibrium problem characterized by the absence of fluctuation-dissipation theorem due to long range hydrodynamic term and self-generated force due to actin remodeling .,Content
31,When [MATH] ( the symmetric case ) the distribution shown in Fig. [REF] is not a solution of the steady-state test-particle equation : [EQUATION] where [EQUATION]," As shown in [CITATION] , When [MATH] ( the symmetric case ) the distribution shown in Fig. [REF] is not a solution of the steady-state test-particle equation : [EQUATION] where [EQUATION]",Format
32,"The spectral function of the dot shows therefore sharp peaks , which could be measured by STM or microwave experiments as proposed recently [CITATION] ( noise measurements have also been suggested in [CITATION] ) .","The spectral function of the dot shows therefore sharp peaks , which could be measured by STM [CITATION] or microwave experiments as proposed recently [CITATION] ( noise measurements have also been suggested in [CITATION] ) .",Format
33,"The spectral function of the dot shows therefore sharp peaks , which could be measured by STM or microwave experiments as proposed recently [CITATION] ( noise measurements have also been suggested in [CITATION] ) .","The spectral function of the dot shows therefore sharp peaks , which could be measured by STM or microwave experiments as proposed recently .",Content
34,"The spectral function of the dot shows therefore sharp peaks , which could be measured by STM or microwave experiments as proposed recently [CITATION] ( noise measurements have also been suggested in [CITATION] ) .","The spectral function of the dot shows therefore sharp peaks , which could be measured by STM or microwave- [CITATION] optical [CITATION] experiments as proposed recently [CITATION] ( noise measurements have also been suggested in [CITATION] ) .",Format
35,"In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data channel , respectively .","In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data From the common RS ( CRS ) to the channel , respectively .",Content
36,"In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data channel , respectively ."," channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data channel , respectively .",Content
37,"In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data channel , respectively .","In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition .",Content
38,"In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) and demodulation RS ( DM-RS ) have been introduced to perform the CSI acquisition and demodulation of data channel , respectively .","In LTE-Advanced system , two new RSs , viz. , channel state information RS ( CSI-RS ) , various RSs have been introduced to perform the CSI acquisition and demodulation of data channel , respectively .",Content
39,"Let [MATH] a suitable base of [MATH] that will be specified in the fourth step , and [MATH] be an orthonormal base of [MATH] .",Let [MATH] be an orthonormal base of [MATH] .,Content
40,"Also , spatially flat XCDM and [MATH] CDM both reduce the tension between CMB anisotropy and weak gravitational lensing estimates of [MATH] , the rms fractional energy density inhomogeneity averaged over [MATH] Mpc radius spheres .","Also , spatially flat XCDM and [MATH] CDM both reduce the tension between CMB temperature anisotropy and weak gravitational lensing estimates of [MATH] , the rms fractional energy density inhomogeneity averaged over [MATH] Mpc radius spheres .",Lang-accurate-spefific
41,"Also , spatially flat XCDM and [MATH] CDM both reduce the tension between CMB anisotropy and weak gravitational lensing estimates of [MATH] , the rms fractional energy density inhomogeneity averaged over [MATH] Mpc radius spheres .","Also , spatially flat XCDM and [MATH] CDM both reduce the tension between CMB anisotropy and weak gravitational lensing estimates of [MATH] , the rms fractional energy density inhomogeneity averaged over [MATH] Mpc radius spheres , where [MATH] is the Hubble constant in units of 100 km s [MATH] Mpc [MATH] .",Content
42,"S2LET achieves very good numerical accuracy , with numerical errors comparable to floating-point precision .","S2LET achieves very good numerical accuracy , with numerical errors comparable to floating-point precision only .",Lang-professional-Improve-style
43,"S2LET achieves very good numerical accuracy , with numerical errors comparable to floating-point precision .","S2LET achieves very good numerical accuracy , with numerical errors comparable to accumulated floating-point errors .",Lang-accurate-spefific
44,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand removing [MATH] per degree of freedom .,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand black in principle removing [MATH] per degree of freedom .,Content
45,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand removing [MATH] per degree of freedom .,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand removing [MATH] per degree of freedom ( chemical potential of an isolated molecules ) .,Content
46,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand removing [MATH] per degree of freedom .,The kinetic part of [MATH] due to the rotational and vibrational degrees of freedom corresponds in our case to [MATH] and can be calculated by hand .,Content
47,"An application of these subspaces is to the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .","An application of these subspaces is to the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic Further , we suggest situations .",Content
48,"An application of these subspaces is to the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations ."," the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .",Content
49,"An application of these subspaces is to the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .","An application of these subspaces is to a relativistic-invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .",Improve-grammar-Typo
50,"An application of these subspaces is to the relativistic invariant protocol for quantum information processing , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .","An application of these subspaces is to the relativistic invariant protocol for quantum communication , with which the non-relativistic quantum information theory could be invariantly applied to relativistic situations .",Lang-accurate-spefific
51,"Recently , 3rd generation partnership project ( 3GPP ) standard body initiated the standardization activity for the massive MIMO systems with an aim to satisfy the spectral efficiency requirement of future cellular systems [CITATION] .","Recently , 3rd generation partnership project ( 3GPP ) standard body initiated the standardization activity to employ tens of antennas at basestation with an aim to satisfy the spectral efficiency requirement of future cellular systems [CITATION] .",Content
52,"The diffusion of power systems can only occur in areas where resources are available , for instance windy areas for wind power , or natural water basins and rivers for hydroelectric systems .","The diffusion of power systems can only occur in areas where energy resources are available , for instance windy areas for wind power , or natural water basins and rivers for hydroelectric systems .",Lang-accurate-spefific
53,"The diffusion of power systems can only occur in areas where resources are available , for instance windy areas for wind power , or natural water basins and rivers for hydroelectric systems .","The diffusion of power systems can only occur in areas where resources are available , for instance windy areas for wind power , or natural water basins and rivers for hydroelectric dams .",Lang-accurate-spefific
54,We define the [MATH] -generalized covariance matrix [MATH] of an unbiased estimator [MATH] as the [MATH] matrix whose [MATH] -th element is [EQUATION],We define the [MATH] -global covariance matrix [MATH] of an unbiased estimator [MATH] as the [MATH] matrix whose [MATH] -th element is [EQUATION],Lang-accurate-spefific
55,"The authors found that for an isotropic system , the crossover between the two regimes is at a filling fraction [MATH] .","The authors found that for an isotropic system , the crossover between the two regimes is at a filling fraction [MATH] , where the precise definition of [MATH] will be given shortly .",Content
56,This proves the first statement of the theorem ., The Gateaux derivative [REF] is equal to [MATH] for any [MATH] if and only if [MATH] is given by the following equation : [EQUATION] This proves the first statement of the theorem .,Content
57,This proves the first statement of the theorem ., which proves the first statement of the theorem .,Content
58,These commands are available for both sampling schemes .,These commands are available for both HEALPix and MW sampling schemes .,Content
59,"With this construction the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .","With this construction the wavelets and scaling function are well-localised both spatially on , the sphere and also in harmonic space , as shown in Figure [REF] .",Format
60,"With this construction the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .",With this construction the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space .,Format
61,"With this construction the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .","With these three constructions the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .",Content
62,"With this construction the wavelets and scaling function are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .","With this construction the wavelets and scaling functions are well-localised both spatially on the sphere and also in harmonic space , as shown in Figure [REF] .",Improve-grammar-Typo
63,"The functional integral in eq. [REF] can be computed by the stationary phase approximation , for more general cases with 1D temporal inhomogeneous fields [MATH] , the worldline instanton is obtained by solving the instanton equation with periodic boundary condition [EQUATION]"," for more general cases with 1D temporal inhomogeneous fields [MATH] , the worldline instanton is obtained by solving the instanton equation with periodic boundary condition [EQUATION]",Content
64,"The functional integral in eq. [REF] can be computed by the stationary phase approximation , for more general cases with 1D temporal inhomogeneous fields [MATH] , the worldline instanton is obtained by solving the instanton equation with periodic boundary condition [EQUATION]","The functional integral in eq. [REF] can be computed by the stationary phase approximation , for more general cases with 1D temporally inhomogeneous fields [MATH] , the worldline instanton is obtained by solving the instanton equation with periodic boundary condition [EQUATION]",Improve-grammar-Typo
65,"Before milling , the top surface of each cross sectional cut was covered by a protective layer of platinum , in order to preserve the native niobium surface from Ga ions ( Fig. [MATH] ) .","Before FIB milling , the top surface of each cross sectional cut was covered by a protective layer of platinum , in order to preserve the native niobium surface from Ga ions ( Fig. [MATH] ) .",Lang-accurate-spefific
66,"Before milling , the top surface of each cross sectional cut was covered by a protective layer of platinum , in order to preserve the native niobium surface from Ga ions ( Fig. [MATH] ) .","Before milling , the top surface of each cross sectional cut was covered by a protective layer of platinum , in order to protect the native niobium surface from Ga ions ( Fig. [MATH] ) .",Lang-accurate-spefific
67,"A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up ( work item ) process will be initiated shortly for the formal standardization of Release 13 .","A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up work item ) process will be initiated shortly for the formal standardization of Release 13 .",Format
68,"A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up ( work item ) process will be initiated shortly for the formal standardization of Release 13 .","A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up ( work item process will be initiated shortly for the formal standardization of Release 13 .",Format
69,"A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up ( work item ) process will be initiated shortly for the formal standardization of Release 13 .","A study item , process done before a formal standardization process , has been completed in June 2015 and the follow up ( work item ) process will be finalized shortly for the formal standardization of Release 13 .",Content
70,"For small [MATH] , one gets [EQUATION] which breaks the weak field condition as well .","For small [MATH] , one gets [EQUATION] which breaks the weak field condition at nonperturbative region as well .",Content
71,"For small [MATH] , one gets [EQUATION] which breaks the weak field condition as well .","For small [MATH] , one gets [EQUATION] which breaks the weak-field condition as well .",Improve-grammar-Typo
72,"We can further reduce the number of parameters in [MATH] by noticing that if we set [CITATION] [EQUATION] in [REF] , the resulting action is [EQUATION] which is nothing but the Super Yang-Mills gauge-fixed action in the Landau gauge ( see appendix B ) , with the addition of the following terms [EQUATION]","We can further reduce the number of parameters in [MATH] by noticing that if we set [CITATION] [EQUATION] in [REF] , the resulting action is [EQUATION] which is nothing but the Super Yang-Mills gauge-fixed action in the Landau gauge ( see appendix [REF] ) , with the addition of the following terms [EQUATION]",Format
73,"The La atoms occupy the 8 [MATH] sites ( [MATH] , [MATH] , [MATH] ) , while diffraction studies show that Fe and Si atoms can occupy both 8 [MATH] and the 96 [MATH] crystallographic positions .","The La atoms occupy the 8 [MATH] sites ( [MATH] , [MATH] , [MATH] ) , while diffraction studies show that Fe and Si atoms can occupy both 8 [MATH] and the 96 [MATH] crystallographic positions [CITATION] .",Format
74,Fig. [REF] shows the result of this run .,Fig. 4 shows the result of this run .,Format
75,Note that the width of the ionization fronts does not usually exceed one grid zone ( Fig. [REF] ) .,Note that the width of the ionization fronts does not usually exceed one grid zone ( Fig. 5 ) .,Format
76,"In Fig. [REF] ( right ) , the four strongest eigenvalue modes are characterized by pairs of ordinal numbers [MATH] which determine the main angular part of the eigenvector by the spherical harmonics [MATH] .","In Fig. [REF] ( b ) , the four strongest eigenvalue modes are characterized by pairs of ordinal numbers [MATH] which determine the main angular part of the eigenvector by the spherical harmonics [MATH] .",Format
77,"The intensities of the "" real "" and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in fig. [REF] .","The intensities of the real "" and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in fig. [REF] .",Format
78,"The intensities of the "" real "" and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in fig. [REF] .","The intensities of the "" real and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in fig. [REF] .",Format
79,"The intensities of the "" real "" and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in fig. [REF] .","The intensities of the "" real "" and measured undercutoff fluxes are reported in the same plot for comparison and their ratio with the primary component shown in Fig. [REF] .",Format
80,"By Lemma [REF] and mean value theorem , we have that [EQUATION]","By Lemma [REF] and the mean value theorem , we have that [EQUATION]",Improve-grammar-Typo
81,From the two samples of reconstructed functions and derivatives just one sample of the Riesz representatives is obtained .,From the two samples of reconstructed functions and derivatives just one sample of Riesz representatives is obtained .,Improve-grammar-Typo
82,"In this article , we provides an overview of the FD-MIMO system , with emphasis on the discussion and debate conducted on standardization process of Release 13 .","In this article , we provide an overview of the FD-MIMO system , with emphasis on the discussion and debate conducted on standardization process of Release 13 .",Improve-grammar-Typo
83,"In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , ideal feedback under full buffer traffic model ( each user has unlimited amount of data to transmit ) is used .","In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , the ideal feedback under full buffer traffic model ( each user has unlimited amount of data to transmit ) is used .",Improve-grammar-Typo
84,"In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , ideal feedback under full buffer traffic model ( each user has unlimited amount of data to transmit ) is used .","In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , ideal feedback under the full buffer traffic model ( each user has unlimited amount of data to transmit ) is used .",Improve-grammar-Typo
85,"In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , ideal feedback under full buffer traffic model ( each user has unlimited amount of data to transmit ) is used .","In the type II configuration , antenna spacing is set to four times larger than the spacing of type I . To investigate the effect of antenna structure , ideal feedback under full buffer traffic model ( each user has an unlimited amount of data to transmit ) is used .",Improve-grammar-Typo
86,"Nevertheless , attempts to generalize it for relativistic case lead to a number of problems .","Nevertheless , attempts to generalize it for the relativistic case lead to a number of problems .",Improve-grammar-Typo
87,"For example , when 64 linear antenna arrays are deployed in a horizontal direction , under the common assumption that the antenna spacing is half wavelength ( [MATH] ) and the system is using LTE carrier frequency ( 2 GHz ) , it requires a horizontal room of [MATH] m. Due to the limited space on rooftop or mast , this space would be burdensome for most of cell sites .","For example , when 64 linear antenna arrays are deployed in a horizontal direction , under the common assumption that the antenna spacing is half wavelength ( [MATH] ) and the system is using LTE carrier frequency ( 2 GHz ) , it requires a horizontal room of [MATH] m. Due to the limited space on a rooftop or mast , this space would be burdensome for most of cell sites .",Improve-grammar-Typo
88,"For example , when 64 linear antenna arrays are deployed in a horizontal direction , under the common assumption that the antenna spacing is half wavelength ( [MATH] ) and the system is using LTE carrier frequency ( 2 GHz ) , it requires a horizontal room of [MATH] m. Due to the limited space on rooftop or mast , this space would be burdensome for most of cell sites .","For example , when 64 linear antenna arrays are deployed in a horizontal direction , under the common assumption that the antenna spacing is half wavelength ( [MATH] ) and the system is using LTE carrier frequency ( 2 GHz ) , it requires a horizontal room of [MATH] m. Due to the limited space on rooftop or mast , this space would be burdensome for most of the cell sites .",Improve-grammar-Typo
89,"Effects of the first group result from presence of the odd part of the Wigner function , second ones are due to the specific function [MATH] being present in the even component of the Wigner function .","Effects of the first group result from presence of the odd part of the Wigner function , the second ones are due to the specific function [MATH] being present in the even component of the Wigner function .",Improve-grammar-Typo
90,The proposed method can be applied to find relations of the derived type giving possibility to search for other heavy virtual states .,The proposed method can be applied to find the relations of the derived type giving possibility to search for other heavy virtual states .,Improve-grammar-Typo
91,The proposed method can be applied to find relations of the derived type giving possibility to search for other heavy virtual states .,"The proposed method can be applied to find relations of the derived type giving possibility to search for other heavy virtual states for different effective four-fermion operators generated by the [MATH] ( for instance , discussed in Refs. [CITATION] ) .",Content
92,The proposed method can be applied to find relations of the derived type giving possibility to search for other heavy virtual states .,The proposed method can be applied to find relations of the derived type .,Content
93,It is the consequence of the RG equations for the [MATH] -matrix elements and the decoupling theorem [CITATION] giving possibility to move from high energies where heavy particles are excited inside loops to low energies where they are decoupled and determine [MATH] explicitly .,It is the consequence of the RG equations for [MATH] -matrix elements and the decoupling theorem [CITATION] giving possibility to move from high energies where heavy particles are excited inside loops to low energies where they are decoupled and determine [MATH] explicitly .,Improve-grammar-Typo
94,It is the consequence of the RG equations for the [MATH] -matrix elements and the decoupling theorem [CITATION] giving possibility to move from high energies where heavy particles are excited inside loops to low energies where they are decoupled and determine [MATH] explicitly .,It is the consequence of the RG equations for the [MATH] -matrix elements and the decoupling theorem [CITATION] .,Content
95,It is the consequence of the RG equations for the [MATH] -matrix elements and the decoupling theorem [CITATION] giving possibility to move from high energies where heavy particles are excited inside loops to low energies where they are decoupled and determine [MATH] explicitly .,It is a consequence of the RG equations for the [MATH] -matrix elements and the decoupling theorem [CITATION] giving possibility to move from high energies where heavy particles are excited inside loops to low energies where they are decoupled and determine [MATH] explicitly .,Improve-grammar-Typo
96,We note that preliminary studies addressed feasibility of 2D array antenna structure and performance evaluation in ideal scenarios ( non-precoded CSI-RS and ideal feedback ) [CITATION] .,We note that preliminary studies addressed the feasibility of 2D array antenna structure and performance evaluation in ideal scenarios ( non-precoded CSI-RS and ideal feedback ) [CITATION] .,Improve-grammar-Typo
97,We note that preliminary studies addressed feasibility of 2D array antenna structure and performance evaluation in ideal scenarios ( non-precoded CSI-RS and ideal feedback ) [CITATION] .,We note that preliminary studies addressed feasibility of 2D array antenna structure and performance evaluation in ideal scenarios ( non-precoded CSI-RS and ideal pilot transmission and feedback feedback ) [CITATION] .,Content
98,We note that preliminary studies addressed feasibility of 2D array antenna structure and performance evaluation in ideal scenarios ( non-precoded CSI-RS and ideal feedback ) [CITATION] .,We note that preliminary studies addressed feasibility of 2D array antenna structure and performance evaluation in ideal scenarios [CITATION] .,Content
99,Reconstruction can thus be performed at a lower resolution without any loss of information ., The Reconstruction can thus be performed at a lower resolution without any loss of information .,Improve-grammar-Typo
100,Reconstruction can thus be performed at a lower resolution without any loss of information .,"Reconstruction can thus be performed at a lower resolution , without any loss of information .",Format
101,Reconstruction can thus be performed at a lower resolution without any loss of information .,Reconstruction can thus be performed at a lower resolution without any loss of information if a sampling theorem is used .,Content
102,Reconstruction can thus be performed at a lower resolution without any loss of information .,Reconstruction can thus be performed at lower resolution without any loss of information .,Improve-grammar-Typo
103,"Due to the anisotropy of the dipolar interaction , a ferromagnetism causes the FS to distort , thus driving the system into an uniaxial nematic state .","Due to the anisotropy of the dipolar interaction , ferromagnetism causes the FS to distort , thus driving the system into an uniaxial nematic state .",Improve-grammar-Typo
104,"Due to the anisotropy of the dipolar interaction , a ferromagnetism causes the FS to distort , thus driving the system into an uniaxial nematic state .","Due to the mixing of orbital and spin degrees of freedom by the dipolar interaction , a ferromagnetism causes the FS to distort , thus driving the system into an uniaxial nematic state .",Lang-improve-readability-Simplify
105,"The price of natural uranium ore is stable until 2035 where an increase is observed , generated by increasing scarcity , and at this level of consumption , U resources are projected to run out before 2100 unless technology changes .","The cost of natural uranium ore is stable until 2035 where an increase is observed , generated by increasing scarcity , and at this level of consumption , U resources are projected to run out before 2100 unless technology changes .",Lang-professional-Improve-style
