doc_name,node_ix_src,text_src,label,edits,edits_count
39-ARR,39-ARR_v1_review1_3@23,Do the text encoders also benefit from seeing these examples?,Weakness,,0
39-ARR,39-ARR_v1_review1_3@26,"I was curious if the authors could do BERT-CRF + MLM + EP like in equation (10), can the performance be better than ALA?",Weakness,,0
39-ARR,39-ARR_v1_review1_4@1,1. The writing is not fluent enough.,Weakness,39-ARR_v2_18@0===39-ARR_v1_17@0;39-ARR_v2_23@0===39-ARR_v1_22@0;39-ARR_v2_6@4===39-ARR_v1_6@3;39-ARR_v2_84@0===39-ARR_v1_80@0,4
39-ARR,39-ARR_v1_review1_4@2,"Some typos and awkward/redundant/unnatural sentences such as lines 019, 041-043. 
",Edit suggestion_explicit,39-ARR_v2_18@0===39-ARR_v1_17@0;39-ARR_v2_23@0===39-ARR_v1_22@0;39-ARR_v2_6@4===39-ARR_v1_6@3;39-ARR_v2_84@0===39-ARR_v1_80@0,4
39-ARR,39-ARR_v1_review1_4@4,"It might be beneficial to discuss WGAN a bit or even add WGAN as a baseline method. 
",Edit suggestion_implicit,,0
39-ARR,39-ARR_v1_review1_4@5,"3. The paper should elaborate on OT in both the introduction and the methodology parts and should provide more details and justifications for OT. 
",Edit suggestion_explicit,39-ARR_v2_97@0===39-ARR_v1_94@0,1
39-ARR,39-ARR_v1_review1_4@8,"What is the benefit of L2 distance? 
",Weakness,,0
172-ARR,172-ARR_v1_review1_3@2,"There is little novelty since the distillation technique is not new while the idea of cross-model training is not new, either.
",Weakness,,0
172-ARR,172-ARR_v1_review1_3@3,-I'm surprised that in Table 1 CLIP-T performs so badly even when finetuned.,Weakness,,0
172-ARR,172-ARR_v1_review1_3@5,"-Is it possible that the improvement of the distilled cross-modal model comes from ensembling instead of visual grounding?
",Edit suggestion_implicit,172-ARR_v2_0@0===172-ARR_v1_0@0,1
172-ARR,172-ARR_v1_review1_3@6,"-I suggest the authors make the weights publically available (can be anonymous during double-blind reviewing) so the results can be easily verified by the community.
",Edit suggestion_implicit,,0
172-ARR,172-ARR_v1_review1_3@11,"To Reviewer2.1**: First, distilling B task into A task improves A is not so surprising.",Edit suggestion_implicit,172-ARR_v2_24@1===172-ARR_v1_30@1,1
172-ARR,172-ARR_v1_review1_3@20,"However, I suspect that substituting CLIP with any pretrained LM would also work.",Weakness,,0
172-ARR,172-ARR_v1_review1_3@21,"But again, as the authors point out, ""the linguistic competence is CLIP-T very low"" so this paper has some insights and presents previously unknown results.",Weakness,,0
172-ARR,172-ARR_v1_review1_3@25,Just manually reassign the weights in the original `state_dict` to a `state_dict` of a Hugging Face BERT model.,Edit suggestion_implicit,,0
2-155,2-155_v1_report1186_3@0,Whether statistical differences in the raised without antibiotic animals would have been found if larger numbers were tested is not clear.,Edit suggestion_implicit,,0
2-155,2-155_v1_report1506_1@2,There are a few points that the authors need to address:,Weakness,,0
2-155,2-155_v1_report1506_3@0,"- Please list the number of brands per category that were sampled as in Table 1. Also, please list the number of samples collected per brand. This information would be helpful and may have some impact on the data.",Edit suggestion_explicit,2-155_v2_19@4===nan;2-155_v2_9@2===nan,2
2-155,2-155_v1_report1506_5@0,- The total number of E. coli isolates collected per type or brand is not stated. It would be helpful to know what percentage of each were positive.,Edit suggestion_explicit,,0
2-155,2-155_v1_report1506_7@0,- The first sentence of the discussion section is very inflammatory to the industry and is not absolutely true. I would suggest refining this greatly or deleting it.,Edit suggestion_explicit,2-155_v2_29@0===2-155_v1_29@0;2-155_v2_29@1===nan;2-155_v2_29@2===nan,3
2-155,2-155_v1_report1506_8@0,"- Similarly, the second sentence is quite definitive and implies that antibiotic usage always creates antibiotic resistance which may not be true. I suggest modifying this sentence with a qualifying word such as “may select for” or “can select for”.",Edit suggestion_explicit,2-155_v2_29@3===2-155_v1_29@1,1
2-155,2-155_v1_report1506_9@0,One variable the authors did not address is the fact that chickens produced by the same brand most likely came from different farms.,Weakness,2-155_v2_30@0===nan,1
2-155,2-155_v1_report1506_9@4,These are confounding variables that may have impacted the author’s data.,Weakness,2-155_v2_30@1===nan,1
334-ARR,334-ARR_v1_review1_3@1,"Some minor considerations: 1. It would be informative to users if authors reported sensitivity of their experiments to hyper-parameters, along with standard deviations on their numbers.
",Edit suggestion_implicit,,0
334-ARR,334-ARR_v1_review1_3@2,"2. The presented error analyses are anecdotal, and might not be reflective of the overall behavior of the system.",Weakness,,0
334-ARR,334-ARR_v1_review1_3@3,It would strengthen this paper if authors further explored systematic biases in their datasets and models (e.g. how does accuracy/F1 vary by district?),Edit suggestion_implicit,,0
334-ARR,334-ARR_v1_review1_4@1,Footnote marks should come after punctuation.,Edit suggestion_implicit,,0
1-21,1-21_v1_report457_3@2,"I do, however, wonder about the independence of the results for doubling time (measured as optical density) and cell size.",Weakness,1-21_v2_18@7===nan,1
1-21,1-21_v1_report457_3@4,"The authors state that “Analyses of the distribution of several flow cytometry profiles showed that a difference in cell shape is unlikely to explain this result (see data associated to this article)” Since this is an absolutely central result of the finding, I would find it very helpful if the authors actually presented and discussed this evidence.",Edit suggestion_explicit,1-21_v2_13@2===1-21_v1_13@2,1
1-21,1-21_v1_report457_3@5,"In fact, it was not clear to me which data were in support of this.",Edit suggestion_implicit,1-21_v2_13@2===1-21_v1_13@2,1
1-21,1-21_v1_report457_3@6,"Otherwise, I do not think that the results should be used to primarily suggest a phage-induced response of increased growth rate, with a cost of decreased cell size.",Edit suggestion_implicit,,0
1-21,1-21_v1_report457_3@11,I find this hard to interpret as it could suggest that,Weakness,,0
1-21,1-21_v1_report457_3@14,It would be helpful if the authors could discuss this result in more detail.,Edit suggestion_implicit,1-21_v2_18@14===nan;1-21_v2_18@3===nan;1-21_v2_21@3===1-21_v1_22@3,3
1-21,1-21_v1_report457_5@0,"First, I wonder whether the authors could clarify their thoughts on the mechanism underlying the change to smaller cell size and/or increased doubling time of bacteria encountering inactivated phages.",Edit suggestion_implicit,1-21_v2_18@14===nan;1-21_v2_18@3===nan;1-21_v2_18@4===nan;1-21_v2_18@5===nan;1-21_v2_18@6===nan,5
1-21,1-21_v1_report457_6@0,"Second, I think the finding that bacteria treated with inactivated phages show changes in growth rate and/or cell size but do not differ in terms of their resistance to live phages is quite interesting! I would be keen to know what the infection rates of the control and treated populations were, as this would help with interpretation of the result.",Edit suggestion_implicit,,0
1-21,1-21_v1_report457_6@3,"The authors mention that smaller surface area would mean a lower encounter rate with phages, but this doesn’t seem to be the case when the cells are exposed to live phages.",Weakness,,0
1-21,1-21_v1_report457_7@0,"As a very minor point, I wonder whether the authors meant to say that bacteria were separated from unbound, rather than bound, phages in their methods section, as it is unclear how centrifugation would separate bacteria from bound phages.",Edit suggestion_explicit,1-21_v2_28@8===1-21_v1_29@8;1-21_v2_28@9===nan,2
1-21,1-21_v1_report458_1@0,"1. ls there a subpopulation of the UV inactivated phage that are destroyed in the process of creating them, such that addition to bacterial cultures might constitute addition of DNA that can be taken up through transformation ?",Edit suggestion_implicit,,0
1-21,1-21_v1_report458_1@1,"If so, is it possible that this transformed DNA is being used as a nutrient by the bacteria? This might explain the slight increase in growth rate of phage-exposed bacteria in the experiments.",Edit suggestion_implicit,,0
1-21,1-21_v1_report458_1@3,The authors should take this possibility into account.,Edit suggestion_implicit,,0
1-21,1-21_v1_report458_2@0,2. It is unclear what constitutes the controls performed in this study.,Weakness,1-21_v2_28@8===1-21_v1_29@8;1-21_v2_30@3===nan,2
1-21,1-21_v1_report458_2@1,"One choice of control would be to obtain the UV-inactivated phage, and then remove these particles via centrifugation.",Edit suggestion_implicit,1-21_v2_28@8===1-21_v1_29@8;1-21_v2_30@3===nan,2
1-21,1-21_v1_report458_2@3,"However, it is unclear whether this was the approach used, and therefore I am worried that the chosen control is insufficient for drawing proper conclusions in the work.",Weakness,1-21_v2_28@8===1-21_v1_29@8;1-21_v2_30@3===nan,2
1-21,1-21_v1_report458_3@0,"Overall, the work seems very preliminary, and the data presented are not strongly supportive of the conclusions drawn.",Weakness,,0
30-ARR,30-ARR_v1_review1_3@0,summary_of_weaknesses. - Some experiments don’t add much to the analysis: Duplication (line 493) doesn’t seem like a reasonable baseline to compare to.,Weakness,nan===30-ARR_v1_14@2,1
30-ARR,30-ARR_v1_review1_3@1,It merely multiplies the 50 examples without adding any new information.,Weakness,nan===30-ARR_v1_14@1,1
30-ARR,30-ARR_v1_review1_3@2,"
-The semi-factual generation on model generated rationale in the first step: the replacement could be done on missing rationales, This will remove the correct rationales form the example.",Edit suggestion_implicit,30-ARR_v2_18@3===nan;30-ARR_v2_46@0===nan,2
30-ARR,30-ARR_v1_review1_3@3,It would be better if the paper address this (even simply pointing out that it’s not an issue).,Edit suggestion_implicit,,0
30-ARR,30-ARR_v1_review1_3@4,"
-Some annotation protocals and their encessities are not explained.",Weakness,,0
30-ARR,30-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - Typo line 1: rational-centric → rationale-centric -Was the notation in line 284 intentional? Would look nicer to use $x'$ instead.",Edit suggestion_explicit,30-ARR_v2_2@0===30-ARR_v1_2@0,1
30-ARR,30-ARR_v1_review1_4@1,"
-Not sure if *inductive bias* is the right term to characterize what the annotation captures.",Weakness,30-ARR_v2_2@1===30-ARR_v1_2@1,1
30-ARR,30-ARR_v1_review2_3@0,"summary_of_weaknesses. - The proposed approach is not fully automatic, and still requires human annotations for identifying rationales and correcting errors from the static semi-factual generation phase.",Weakness,,0
30-ARR,30-ARR_v1_review2_3@1,"While this annotation effort could be less significant that other data augmentation methods, it still presents a significant cost overhead.",Weakness,,0
30-ARR,30-ARR_v1_review2_3@2,"
-It is not clear how to generalize this approach to other NLP tasks aside from sentiment analysis and text classification.",Weakness,30-ARR_v2_18@4===nan,1
30-ARR,30-ARR_v1_review2_3@3,"For instance, it is not clear how to generalize this approach to other sequence-to-sequence tasks like machine translation.",Weakness,,0
30-ARR,30-ARR_v1_review2_3@4,"
-Identifying rationales is not a simple problem, specifically for more complicated NLP tasks like machine translation.",Weakness,,0
30-ARR,30-ARR_v1_review2_4@2,"Figure 2 is a bit cluttered and the ""bold"" text is hard to see, perhaps another color or a bigger font could help in highlighting the human identified rationales better.",Edit suggestion_explicit,,0
7-704,7-704_v1_report34789_5@2,"Also, at least some air cavities are segmented (missing from the caption of figure 2).",Edit suggestion_implicit,7-704_v2_12@1===7-704_v1_12@1,1
7-704,7-704_v1_report34789_6@1,"It may be helpful to list this as a limitation, for instance, in ""Creation of head models"".",Edit suggestion_implicit,7-704_v2_12@6===nan,1
7-704,7-704_v1_report34789_8@0,"Electric fields are not ""effects"".",Weakness,7-704_v2_25@4===7-704_v1_25@0;7-704_v2_2@3===7-704_v1_2@3,2
7-704,7-704_v1_report37428_2@2,So the title of this manuscript should be “non-invasive electric brain stimulation”,Edit suggestion_explicit,7-704_v2_0@0===7-704_v1_0@0,1
7-704,7-704_v1_report37428_3@0,"2) The authors only discussed there are inter-individual variabilities in E-field distributions, but did not say anything about how the E-field differs (or is similar) between the healthy subjects and depression subjects, and why.",Edit suggestion_implicit,7-704_v2_25@5===nan,1
7-704,7-704_v1_report37428_4@2,Please discuss this as one limitation of this work.,Edit suggestion_implicit,7-704_v2_12@10===nan,1
7-704,7-704_v1_report37428_5@1,So the section name should be “Methods and Results”.,Edit suggestion_explicit,7-704_v2_8@0===7-704_v1_8@0,1
7-704,7-704_v1_report37428_6@2,Please briefly describe how this was done.,Edit suggestion_implicit,,0
7-704,7-704_v1_report37428_6@3,Was some atlas registered to each individual brain to extract the region?,Weakness,,0
7-704,7-704_v1_report37428_7@0,"6) You said SimNIBS 2.1 was used, but did not mention which function was used for the segmentation.",Edit suggestion_implicit,,0
7-704,7-704_v1_report37428_8@1,"” This is not clear to me. Did you combine “headreco” and “mri2mesh”? Also if you used SPM12, there should be a tissue type “air cavities”, but from Figure 1, this “air cavities” is not there.",Edit suggestion_implicit,7-704_v2_13@3===nan;7-704_v2_20@0===7-704_v1_20@0,2
7-704,7-704_v1_report37428_10@1,Please clarify this sentence.,Edit suggestion_explicit,,0
7-704,7-704_v1_report37428_12@0,"- In “Introduction” section, the first 3 sentences in the first paragraph are general statements but lack references. Please add.",Edit suggestion_explicit,7-704_v2_4@0===7-704_v1_4@0;7-704_v2_4@1===7-704_v1_4@1;7-704_v2_4@2===7-704_v1_4@2,3
7-704,7-704_v1_report37428_12@1,"- In “Introduction” section, 2 nd paragraph, what do you mean by “rotation or type”?",Edit suggestion_implicit,7-704_v2_5@0===7-704_v1_5@0,1
156-ARR,156-ARR_v1_review1_1@4,"However, in the model evaluation part, the paper does not show how their model can generate diverse responses given the same context.",Weakness,,0
156-ARR,156-ARR_v1_review1_3@1,"1. This paper lacks a discussion on its novelty, e.g., why continuous latent variables are better than discrete latent variables for solving the one-to-many mapping problem.",Edit suggestion_implicit,156-ARR_v2_109@0===nan;156-ARR_v2_109@1===nan;156-ARR_v2_109@3===nan;156-ARR_v2_109@4===nan;nan===156-ARR_v1_10@0,5
156-ARR,156-ARR_v1_review1_3@3,It is not very clear to me why we should choose those techniques to train a continuous variational encoder-decoder.,Weakness,,0
156-ARR,156-ARR_v1_review1_3@4,"Maybe some ablation studies on the training objective and model architecture can help explain it. 
",Edit suggestion_implicit,,0
156-ARR,156-ARR_v1_review1_3@5,2. The model evaluation does not show the model's superiority in solving the one-to-many mapping problem in open-domain dialogue response generation.,Weakness,,0
156-ARR,156-ARR_v1_review1_3@6,Distinct-1/2 are corpus-level metrics and are not showing the diversity of generated responses given the same context.,Weakness,,0
156-ARR,156-ARR_v1_review1_3@7,"To verify their claim, the authors may consider using self-bleu and the ratio of unique generated sentences to better evaluate the diversity.",Edit suggestion_implicit,,0
156-ARR,156-ARR_v1_review1_4@1,1. It is unclear to me what's the input to the prior network.,Weakness,,0
10-ARR,10-ARR_v1_review1_3@1,-The chosen evaluation metrics are neither appropriate nor insightful for the task.,Weakness,,0
10-ARR,10-ARR_v1_review1_3@3,"It is still unsatisfying that a well thought out pipeline has not been convincingly evaluated.
",Weakness,,0
10-ARR,10-ARR_v1_review1_3@4,"-The human evaluation helps somewhat but is very limited because it lacks comparisons with other methods.
",Weakness,,0
10-ARR,10-ARR_v1_review1_3@5,-Use of existing resources -- lack of scientific novelty,Weakness,10-ARR_v2_12@0===nan;10-ARR_v2_12@1===nan;10-ARR_v2_12@2===nan;10-ARR_v2_12@3===nan;10-ARR_v2_12@4===nan;10-ARR_v2_12@5===nan;10-ARR_v2_12@6===nan;10-ARR_v2_12@7===10-ARR_v1_12@5;10-ARR_v2_12@8===nan,9
10-ARR,10-ARR_v1_review1_4@1,I would strongly advise the authors to provide a discussion/comparison with respect to: https://aclanthology.org/2020.sigdial-1.2.pdf Consider improving the work with a more sophisticated human evaluation on the actual dialogue task.,Edit suggestion_implicit,,0
10-ARR,10-ARR_v1_review1_5@1,"It is not clear to me if the following paper is not cited and compared with to preserve anonymity (i.e., some authors are the same). 
",Weakness,,0
10-ARR,10-ARR_v1_review2_3@1,- The core contribution of the work is unclear: this work is a collection of work the authors done around reflective listening: a dataset and the pipeline to collect it; two methods for incorporating knowledge; a series of vastly different experiments.,Weakness,10-ARR_v2_12@0===nan;10-ARR_v2_12@1===nan;10-ARR_v2_12@2===nan;10-ARR_v2_12@3===nan;10-ARR_v2_12@4===nan;10-ARR_v2_12@5===nan;10-ARR_v2_12@6===nan;10-ARR_v2_12@7===10-ARR_v1_12@5;10-ARR_v2_12@8===nan,9
10-ARR,10-ARR_v1_review2_3@2,"The authors are advised to limit the scope to one of the contributions and elaborate on just that.
-Each individual contribution is limited in significance:     - The dataset itself is not carefully curated and the highlight instead is the automation of dataset creation process from Google search, which is also a complex collection of several trivial steps itself and is prone to propagated errors. 
    ",Edit suggestion_implicit,,0
10-ARR,10-ARR_v1_review2_3@3,"- The two methods proposed are mostly based on pre-existing libraries along with a series of engineering techniques (e.g., turning triplets into sentences using templates, masking out part of the input, combining K-BERT with BART, etc.). No novel architecture tailored to the studied task is being proposed. 
    ",Edit suggestion_implicit,,0
10-ARR,10-ARR_v1_review2_3@4,"- The evaluation metrics are not well-motivated thus it is not entirely clear how well do they reflect the usefulness of the proposed techniques. The human evaluation was performed by just 2 annotations with their professional background unspecified. 
    ",Weakness,,0
10-ARR,10-ARR_v1_review2_3@5,"- Again, additional experiments in Section 4.5 is an overly detailed piece of information and is not super relevant to rest of the writing.",Weakness,,0
10-ARR,10-ARR_v1_review3_3@1,"- Lack of illustrative examples regarding the model outputs.
",Weakness,,0
10-ARR,10-ARR_v1_review3_3@2,"-Some details regarding the knowledge collection process have been omitted (see ""Questions"" below).",Weakness,,0
10-ARR,10-ARR_v1_review3_4@2,"2: Why did you discard the ""anatomy"" category?
-l.",Weakness,,0
10-ARR,10-ARR_v1_review3_4@3,"221: How many query templates did you specify in total?
-l.",Weakness,,0
10-ARR,10-ARR_v1_review3_4@4,"227: What's the size of the set of knowledge candidates?
-l. 550: Did you calculate the agreement between the annotators? Were the annotators authors of the paper?
MINOR: -Try to better align the figures with the text.",Edit suggestion_implicit,,0
10-ARR,10-ARR_v1_review3_4@5,"
-fix punctuation: l. 336, l. 433, l. 445, l. 534 -Table 2: The highlighting of the numbers does not correspond to the caption (""highest scores are in bold, second highest scores in italic"")",Edit suggestion_implicit,,0
152-ARR,152-ARR_v1_review1_3@1,"1. The improvements are marginal, inparticular the ConLL.    ",Weakness,,0
152-ARR,152-ARR_v1_review1_3@3,"Thus, the paper should compare with this line of work.",Edit suggestion_implicit,152-ARR_v2_78@2===nan;152-ARR_v2_78@3===nan;152-ARR_v2_78@4===nan,3
152-ARR,152-ARR_v1_review1_4@2,The paper might be stronger if there exists one method better than the others.       ,Edit suggestion_implicit,,0
152-ARR,152-ARR_v1_review1_4@3,2. Significance test might be needed.      ,Edit suggestion_implicit,,0
2-147,2-147_v1_report1053_3@0,- In the methods section the authors should clearly state how many repetitions have been used for each experiment and each condition – this is not clear at times. Presumably at least 3 repetitions per assay per condition were made in order to derive the statistics but this should be specified.,Edit suggestion_explicit,,0
2-147,2-147_v1_report1053_3@1,"- In figures 3 and 4A, the % of proteoglycan release is mentioned and graphed – how is this related to the total PG content if the variability appears to be rather high from the 80s to over 300 μg/mL? This needs to be clarified.",Edit suggestion_explicit,,0
2-147,2-147_v1_report1053_3@2,"- In figure 5, did the authors use a reference protein to ensure that the same total protein content was used for each band? If so, this should be included as a reference in Figure 5.",Edit suggestion_explicit,,0
2-147,2-147_v1_report1053_3@4,"- Furthermore, and of great importance, the authors briefly mention the low bioavailability of curcumin in vivo in humans – how does that compare to the concentrations that were used in these experiments? What would be a good comparison blood concentration one could expect in humans after oral application of curcumin? This should be included in the discussion section to provide the reader with some perspective.",Edit suggestion_explicit,,0
2-147,2-147_v1_report1061_3@0,- The Figure legends should include detailed information on the number of technical and biological replicates used.,Edit suggestion_explicit,,0
2-147,2-147_v1_report1061_3@1,- The Methods should clarify whether curcumin and IL1ß were added simultaneously to the cells/explants or whether curcumin was used to “pretreat” the cells/explants prior to the addition of IL1ß.,Edit suggestion_explicit,2-147_v2_15@7===nan;2-147_v2_15@8===nan,2
2-147,2-147_v1_report1061_3@2,"- In the results section the authors state: “The most apparent reduction in MMP-3 secretion was always seen at 50μM with levels near to that of the controls in all animals.” This issue is also discussed in the 'discussion section later on. However, as Figure 1 demonstrates, significant cytotoxic results are expected from applying this concentration. The results should therefore be discussed in light of this finding.",Edit suggestion_implicit,,0
2-147,2-147_v1_report1061_3@3,- A reference protein (loading control) should be included in the Western Blot images in Figure 5.,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_3@0,"First paragraph, first sentence - Who is “we”? The three authors of this paper?",Edit suggestion_explicit,7-1641_v2_14@0===7-1641_v1_14@0,1
7-1641,7-1641_v1_report39449_4@2,Perhaps this should be in the Introduction.,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_5@0,Third paragraph – Suggest briefly stating the three main areas found in the survey.,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_6@0,Fourth and fifth paragraph - Please tell us a little bit more about the third report and the workshop.,Edit suggestion_explicit,7-1641_v2_18@0===7-1641_v1_17@0,1
7-1641,7-1641_v1_report39449_8@0,Does this refer to the findings of the two surveys and workshop?,Edit suggestion_explicit,7-1641_v2_19@0===7-1641_v1_19@0,1
7-1641,7-1641_v1_report39449_9@1,Do they summarise the barriers to data sharing?,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_10@0,"If indeed they are barriers, are these barriers based on the two surveys and workshop or do they include research conducted by other groups? If the latter, I believe there are more barriers such as costs and ownership issues.",Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_11@2,Please provide reference(s).,Edit suggestion_explicit,7-1641_v2_16@3===nan,1
7-1641,7-1641_v1_report39449_11@3,Did the authors conduct these interviews?,Edit suggestion_explicit,7-1641_v2_16@2===7-1641_v1_15@2,1
7-1641,7-1641_v1_report39449_13@0,Paragraph 1 – “…there is very low compliance with these policies”. How did the authors get this information? Please provide references if appropriate.,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report39449_14@0,"Paragraph 2 - “It appears the main barrier to sharing is not technical but cultural,…” How did the authors get this information? Please provide references if appropriate.",Edit suggestion_explicit,7-1641_v2_28@2===nan;7-1641_v2_28@3===nan,2
7-1641,7-1641_v1_report39449_15@1,What is the funders’ specific role?,Edit suggestion_explicit,7-1641_v2_29@3===nan,1
7-1641,7-1641_v1_report39449_16@0,Suggest including a “Conclusions” section.,Edit suggestion_explicit,7-1641_v2_25@0===7-1641_v1_25@0,1
7-1641,7-1641_v1_report40329_1@1,The article could do with some revisions in order to better flow and understand more about the survey and interviews.,Weakness,,0
7-1641,7-1641_v1_report40329_2@0,The abstract doesn't state that two surveys and interviews were conducted and when - this would help bring paragraph 1 and 2 together.,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report40329_2@1,"Also, the review of papers, was this a literature review/systematic review?",Edit suggestion_explicit,,0
7-1641,7-1641_v1_report40329_3@1,"I wasn't sure what ""Funders need to engage early with the researchers and related stakeholders to understand their concerns and work harder to define the more explicitly the benefits to all stakeholders."" sentence means?",Edit suggestion_explicit,,0
7-1641,7-1641_v1_report40329_3@2,What stakeholders?,Edit suggestion_explicit,,0
7-1641,7-1641_v1_report40329_4@0,Introduction - improve what situation? I think this needs teasing out more in the first paragraph.,Edit suggestion_explicit,7-1641_v2_6@4===7-1641_v1_6@3,1
7-1641,7-1641_v1_report40329_4@1,"Improving what - the quality of data to be shared, data sharing policies?",Edit suggestion_explicit,7-1641_v2_6@4===7-1641_v1_6@3,1
7-1641,7-1641_v1_report40329_5@0,What group of funders - who was involved? They framed this approach....Who framed?,Edit suggestion_explicit,7-1641_v2_6@4===7-1641_v1_6@3,1
7-1641,7-1641_v1_report40329_6@0,"Highlighting that data collected specifically to answer a specific question in a trial for example, may not be sufficient to answer a different question, is important.",Weakness,,0
7-1641,7-1641_v1_report40329_7@0,"Findings of the two surveys and workshop - Who was involved in the survey, how many people involved and what was the response rate? Were funders involved in this? (For both of the surveys)",Edit suggestion_explicit,7-1641_v2_14@1===7-1641_v1_14@1;7-1641_v2_15@0===7-1641_v1_14@2,2
