,doc_name,node_ix_src,text_src,label
68,156-ARR,156-ARR_v1_review1_1@4,"However, in the model evaluation part, the paper does not show how their model can generate diverse responses given the same context.",Weakness
69,156-ARR,156-ARR_v1_review1_3@1,"1. This paper lacks a discussion on its novelty, e.g., why continuous latent variables are better than discrete latent variables for solving the one-to-many mapping problem.",Implicit edit suggestion
70,156-ARR,156-ARR_v1_review1_3@3,It is not very clear to me why we should choose those techniques to train a continuous variational encoder-decoder.,Weakness
71,156-ARR,156-ARR_v1_review1_3@4,"Maybe some ablation studies on the training objective and model architecture can help explain it. 
",Implicit edit suggestion
72,156-ARR,156-ARR_v1_review1_3@5,2. The model evaluation does not show the model's superiority in solving the one-to-many mapping problem in open-domain dialogue response generation.,Weakness
73,156-ARR,156-ARR_v1_review1_3@6,Distinct-1/2 are corpus-level metrics and are not showing the diversity of generated responses given the same context.,Weakness
74,156-ARR,156-ARR_v1_review1_3@7,"To verify their claim, the authors may consider using self-bleu and the ratio of unique generated sentences to better evaluate the diversity.",Implicit edit suggestion
75,156-ARR,156-ARR_v1_review1_4@1,1. It is unclear to me what's the input to the prior network.,Weakness
76,157-ARR,157-ARR_v1_review1_3@1,I am still a little concerned about the Figure 2.,Weakness
77,157-ARR,157-ARR_v1_review1_3@2,This still requires a high-res display and zoom-in.,Weakness
78,157-ARR,157-ARR_v1_review1_3@3,I suggest the authors use supplementary pages or materials to show a clearer and detailed version of the table.,Explicit edit suggestion
79,157-ARR,157-ARR_v1_review2_3@1,"1. Does not evaluate the performance of the end-to-end model using any automatic metrics. 
",Weakness
80,157-ARR,157-ARR_v1_review2_3@2,"2. Only a small human evaluation has been conducted. 
",Weakness
81,157-ARR,157-ARR_v1_review2_3@3,3. Should use more baseline models to investigate the effectiveness of various techniques.,Implicit edit suggestion
82,157-ARR,157-ARR_v1_review2_4@1,"1. Figure 2 should be presented better. 
",Explicit edit suggestion
83,157-ARR,157-ARR_v1_review2_4@4,(b) should be demonstrated better.,Explicit edit suggestion
84,166-ARR,166-ARR_v1_review1_3@0,"summary_of_weaknesses. - Generally, the evaluation is rather ""narrow"" -- it compares only with variations of the same model (either full cross or split at the same level). It may be helpful to include more baselines to put these results in more context. The baselines presented, however, are rather strong -- with DistilBERT achieving 0.390 MRR@10 on MS MARCO (compared to Nogueria & Cho's 0.365 using BERT-large). 
 ",Weakness
85,166-ARR,166-ARR_v1_review1_3@1,"- The evaluation on CAR appears to have been conducted using ""automatic"" labels (based on the reported number of positive passages per query), even though human-provided labels are available. In general, further details about which version of CAR was used should be provided. 
 ",Weakness
86,166-ARR,166-ARR_v1_review1_3@2,"- Equivalent performance is determined statistically via the failure of a one-sided t-test. Equivalence testing (e.g., TOST) could be used instead to strengthen the statistical claims. 
 ",Weakness
87,166-ARR,166-ARR_v1_review1_3@3,- It would be nice to have seen this work on other base models-- particularly a T5-based model.,Weakness
88,166-ARR,166-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - This work may feel more ""at home"" at an IR conference -- I'm not sure how interesting this will be to a broader *CL audience.",Weakness
89,166-ARR,166-ARR_v1_review1_4@2,"
 - Can this approach be used with the ColBERT model, where the ranking scores are based only on the similarities within the last layer?",Weakness
90,169-ARR,169-ARR_v1_review1_1@11,"Although the author claims that their work is the first for QA, there is significant overlap between this work and Campos et al. (2020), which also uses binary user feedback to improve a Conversational QA model. But it is not cited in the paper.",Weakness
91,169-ARR,169-ARR_v1_review1_1@3,"Notably, the author does not really deploy the model.",Weakness
92,169-ARR,169-ARR_v1_review1_1@4,"Instead, they derive pseudo-feedbacks from gold labels, which causes a significant gap between their simulation and real-world interaction.",Weakness
93,169-ARR,169-ARR_v1_review1_3@1,"1. Despite the well-motivated problem formulation, the simulation is not realistic.",Weakness
94,169-ARR,169-ARR_v1_review1_3@10,"Therefore, the experiment results cannot support the claim made by authors.
",Weakness
95,169-ARR,169-ARR_v1_review1_3@11,2. There is a serious issue of missing related work.,Weakness
96,169-ARR,169-ARR_v1_review1_3@16,3. The adopted baseline models are weak.,Weakness
97,169-ARR,169-ARR_v1_review1_3@17,"First of all, the author does not compare to Campos et al. (2020), which also uses feedback in QA tasks.",Weakness
98,169-ARR,169-ARR_v1_review1_3@18,"Second, they also do no comparison with other domain adaptation methods, such as those work cited in Section 8.",Implicit edit suggestion
99,169-ARR,169-ARR_v1_review1_3@2,The author does not really collect feedback from human users but derives them from labeled data.,Weakness
100,169-ARR,169-ARR_v1_review1_3@3,One can imagine users can find out that returned answers are contrastive to commonsense.,Weakness
101,169-ARR,169-ARR_v1_review1_3@5,"However, it is not very reasonable to assume that the users are knowledgeable enough to provide both positive and negative feedback.",Weakness
102,169-ARR,169-ARR_v1_review1_3@8,"In conclusion, it would be more realistic to assume that only a small portion of the negative feedback is trustworthy, and there may be little or no reliable positive feedback.",Weakness
103,169-ARR,169-ARR_v1_review1_4@1,Line 277: “The may be attributed…” -> “This may be attributed…,Explicit edit suggestion
104,169-ARR,169-ARR_v1_review2_3@1,"1. The binary reward from user feedback is weak due to the large search space for EQA, resulting in the incapability of providing precise supervisory signals.",Weakness
105,169-ARR,169-ARR_v1_review2_3@2,"Need to design a more sophisticated reward. 
",Weakness
106,169-ARR,169-ARR_v1_review2_3@3,"2. The proposed approach heavily relies on how accurate the initial model is, which means it is highly sensitive to model initialisation, limiting its usefullness. 
",Weakness
107,169-ARR,169-ARR_v1_review2_3@5,"4. Some other papers of learning from feedback for QA should be compared, such as Learning by Asking Questions, Misra et al. CVPR 2017.",Weakness
108,169-ARR,169-ARR_v1_review2_4@2,Why only use single-pass in online learning?,Weakness
109,170-ARR,170-ARR_v1_review1_1@14,"In addition, there are some minor concerns that could be addressed to further enhance this work: 1. 	The experiment for inference time comparison should be added. 
",Implicit edit suggestion
110,170-ARR,170-ARR_v1_review1_1@15,"2. 	More detailed analysis of the cascading errors is necessary. 
",Implicit edit suggestion
111,170-ARR,170-ARR_v1_review1_1@17,It would be valuable to explore the scalability of this work for these complex question types.,Weakness
112,172-ARR,172-ARR_v1_review1_3@11,"To Reviewer2.1**: First, distilling B task into A task improves A is not so surprising.",Implicit edit suggestion
113,172-ARR,172-ARR_v1_review1_3@2,"There is little novelty since the distillation technique is not new while the idea of cross-model training is not new, either.
",Weakness
114,172-ARR,172-ARR_v1_review1_3@20,"However, I suspect that substituting CLIP with any pretrained LM would also work.",Weakness
115,172-ARR,172-ARR_v1_review1_3@21,"But again, as the authors point out, ""the linguistic competence is CLIP-T very low"" so this paper has some insights and presents previously unknown results.",Weakness
116,172-ARR,172-ARR_v1_review1_3@25,Just manually reassign the weights in the original `state_dict` to a `state_dict` of a Hugging Face BERT model.,Implicit edit suggestion
117,172-ARR,172-ARR_v1_review1_3@3,-I'm surprised that in Table 1 CLIP-T performs so badly even when finetuned.,Weakness
118,172-ARR,172-ARR_v1_review1_3@5,"-Is it possible that the improvement of the distilled cross-modal model comes from ensembling instead of visual grounding?
",Implicit edit suggestion
119,172-ARR,172-ARR_v1_review1_3@6,"-I suggest the authors make the weights publically available (can be anonymous during double-blind reviewing) so the results can be easily verified by the community.
",Implicit edit suggestion
120,19-ARR,19-ARR_v1_review1_3@0,"summary_of_weaknesses. - Less of a weakness, but I do slightly disagree with the authors' focus on instance-level rather than system-level correlation (see below)",Weakness
121,19-ARR,19-ARR_v1_review1_4@2,"While I acknowledge the clear advantages of this, particularly related to sample size, I would encourage the authors to also include system-level scores in the leaderboard.",Explicit edit suggestion
122,19-ARR,19-ARR_v1_review2_3@1,"- Number of instances in a test set: Did the authors analyze if this affects the rankings?
-Section 3: There are no baselines presented for summarisation and image captioning.",Weakness
123,19-ARR,19-ARR_v1_review2_4@1,Line 473: missing word - “depending on the downstream task of interest”,Explicit edit suggestion
124,192-ARR,192-ARR_v1_review1_3@1,"1. 	Innovation is weak, only the modification of existing methods.",Weakness
125,192-ARR,192-ARR_v1_review1_3@5,But little experiments are carried out to prove its effectiveness.,Weakness
126,192-ARR,192-ARR_v1_review1_3@6,It seems that MTST in ablation study aims to prove it but the description “multiple-teacher to single-teacher” and “teacher and student have the same neural network structure” is confusing.,Weakness
127,192-ARR,192-ARR_v1_review1_4@1,"There are some grammatical mistakes, such as a)	in line 115, it should be ""that introduces an entity similarity evaluator""; b)	etc.",Explicit edit suggestion
128,192-ARR,192-ARR_v1_review2_3@1,"1. The authors unitize multilingual mBERT as basic sequence feature extractor to achieve the sequence embedding representation, why not try other multilingual pre-trained language models, such as mBART, ERNIE-M, mLUKE and so on. 
",Implicit edit suggestion
129,192-ARR,192-ARR_v1_review2_3@2,"2. The languages in CoNLL dataset are some rich-resourced languages indeed, the authors need to test MTMT model on some low-resourced languages.
",Explicit edit suggestion
130,192-ARR,192-ARR_v1_review2_4@1,"This paper has done a solid work on Cross-Lingual Named Entity Recognition, however, some questions remain to be clarified.
",Weakness
131,192-ARR,192-ARR_v1_review2_4@2,Please try more multilingual feature extractors and test MTMT model on some low-resourced languages.,Implicit edit suggestion
132,192-ARR,192-ARR_v1_review3_3@7,"While training with the student model, it is possible that the similarity evaluator teacher may provide incorrect supervision for w2 as the other two tokens have incorrect labels. 
",Weakness
133,192-ARR,192-ARR_v1_review3_3@9,There should be a label distribution analysis of the source language training dataset used for the Similarity evaluator teacher model.,Implicit edit suggestion
134,192-ARR,192-ARR_v1_review3_4@1,1. Some sentences are confusing.,Weakness
135,192-ARR,192-ARR_v1_review3_4@2,For example (1) lines 7-11 sentence.,Explicit edit suggestion
136,192-ARR,192-ARR_v1_review3_4@3,"In particular, what is the meaning of the phrase “identical single task across both domain.” 
",Explicit edit suggestion
137,192-ARR,192-ARR_v1_review3_4@4,"2. In line 23, it should be: …on the three datasets…. 
",Explicit edit suggestion
138,192-ARR,192-ARR_v1_review3_4@5,"3. In lines 523-524, it is unclear what embedding distribution is considered from the student model; add more detail.",Explicit edit suggestion
139,192-ARR,192-ARR_v1_review4_3@1,1. 	I don’t understand how and why the student model is taught by the teacher model.,Weakness
140,192-ARR,192-ARR_v1_review4_3@5,So why don’t we just use the teacher model to conduct zero-shot cross-lingual NER?,Implicit edit suggestion
141,192-ARR,192-ARR_v1_review4_3@6,I also didn’t see this baseline exists.,Weakness
142,192-ARR,192-ARR_v1_review4_3@8,"2. 	More baselines should be contained such XLM, XLMR, mBART.",Implicit edit suggestion
143,192-ARR,192-ARR_v1_review4_4@1,"1. The teacher model should also be evaluated to verify whether the distillation process is necessary. 
",Implicit edit suggestion
144,192-ARR,192-ARR_v1_review4_4@3,L-347.,Explicit edit suggestion
145,192-ARR,192-ARR_v1_review4_4@4,' Figure.4',Explicit edit suggestion
146,2-147,2-147_v1_report1053_3@0,- In the methods section the authors should clearly state how many repetitions have been used for each experiment and each condition – this is not clear at times. Presumably at least 3 repetitions per assay per condition were made in order to derive the statistics but this should be specified.,Explicit edit suggestion
147,2-147,2-147_v1_report1053_3@1,"- In figures 3 and 4A, the % of proteoglycan release is mentioned and graphed – how is this related to the total PG content if the variability appears to be rather high from the 80s to over 300 μg/mL? This needs to be clarified.",Explicit edit suggestion
148,2-147,2-147_v1_report1053_3@2,"- In figure 5, did the authors use a reference protein to ensure that the same total protein content was used for each band? If so, this should be included as a reference in Figure 5.",Explicit edit suggestion
149,2-147,2-147_v1_report1053_3@4,"- Furthermore, and of great importance, the authors briefly mention the low bioavailability of curcumin in vivo in humans – how does that compare to the concentrations that were used in these experiments? What would be a good comparison blood concentration one could expect in humans after oral application of curcumin? This should be included in the discussion section to provide the reader with some perspective.",Explicit edit suggestion
150,2-147,2-147_v1_report1061_3@0,- The Figure legends should include detailed information on the number of technical and biological replicates used.,Explicit edit suggestion
151,2-147,2-147_v1_report1061_3@1,- The Methods should clarify whether curcumin and IL1ß were added simultaneously to the cells/explants or whether curcumin was used to “pretreat” the cells/explants prior to the addition of IL1ß.,Explicit edit suggestion
152,2-147,2-147_v1_report1061_3@2,"- In the results section the authors state: “The most apparent reduction in MMP-3 secretion was always seen at 50μM with levels near to that of the controls in all animals.” This issue is also discussed in the 'discussion section later on. However, as Figure 1 demonstrates, significant cytotoxic results are expected from applying this concentration. The results should therefore be discussed in light of this finding.",Implicit edit suggestion
153,2-147,2-147_v1_report1061_3@3,- A reference protein (loading control) should be included in the Western Blot images in Figure 5.,Explicit edit suggestion
154,2-155,2-155_v1_report1186_3@0,Whether statistical differences in the raised without antibiotic animals would have been found if larger numbers were tested is not clear.,Implicit edit suggestion
155,2-155,2-155_v1_report1506_1@2,There are a few points that the authors need to address:,Weakness
156,2-155,2-155_v1_report1506_3@0,"- Please list the number of brands per category that were sampled as in Table 1. Also, please list the number of samples collected per brand. This information would be helpful and may have some impact on the data.",Explicit edit suggestion
157,2-155,2-155_v1_report1506_5@0,- The total number of E. coli isolates collected per type or brand is not stated. It would be helpful to know what percentage of each were positive.,Explicit edit suggestion
158,2-155,2-155_v1_report1506_7@0,- The first sentence of the discussion section is very inflammatory to the industry and is not absolutely true. I would suggest refining this greatly or deleting it.,Explicit edit suggestion
159,2-155,2-155_v1_report1506_8@0,"- Similarly, the second sentence is quite definitive and implies that antibiotic usage always creates antibiotic resistance which may not be true. I suggest modifying this sentence with a qualifying word such as “may select for” or “can select for”.",Explicit edit suggestion
160,2-155,2-155_v1_report1506_9@0,One variable the authors did not address is the fact that chickens produced by the same brand most likely came from different farms.,Weakness
161,2-155,2-155_v1_report1506_9@4,These are confounding variables that may have impacted the author’s data.,Weakness
162,2-173,2-173_v1_report1566_2@0,The following minor changes are suggested to improve clarity and data interpretation:,Weakness
163,2-173,2-173_v1_report1566_3@0,"- In paragraph 1 of page 4, state explicitly whether hydrocortisone was present in the culture medium of the other cell lines and primary cultures.",Explicit edit suggestion
164,2-173,2-173_v1_report1566_4@0,"- In paragraph 3 of page 8 and the final paragraph page 9; I suggest caution in the conclusion that the results, which were obtained in an adenocarcinoma cell line, support the proposal that glucocorticoids increase CYP3A5 and inhaled glucocorticoid metabolism in vivo. In fact, the negative data for primary cells argues against the hypothesis.",Explicit edit suggestion
165,2-173,2-173_v1_report1628_3@0,"Although the data in A549 cells are convincing, the hypothesis that CYP3A5 is expressed in “non-transformed” lung cells (tracheal/bronchial) potentially regulated by corticosteroid therapy is not apparent from the study.",Implicit edit suggestion
166,2-173,2-173_v1_report1628_3@1,"Unless the authors can show that CYP3A5 is indeed expressed in vivo in the epithelium in endobronchial biopsies from asthmatic patients, the physiological and/or clinical relevance of the present study in steroid insensitive patients is not apparent and this point should be revised in the discussion.",Implicit edit suggestion
167,2-173,2-173_v1_report1628_4@2,How can the authors explain that M1 is sensitive to 1-ABT?,Weakness
168,2-180,2-180_v1_report1747_10@0,"- Methods, Page 1, Col 2, Par 1, Lines 7-8. Could the authors provide an idea of how far in their development (if possible in age compared to humans) are 8-10 week old mice? It seems that in a prior study by the same authors that showed significant results after 14 days of low field rTMS on the visual cortex by Rodger et al. 2012, FASEB J, the mice were slightly younger (6-8 weeks). Is this period crucial in terms of postnatal development for mice? Could a less plastically sensitive brain of 8-10 week old mice vs. 6-8 week old mice explain the current null results? Please comment briefly in the manuscript.",Explicit edit suggestion
169,2-180,2-180_v1_report1747_11@0,"- Methods, Page 2, Col 2, Par 2, Lines 6-7. Why were mice tested before the low field pulsed magnetic stimulation session and not also immediately thereafter, when the impact of the stimulation should have been stronger? Although I understand the authors sought a long-term effect, such a measure could have proven useful to reveal at least an immediate day-to-day impact of stimulation and become a proof of their efficacy? Given the order of events, one could be tempted to speculate the possibility of non-synergistic interaction between the lasting effects of task practice and immediately subsequent low field rTMS stimulation, cancelling the modulatory effects.",Explicit edit suggestion
170,2-180,2-180_v1_report1747_12@0,"- Methods, Page 3, Col 1, Par 2, Lines 7-8 . As this is not a standard rTMS stimulation device, some additional information on the stimulation source should be given to be able to compare the efficiency of low field pulsed magnetic stimulation with current human rTMS equipment. More specifically, what is the shape of the stimulating pulse (monophasic, biphasic?) and what is the rise time of the field? The pattern of stimulation used seems essentially an “excitatory” 10 Hz rTMS pattern, preceded and followed by short instances of ~6 Hz stimulation. Was this high frequency employed as a way to induce LTP phenomena in the hippocampus or as a tool to enhance cortical excitability and facilitate learning behavior leading then to functional and anatomical modulations of the hippocampus? Please comment briefly.",Explicit edit suggestion
