doc_name,node_ix_src,text_src,edits,edits_count
2-180,2-180_edit_summary_7@3,Two claim sentence were added instead explaining in detail what can be done in the future.,2-180_v2_40@7===nan;2-180_v2_40@8===nan,2
2-180,2-180_edit_summary_8@0,Authors made two factual changes in two separate sentences by adding the citations.,2-180_v2_40@6===2-180_v1_39@6;2-180_v2_42@1===2-180_v1_41@1;2-180_v2_8@1===2-180_v1_41@2,3
2-180,2-180_edit_summary_8@1,One of this sentence was moved to another section of the paper.,2-180_v2_8@1===2-180_v1_41@2,1
2-180,2-180_edit_summary_8@2,Also one factual sentence was deleted.,nan===2-180_v1_41@3,1
2-180,2-180_edit_summary_8@3,"A claim change was made by the deleting the statement ""is in line with our behavioural results"".",2-180_v2_42@2===2-180_v1_41@4,1
2-180,2-180_edit_summary_8@4,Next correction was small clarity change (rTMS stimulation sessions -> rTMS sessions).,2-180_v2_42@5===2-180_v1_42@1,1
2-180,2-180_edit_summary_8@5,After that authors added 4 sentences detaily explaining the possible influence of the timing of rTMS on the outcome of the experiments.,2-180_v2_43@0===nan;2-180_v2_43@1===nan;2-180_v2_43@2===nan;2-180_v2_43@3===nan,4
2-180,2-180_edit_summary_8@6,"Another paragraph containing 4 sentences was added, where authors described in detail the limitations of the of their rodent scaled rTMS delivery device.",2-180_v2_45@0===nan;2-180_v2_45@1===nan;2-180_v2_45@2===nan;2-180_v2_45@3===nan,4
23-ARR,23-ARR_edit_summary_1@0,"In the abstract section, firstly a grammatical error was fixed in a sentence.",23-ARR_v2_2@1===23-ARR_v1_2@1,1
23-ARR,23-ARR_edit_summary_1@1,Then one sentence was split into two and clarity was enhanced.,23-ARR_v2_3@0===23-ARR_v1_2@2;23-ARR_v2_3@1===23-ARR_v1_2@2,2
23-ARR,23-ARR_edit_summary_1@2,Three sentences were linked into two sentences and there were grammar and clarity changes in them.,23-ARR_v2_3@2===23-ARR_v1_2@3;23-ARR_v2_3@3===23-ARR_v1_2@3;23-ARR_v2_3@3===23-ARR_v1_2@4,3
23-ARR,23-ARR_edit_summary_1@3,"Finally, a sentence with the authors claim about their goal of the work was deleted.",nan===23-ARR_v1_2@5,1
23-ARR,23-ARR_edit_summary_1@4,"In the introductions section, two sentences were modified to improve clarity and one was modified to change the claim of the author.",23-ARR_v2_13@1===23-ARR_v1_11@1;23-ARR_v2_7@0===23-ARR_v1_5@1;23-ARR_v2_7@2===23-ARR_v1_5@3,3
23-ARR,23-ARR_edit_summary_1@5,"Also, there was one sentence with fixed grammar and one fact concerning the schema expansion was modified in the sentence.",23-ARR_v2_12@1===23-ARR_v1_10@1;23-ARR_v2_13@3===23-ARR_v1_12@0,2
23-ARR,23-ARR_edit_summary_1@6,"Finally, a sentence with the link of the authors benchmarks and codes for the experiments was added.",23-ARR_v2_14@3===nan,1
23-ARR,23-ARR_edit_summary_1@7,"In the backgrounds section, one sentence was modified which did not seem correct and labelled as other.",23-ARR_v2_17@7===23-ARR_v1_16@7,1
23-ARR,23-ARR_edit_summary_1@8,Then after that there were two sentences with clarity improvements and two sentences with grammatical changes.,23-ARR_v2_18@14===23-ARR_v1_17@14;23-ARR_v2_18@21===23-ARR_v1_17@21;23-ARR_v2_18@6===23-ARR_v1_17@6;23-ARR_v2_18@8===23-ARR_v1_17@8,4
23-ARR,23-ARR_edit_summary_1@9,"In the proposed evaluation benchmarks section, there was only one sentence change which included a grammatical error solve.",23-ARR_v2_20@0===23-ARR_v1_19@0,1
23-ARR,23-ARR_edit_summary_1@10,"In the next section, there was one sentence where punctuation was deleted to fix grammar and two sentences were modified to enhance clarity.",23-ARR_v2_23@2===23-ARR_v1_22@2;23-ARR_v2_23@3===23-ARR_v1_22@3;23-ARR_v2_23@5===23-ARR_v1_22@5,3
23-ARR,23-ARR_edit_summary_1@11,In the squall repartitioning section one sentence was added which made the claim about the authors models and what it needed to learn to do well in the dataset.,23-ARR_v2_27@4===nan,1
23-ARR,23-ARR_edit_summary_1@12,"In the proposed method section, there were changes in quite a few sentences to improve clarity including one split sentence and one merged sentence.",23-ARR_v2_33@1===23-ARR_v1_32@5;23-ARR_v2_33@2===23-ARR_v1_32@5;23-ARR_v2_33@3===23-ARR_v1_32@7;23-ARR_v2_33@4===23-ARR_v1_32@8;23-ARR_v2_33@5===23-ARR_v1_32@8;23-ARR_v2_34@2===23-ARR_v1_33@2,6
23-ARR,23-ARR_edit_summary_1@13,"Also, there was a claim change in one sentence which was split into a new one.",,0
23-ARR,23-ARR_edit_summary_1@14,Two sentences were merged into one and in one sentence a claim about the different types of columns was modified.,23-ARR_v2_33@3===23-ARR_v1_32@6,1
23-ARR,23-ARR_edit_summary_1@15,There was a sentence modification to improve clarity in the schema expansion section.,23-ARR_v2_36@3===23-ARR_v1_35@3,1
23-ARR,23-ARR_edit_summary_1@16,"In schema pruning section, one fact was modified about how some columns were left unpruned.",23-ARR_v2_43@3===23-ARR_v1_39@9,1
23-ARR,23-ARR_edit_summary_1@17,"Also, one fact was modified where the example of irrelevant column i.e., negative column sampling was removed.",23-ARR_v2_43@4===23-ARR_v1_39@10,1
23-ARR,23-ARR_edit_summary_1@18,"Finally, there was a change in clarity in a sentence.",23-ARR_v2_43@5===23-ARR_v1_39@11,1
23-ARR,23-ARR_edit_summary_1@19,"In experimental setup, one sentence was modified to fix grammatical mistakes.",23-ARR_v2_49@0===23-ARR_v1_44@1,1
23-ARR,23-ARR_edit_summary_1@20,Then one sentence was added which explained the authors claims about the SQUALL researchers.,23-ARR_v2_49@1===nan,1
23-ARR,23-ARR_edit_summary_1@21,Two sentences were added then which briefly demonstrated authors data regarding out of domain generalization and the data selected to be reported.,23-ARR_v2_49@2===nan;23-ARR_v2_49@3===nan,2
23-ARR,23-ARR_edit_summary_1@22,In the results there was only one modified sentence which consisted of clarity improvement.,23-ARR_v2_51@5===23-ARR_v1_47@2,1
23-ARR,23-ARR_edit_summary_1@23,"Finally, in the conclusions section, there was one sentence with grammar fixed and one sentence was modified to improve clarity.",23-ARR_v2_63@0===23-ARR_v1_59@0;23-ARR_v2_63@3===23-ARR_v1_59@3,2
23-ARR,23-ARR_edit_summary_1@24,Then two sentences were added which describe the authorâ€™s claims about the new table schema and how it worked well being limited to specified column types.,23-ARR_v2_63@4===nan;23-ARR_v2_63@5===nan,2
23-ARR,23-ARR_edit_summary_1@25,"Lastly there were two sentences with claim changes, which illustrated the authors view on how their work can motivate the future works related to this challenge.",23-ARR_v2_63@6===23-ARR_v1_59@4;23-ARR_v2_63@7===23-ARR_v1_59@5,2
25-ARR,25-ARR_edit_summary_1@0,"In the ""Problems in Past Evaluation"" Section authors made a grammar spelling correction of the competition name.",25-ARR_v2_8@0===25-ARR_v1_8@0,1
25-ARR,25-ARR_edit_summary_2@0,"Authors made a factual change by the addition of the citation in the ""Human Ratings of Dialogue Quality"".",25-ARR_v2_17@0===25-ARR_v1_17@0,1
25-ARR,25-ARR_edit_summary_2@1,They deleted claim statement about the challenges of the adjectival scale labels.,nan===25-ARR_v1_19@2,1
25-ARR,25-ARR_edit_summary_3@0,"In the ""Meta-Evaluation"" Section authors made a factual change about the detailed instructions in the Appendix.",25-ARR_v2_35@2===25-ARR_v1_35@2,1
25-ARR,25-ARR_edit_summary_4@0,"Authors added the sentence about the consistency of the models in the ""System-level Consistency"".",25-ARR_v2_42@2===nan,1
25-ARR,25-ARR_edit_summary_4@1,"Also the subsection Title ""Evaluating with Prescribed Topics"" was added.",25-ARR_v2_48@0===nan,1
25-ARR,25-ARR_edit_summary_4@2,Authors also added the fact sentence about the raw average scores provided in the Appendix.,25-ARR_v2_49@6===nan,1
25-ARR,25-ARR_edit_summary_4@3,"Four fact sentences were added about BLEU BLEU, ROUGE-L ROUGE, METEOR METEOR and GLEU GLEU models respectively.",25-ARR_v2_50@1===nan;25-ARR_v2_51@1===nan;25-ARR_v2_52@1===nan;25-ARR_v2_53@1===nan,4
25-ARR,25-ARR_edit_summary_5@0,"The title of the subsection was added - ""Reference-free Metrics"".",25-ARR_v2_56@0===nan,1
25-ARR,25-ARR_edit_summary_5@1,Authors added two factual sentences about two metrics they employed.,25-ARR_v2_57@0===nan;25-ARR_v2_57@1===nan,2
25-ARR,25-ARR_edit_summary_5@2,After that they added two factual sentences describing the USR USR model.,25-ARR_v2_59@1===nan;25-ARR_v2_59@2===nan,2
25-ARR,25-ARR_edit_summary_5@3,"The subtitle ""Correlation between autoamtica Metrics and Human Evaluation"" was added instead of deleted subtitle ""Comaprison with Automatic Evaluation Metrics"".",25-ARR_v2_60@0===nan;nan===25-ARR_v1_46@0,2
25-ARR,25-ARR_edit_summary_5@4,Small clarity change was made.,25-ARR_v2_61@0===25-ARR_v1_47@0,1
25-ARR,25-ARR_edit_summary_5@5,Authors deleted the factual sentence about the Raw average scores provided in Table 10 and Appendix.,nan===25-ARR_v1_48@0,1
334-ARR,334-ARR_edit_summary_1@0,"In the abstract, populous country was and changed to many populous country to intensify the sentence.",334-ARR_v2_2@0===334-ARR_v1_2@0,1
334-ARR,334-ARR_edit_summary_1@1,A claim was changed about development of automated systems.,334-ARR_v2_2@1===334-ARR_v1_2@1,1
334-ARR,334-ARR_edit_summary_1@2,A sentence was reworded for the clarification about high-quality corpora.,334-ARR_v2_2@2===334-ARR_v1_2@2,1
334-ARR,334-ARR_edit_summary_1@3,Hindi was taken out of the bracket an placed it in the sentence using the word such as.,334-ARR_v2_2@3===334-ARR_v1_2@3,1
334-ARR,334-ARR_edit_summary_1@4,Fact about the size of the Hindi Legal Documents Corpus was changed.,334-ARR_v2_2@4===334-ARR_v1_2@4,1
334-ARR,334-ARR_edit_summary_1@5,An article for Documents was deleted.,334-ARR_v2_2@5===334-ARR_v1_2@5,1
334-ARR,334-ARR_edit_summary_1@6,The capitalization of the word Bail Protection was changed.,334-ARR_v2_2@6===334-ARR_v1_2@6,1
334-ARR,334-ARR_edit_summary_1@7,"At the end of the abstract, results on was changed with experiments with.",334-ARR_v2_2@9===334-ARR_v1_2@9,1
334-ARR,334-ARR_edit_summary_2@0,"In the introduction section, a clarity change was done where them was deleted.",334-ARR_v2_4@2===334-ARR_v1_4@2,1
334-ARR,334-ARR_edit_summary_2@1,Factual information about how legal documents use jargon was added.,334-ARR_v2_4@4===334-ARR_v1_4@4,1
334-ARR,334-ARR_edit_summary_2@2,A conjunction was added at the beginning of the sentence to better connect the sentences.,334-ARR_v2_4@5===334-ARR_v1_5@0,1
334-ARR,334-ARR_edit_summary_2@3,The year of publication of the citation Malik et al. was changed from 2021 to 2021b two times in this section.,334-ARR_v2_5@1===334-ARR_v1_5@1;334-ARR_v2_5@7===334-ARR_v1_5@7,2
334-ARR,334-ARR_edit_summary_2@4,"Next, Devanagari being a script was added.",334-ARR_v2_5@4===334-ARR_v1_5@3,1
334-ARR,334-ARR_edit_summary_2@5,"Following that, northern india was capitalized.",334-ARR_v2_5@6===334-ARR_v1_5@6,1
334-ARR,334-ARR_edit_summary_2@6,Abbreviation of Hindi Legal Documents Corpus i.e. HLDC was added.,334-ARR_v2_5@8===334-ARR_v1_5@8,1
334-ARR,334-ARR_edit_summary_2@7,Districts was placed inside brackets for lowest level of court system in India.,334-ARR_v2_6@0===334-ARR_v1_6@0,1
334-ARR,334-ARR_edit_summary_2@8,Majority of the cases handled by district court was deleted and just majority was kept.,334-ARR_v2_6@1===334-ARR_v1_6@1,1
334-ARR,334-ARR_edit_summary_2@9,Courts after district was capitalized.,334-ARR_v2_6@2===334-ARR_v1_6@2,1
334-ARR,334-ARR_edit_summary_2@10,Developing systems was replaced with developing models.,334-ARR_v2_6@3===334-ARR_v1_6@3,1
334-ARR,334-ARR_edit_summary_2@11,Cases was deleted from 20 million cases.,334-ARR_v2_6@4===334-ARR_v1_6@4,1
334-ARR,334-ARR_edit_summary_2@12,"Following that, the abbreviation of Uttar Pradesh (U.P.) was deleted.",334-ARR_v2_6@6===334-ARR_v1_6@6,1
334-ARR,334-ARR_edit_summary_2@13,"The factual information about the size of corpus was changed from about 900k to 912,568.",334-ARR_v2_6@5===334-ARR_v1_6@5,1
334-ARR,334-ARR_edit_summary_2@14,"Following that, a factual statement about a use case was added.",334-ARR_v2_6@7===334-ARR_v1_6@7,1
334-ARR,334-ARR_edit_summary_3@0,"In the section related work, the year of publication of the citation Malik et al. was changed from 2021 to 2021b.  ",334-ARR_v2_12@0===334-ARR_v1_10@0,1
334-ARR,334-ARR_edit_summary_3@1,The tense of the sentence was changed from past to present.,334-ARR_v2_12@3===334-ARR_v1_10@3,1
334-ARR,334-ARR_edit_summary_4@0,"In the title of this section, Hindi Legal Document Corpus was changed to Hindi Legal Documents Corpus.",334-ARR_v2_13@0===334-ARR_v1_11@0,1
334-ARR,334-ARR_edit_summary_4@1,"The factual information about the size of corpus was changed from about 900k to 912,568.",334-ARR_v2_14@0===334-ARR_v1_12@0,1
334-ARR,334-ARR_edit_summary_4@2,The method of data collection was reworded from scraping to downloading and was also changed two more times.,334-ARR_v2_14@1===334-ARR_v1_13@0;334-ARR_v2_14@15===334-ARR_v1_13@14;334-ARR_v2_14@3===334-ARR_v1_13@2,3
334-ARR,334-ARR_edit_summary_4@3,"Following that, etc was deleted.",334-ARR_v2_15@3===334-ARR_v1_14@3,1
334-ARR,334-ARR_edit_summary_4@4,Article for the body was deleted.,334-ARR_v2_18@1===334-ARR_v1_15@18,1
334-ARR,334-ARR_edit_summary_5@0,"In the section HLDC: Ethical Aspects, the year of publication of the citation Malik et al. was changed from 2021 to 2021b twice.",334-ARR_v2_23@12===334-ARR_v1_19@12;334-ARR_v2_23@7===334-ARR_v1_19@7,2
334-ARR,334-ARR_edit_summary_6@0,"In the section, dataset splits, wording of not present during training was changed to not present in train set.",334-ARR_v2_50@5===334-ARR_v1_45@5,1
334-ARR,334-ARR_edit_summary_7@0,"In the results section, summarization models was changed to summarization based models.",334-ARR_v2_52@4===334-ARR_v1_48@4,1
334-ARR,334-ARR_edit_summary_8@0,"In the section, error analysis, the wording of the sentence was reordered about the misclassified examples.",334-ARR_v2_54@1===334-ARR_v1_51@1,1
334-ARR,334-ARR_edit_summary_8@1,The tense of observe was changed into past tense.,334-ARR_v2_54@6===334-ARR_v1_51@6,1
334-ARR,334-ARR_edit_summary_8@2,A claim was deleted about the interesting future direction.,nan===334-ARR_v1_51@9,1
334-ARR,334-ARR_edit_summary_8@3,"Further, 5 factual information was added; the first being about the quantitative analysis that was performed; second about the model that outputs probabilistic score.",334-ARR_v2_54@10===nan;334-ARR_v2_54@9===nan,2
334-ARR,334-ARR_edit_summary_8@4,Third one was about the indication of the values 0 to 1 where fourth was about the bail granting and denying predictions.,334-ARR_v2_55@0===nan;334-ARR_v2_55@2===nan,2
334-ARR,334-ARR_edit_summary_8@5,And final addition was about the borderline cases.,334-ARR_v2_55@3===nan,1
334-ARR,334-ARR_edit_summary_9@0,"In the section future work and conclusion, all labelled was changed to all sentences labelled to enhance the meaning of the sentence.",334-ARR_v2_58@8===334-ARR_v1_56@3,1
7-704,7-704_edit_summary_1@0,The topic of the study was changed to the electric fields of non-invasive electric brain stimulation instead of the effects of non-invasive brain stimulation.,7-704_v2_0@0===7-704_v1_0@0,1
7-704,7-704_edit_summary_1@1,Similar change i.e. from the effects to the electric fields was also made twice in the abstract.,7-704_v2_2@0===7-704_v1_2@0;7-704_v2_2@3===7-704_v1_2@3,2
7-704,7-704_edit_summary_2@0,The first three changes in the introduction was addition of reference number for the citations.,7-704_v2_4@0===7-704_v1_4@0;7-704_v2_4@1===7-704_v1_4@1;7-704_v2_4@2===7-704_v1_4@2,3
7-704,7-704_edit_summary_2@1,"Next, electrode was added in front of rotation, and type to make it more understandable.",7-704_v2_5@0===7-704_v1_5@0,1
7-704,7-704_edit_summary_3@0,The sub-title methods was changed to methods and results.,7-704_v2_8@0===7-704_v1_8@0,1
7-704,7-704_edit_summary_4@0,"In the section creation of head models, information about automated tissue segmentation conducted in major air cavities was added.",7-704_v2_12@1===7-704_v1_12@1,1
7-704,7-704_edit_summary_4@1,"Next, the claim about head models not being suitable for estimating stimulation-related E-fields in brainstem Nuclei was changed to cerebellum.",7-704_v2_12@5===7-704_v1_12@5,1
7-704,7-704_edit_summary_4@2,Further claim was added about the segmentation of the brainstem.,7-704_v2_12@6===nan,1
7-704,7-704_edit_summary_4@3,"Following that, additionally was replaced with furthermore.",7-704_v2_12@7===7-704_v1_12@6,1
7-704,7-704_edit_summary_4@4,A fact was then added about an extended head model along with the reference for the citation.,7-704_v2_12@10===nan,1
7-704,7-704_edit_summary_4@5,A clarity change was made about the pre-release version of SimNIBS 2.1.,7-704_v2_13@0===7-704_v1_13@0,1
7-704,7-704_edit_summary_4@6,"Further, factual information about the air cavities being modeled was added.",7-704_v2_13@3===nan,1
7-704,7-704_edit_summary_4@7,There was a minor convention change of a sign -.,7-704_v2_13@5===7-704_v1_13@3,1
7-704,7-704_edit_summary_5@0,"In the section dataset validation, a factual information about FreeSurfer 5.3.0 being implemented in mri2mesh  was updated.",7-704_v2_20@0===7-704_v1_20@0,1
7-704,7-704_edit_summary_5@1,A clarity change was administered to simplify the sentence where the subject was changed from this new SimNIBS pipeline to this pipeline.,7-704_v2_20@1===7-704_v1_20@1,1
7-704,7-704_edit_summary_5@2,"Following that, a fact was added about a custom pipeline.",7-704_v2_20@2===nan,1
7-704,7-704_edit_summary_5@3,"Further, a claim about how same accuracy can be achieved using headreco was added.",7-704_v2_20@3===nan,1
7-704,7-704_edit_summary_5@4,A factual change was made in this sentence where figure number where the head models were shown was deleted.,7-704_v2_20@4===7-704_v1_20@2,1
7-704,7-704_edit_summary_5@5,The next edit was addition of an automated atlas-based parcellation of the frontal lobe in the sentence to amplify the meaning of the sentence.,7-704_v2_25@3===7-704_v1_24@3,1
7-704,7-704_edit_summary_5@6,"Following that, a reference number was added in the list of the result.",7-704_v2_25@4===7-704_v1_25@0,1
7-704,7-704_edit_summary_5@7,A fact was further added about how accessing group differences between MDD and healthy subjects was not the primary aim of the current data.,7-704_v2_25@5===nan,1
7-704,7-704_edit_summary_5@8,A clarity change was administered where the results presented in figure 4 was changed to these results and that of figure 4.,7-704_v2_25@6===7-704_v1_28@0,1
7-704,7-704_edit_summary_6@0,"In the section usage notes, the version of SimNIBS was updated from 2.0 to 2.1.1.",7-704_v2_33@0===7-704_v1_34@0,1
7-704,7-704_edit_summary_6@1,Following that a claim about the older version of SimNIBS not allowing exporting the resulting E-field maps into FreeSurfer was deleted.,nan===7-704_v1_34@3,1
7-704,7-704_edit_summary_6@2,"Next, wordings of the sentences were changed about the script outputting data registered.",7-704_v2_33@3===7-704_v1_34@4,1
7-704,7-704_edit_summary_6@3,Information about the cons of upcoming version of SimNIBS was updated to clarify the sentence as the new version was used in the study.,7-704_v2_33@4===7-704_v1_34@5,1
7-229,7-229_edit_summary_1@0,A clarity change (i.e. change of similar meaning word; from ÔsitesÕ to ÔplotsÕ) has been made; which can also be seen repeated 6 times in the entire paper; once in method section; twice in data analysis section; once in results section; and twice in discussion section.,7-229_v2_17@6===7-229_v1_18@4;7-229_v2_20@1===7-229_v1_21@1;7-229_v2_22@2===7-229_v1_23@2;7-229_v2_25@0===7-229_v1_26@0;7-229_v2_3@1===7-229_v1_3@1;7-229_v2_42@5===7-229_v1_40@5;7-229_v2_42@7===7-229_v1_40@7,7
7-229,7-229_edit_summary_2@0,The first edit in the introduction section was addition of a citation. And the second edit was a change in the claim where approaches usually used to analyse the potential benefit of disturbance has been added instead of just few studies.,7-229_v2_8@1===7-229_v1_8@1;7-229_v2_9@1===7-229_v1_9@1,2
7-229,7-229_edit_summary_3@0,"In the study-site section under method, three factual information was added, first and second being information about secondary forest plots and shrub swamp.",7-229_v2_16@1===nan;7-229_v2_16@2===nan;7-229_v2_17@4===nan,3
7-229,7-229_edit_summary_3@1,The third was the limitation of the study and why the survey could not be conducted every month.,,0
7-229,7-229_edit_summary_3@2,"Next, a sentence was updated with the number of times the audible sound was recorded.",7-229_v2_17@1===7-229_v1_18@0,1
7-229,7-229_edit_summary_3@3,The final edit in this section was the change of work from habitat to plots.,7-229_v2_17@3===7-229_v1_18@2,1
7-229,7-229_edit_summary_4@0,The first modification in the data analysis section was a fact/evidence where additional information about the number of recordings collected per slot was added.,7-229_v2_19@0===7-229_v1_20@0,1
7-229,7-229_edit_summary_4@1,"In the first sentence of split and modify, an assumptions made during the study was added and in the second sentence a clarity change was made i.e. the subject for the sentence was borrowed from the first sentence.",7-229_v2_19@2===7-229_v1_20@2;7-229_v2_19@3===7-229_v1_20@2,2
7-229,7-229_edit_summary_4@2,"Next, additional factual information about plot i.e alpha richness and habitat i.e. gamma richness levels was added.",7-229_v2_20@3===7-229_v1_21@3,1
7-229,7-229_edit_summary_4@3,Again another fact containing the step by step process on how the study counted the bird abundance was updated.,7-229_v2_20@4===7-229_v1_21@4,1
7-229,7-229_edit_summary_4@4,A clarity change was also made in this sub-section where a phrase was reordered to simplify the sentence.  ,7-229_v2_20@5===7-229_v1_21@5,1
7-229,7-229_edit_summary_4@5,There was an addition of a fact in this section about the models and how it was checked.,7-229_v2_21@1===nan,1
7-229,7-229_edit_summary_4@6,"At the end of this section, factual information was updated about how the data was pooled to visualise the composition of the bird community.",7-229_v2_22@0===7-229_v1_23@0,1
7-229,7-229_edit_summary_5@0,Majority of the changes in the result section was fact/evidence; the first edit was updating the total number of birds that have been detected.,7-229_v2_24@0===7-229_v1_25@0,1
7-229,7-229_edit_summary_5@1,The second edit was also about updating the number of individual bird that could not be identified and how that has led to the increase in the working dataset.,7-229_v2_24@1===7-229_v1_25@1,1
7-229,7-229_edit_summary_5@2,The third edit was addition of the information about the study area i.e. primary forest and the shrub swamp where the fourth edit was updating the Marginal significance value from 0.053 to 0.068.,7-229_v2_24@2===7-229_v1_25@2;7-229_v2_34@1===7-229_v1_33@1,2
7-229,7-229_edit_summary_5@3,"In this sub-section, there were in total 4 new sentences added and all of them were fact/evidence changes; in the first sentence information about error bar was added whereas in the second one, mean values of the result and how they are indicated in the error bar was added.",7-229_v2_28@1===nan;7-229_v2_33@1===nan,2
7-229,7-229_edit_summary_5@4,"Following that, there was an evidence added from other authors about how means are significantly different when their confidence intervals do not overlap along with citation. And finally information about how abundances are treated in the result was mentioned.",7-229_v2_33@2===nan;7-229_v2_37@0===nan,2
7-229,7-229_edit_summary_6@0,In the discussion section two claims were added; the first one was about how the changes in bird community could lead to a bigger and more mobile species where the second change was  about why wild bird trapping was worrisome.,7-229_v2_40@4===nan;7-229_v2_41@3===nan,2
7-229,7-229_edit_summary_6@1,There were minor clarity edits in following sentences to increase the intensity of the sentence i.e. Ôthese human activitiesÕ to Ôall these human activitiesÕ; ÔNational Park of Berbak providedÕ to National Park of Berbak still providedÕ. Clarity changes were also made to simplify the sentences i.e. Ôforest sitesÕ to forest.,7-229_v2_41@4===7-229_v1_39@3;7-229_v2_42@0===7-229_v1_40@0;7-229_v2_42@10===7-229_v1_40@8,3
7-229,7-229_edit_summary_6@2,Grammar changes were also made in this sub-section where verb was changed from plural to singular (were to was) and from uncountable noun to countable noun i.e Õtwice as muchÕ to Ôtwice as manyÕ. There was only one modification in this sub-section where a claim was added about how Javan Myna might establish feral populations.,7-229_v2_42@2===7-229_v1_40@2;7-229_v2_42@3===7-229_v1_40@3,2
3-190,3-190_edit_summary_1@0,The time-at-liberty range for R.terraenovae was modified in the abstract.,3-190_v2_2@1===3-190_v1_2@1,1
3-190,3-190_edit_summary_1@1,"In the introduction, one sentence was modified to improve the clarity by amplification of the meaning.",3-190_v2_5@6===3-190_v1_5@6,1
3-190,3-190_edit_summary_1@2,In the methods section one typing error in a sentence was fixed.,3-190_v2_9@1===3-190_v1_9@1,1
3-190,3-190_edit_summary_1@3,A fact about R.terraenovae recapture number was added in the results section.,3-190_v2_21@0===nan,1
3-190,3-190_edit_summary_1@4,Also the time-at-liberty of R.terraenovae and number of sharks recaptured were modified in two sentences here.,3-190_v2_21@1===3-190_v1_21@0;3-190_v2_21@6===3-190_v1_21@5,2
3-190,3-190_edit_summary_1@5,One figure containing the Vertebrae section was added and mentioned as fact in one sentence.,3-190_v2_21@4===3-190_v1_21@3,1
3-190,3-190_edit_summary_1@6,A fact about the background of tagging study was added in the Carcharhinus acronotus section.,3-190_v2_27@0===nan,1
3-190,3-190_edit_summary_1@7,"Also, two sentences were merged and word smithing was done to improve clarity.",3-190_v2_27@1===3-190_v1_25@0;3-190_v2_27@1===3-190_v1_25@1,2
3-190,3-190_edit_summary_1@8,Another figure with the vertebral section was added and pointed out here in a sentence.,3-190_v2_27@4===3-190_v1_25@4,1
3-190,3-190_edit_summary_1@9,In the age estimates and comparisons section two sentences were deleted which explained some facts from the papers table 2 about the longevity of R.terraenovae and C. acronotus.,nan===3-190_v1_27@2;nan===3-190_v1_30@2,2
3-190,3-190_edit_summary_1@10,"In the discussions section, one sentence was modified to fix the grammar error and one was modified by simplification to improve clarity.",3-190_v2_36@2===3-190_v1_32@2;3-190_v2_36@3===3-190_v1_32@3,2
3-190,3-190_edit_summary_1@11,"Finally, there was fact change where the number of sharks encountered was modified.",3-190_v2_38@3===3-190_v1_34@3,1
