edit_index,doc_name,node_ix_src,node_ix_tgt,text_src,text_tgt,gold,label
591,129-ARR,129-ARR_v2_70@5,,Implementation Details.,,"Add,Other",Other
592,129-ARR,129-ARR_v2_70@6,,"We choose RoBERTabase (Liu et al., 2019) from the HuggingFace codebase (Wolf et al., 2020) as the backbone for AC-TUNE and all baselines except for Pubmed and Chemprot, where we use SciBERT (Beltagy et al., 2019), a BERT model pre-trained on scientific cor-pora.",,"Add,Fact/Evidence",Fact/Evidence
593,129-ARR,129-ARR_v2_82@0,,Case Study,,"Add,Other",Other
594,129-ARR,129-ARR_v2_85@4,,"Very recently, there are also several works attempted to query labeling functions for weakly-supervised learning (Boecking et al., 2020;Hsieh et al., 2022;Zhang et al., 2022b).",,"Add,Fact/Evidence",Fact/Evidence
595,129-ARR,129-ARR_v2_85@11,,"Self-training is one of the earliest and simplest approaches to semi-supervised learning (Lee, 2013).",,"Add,Fact/Evidence",Fact/Evidence
596,129-ARR,129-ARR_v2_88@0,,There are several directions to improve ACTUNE.,,"Add,Claim",Claim
597,129-ARR,129-ARR_v2_88@4,,"Moreover, we can explore more advanced uncertainty estimation approach (Kong et al., 2020) into ACTUNE to further improve the performance.",,"Add,Claim",Claim
754,136-ARR,136-ARR_v2_7@6,,"Moreover, the semantic accuracy metrics and our manual error analysis suggest that our approach offers a way to prevent omissions and hallucinations common in few-shot approaches.",,"Add,Claim",Claim
755,136-ARR,136-ARR_v2_11@0,,"Pipeline-based D2T Generation Until the recent surge of end-to-end approaches , using several modules connected in a pipeline was a major approach for D2T generation (Gatt and Krahmer, 2018;Reiter, 2007;Reiter and Dale, 1997).",,"Add,Fact/Evidence",Fact/Evidence
756,136-ARR,136-ARR_v2_11@1,,"Our approach is inspired by the pipeline approaches, in particular the pipelines utilizing neural modules (Ferreira et al., 2019).",,"Add,Fact/Evidence",Fact/Evidence
757,136-ARR,136-ARR_v2_11@2,,"In contrast with these approaches, our pipeline works with unstructured data in natural language and it operates in zero-shot setting, i.e. without using any training data from target D2T datasets.",,"Add,Fact/Evidence",Fact/Evidence
758,136-ARR,136-ARR_v2_11@3,,Laha et al. (2019) introduce a three-step pipeline for zero-shot D2T generation similar to ours.,,"Add,Fact/Evidence",Fact/Evidence
759,136-ARR,136-ARR_v2_17@0,,"In this section, we provide the formal description of our proposed approach.",,"Add,Fact/Evidence",Fact/Evidence
761,136-ARR,136-ARR_v2_18@0,,Our pipeline proceeds as follows.,,"Add,Fact/Evidence",Fact/Evidence
762,136-ARR,136-ARR_v2_19@0,,"(1) transform the triples into facts, which are sentences in natural language, (2) sort the facts using an ordering module, (3) insert sentence delimiters between the sorted facts using an aggregation module, (4) input the ordered sequence of facts with delimiters into a paragraph compression module, which generates the final description Y .",,"Add,Fact/Evidence",Fact/Evidence
763,136-ARR,136-ARR_v2_20@0,,Transforming Triples to Facts,,"Add,Other",Other
764,136-ARR,136-ARR_v2_21@3,,This step can be realized e.g. using a simple template for each predicate (cf. §5.1).,,"Add,Fact/Evidence",Fact/Evidence
765,136-ARR,136-ARR_v2_23@1,,"Note, however, that that F is a indeed set of meaningful sentences.",,"Add,Fact/Evidence",Fact/Evidence
766,136-ARR,136-ARR_v2_23@2,,We can use this to our advantage and apply a sentence ordering model to maximize the coherency of the paragraph resulting from their concatenation.,,"Add,Claim",Claim
767,136-ARR,136-ARR_v2_23@3,,"An example outcome of such operation may be grouping together facts mentioning birth date and birth place of a person, followed by their occupation (see Figure 1).",,"Add,Claim",Claim
768,136-ARR,136-ARR_v2_23@4,,The ordering module allows downstream modules to only focus on operations over neighboring sentences.,,"Add,Fact/Evidence",Fact/Evidence
769,136-ARR,136-ARR_v2_24@0,,"Formally, we apply the ordering model OpF q to get an ordered sequence of facts: F o "" tf o 1 , . . . , f on u, where o 1:n is a permutation of indices.",,"Add,Fact/Evidence",Fact/Evidence
770,136-ARR,136-ARR_v2_26@0,,Some facts will be typically mentioned together in a single sentence.,,"Add,Claim",Claim
771,136-ARR,136-ARR_v2_26@1,,"Considering the previous example, occupation is likely to be mentioned separately, while birth date and birth place are likely to be mentioned together.",,"Add,Claim",Claim
772,136-ARR,136-ARR_v2_26@2,,"Using an ordered sequence of facts as input, we can apply an aggregation model to decide which facts should be merged into a single sentence.",,"Add,Claim",Claim
773,136-ARR,136-ARR_v2_27@2,,We describe our aggregation model in §5.3.,,"Add,Fact/Evidence",Fact/Evidence
774,136-ARR,136-ARR_v2_29@0,,The paragraph compression (PC) model is a generative model which outputs the final text description.,,"Add,Fact/Evidence",Fact/Evidence
775,136-ARR,136-ARR_v2_32@0,,Here we descibe the process of building a largescale synthetic corpus WIKIFLUENT.,,"Add,Fact/Evidence",Fact/Evidence
776,136-ARR,136-ARR_v2_32@1,,"The corpus provides training data for the neural models which we use in our implementation of the ordering, aggregation, and paragraph compression modules (cf. §5).",,"Add,Fact/Evidence",Fact/Evidence
777,136-ARR,136-ARR_v2_35@1,,"Wikipedia is commonly used for large-scale pretraining of D2T generation models (Jin et al., 2020;Chen et al., 2020a).",,"Add,Fact/Evidence",Fact/Evidence
778,136-ARR,136-ARR_v2_35@2,,"Although it is not biasfree, it provides more balanced sample of natural language use than typical D2T generation datasets.",,"Add,Claim",Claim
779,136-ARR,136-ARR_v2_35@3,,"We used the first paragraphs of Wikipedia entries, which contain mostly concise, fact-based descriptions.",,"Add,Claim",Claim
780,136-ARR,136-ARR_v2_42@2,,We apply a split-and-rephrase model on each sentence in the paragraph and resolve coreferences in the split sentences.,,"Add,Fact/Evidence",Fact/Evidence
782,136-ARR,136-ARR_v2_42@3,,The result is a set of simple sentences which together convey the same meaning as the original paragraph.,,"Add,Fact/Evidence",Fact/Evidence
783,136-ARR,136-ARR_v2_42@4,,"The synthesized sentences are used as input into our models, the original human-written texts are used as ground truth.",,"Add,Fact/Evidence",Fact/Evidence
784,136-ARR,136-ARR_v2_44@2,,The process is illustrated in the upper part of Figure 2.,,"Add,Fact/Evidence",Fact/Evidence
785,136-ARR,136-ARR_v2_47@2,,Note that this procedure replaces the referring expressions only in the synthesized sentences (which are used as input) and keeps them in the original paragraphs (which are used as ground truth).,,"Add,Fact/Evidence",Fact/Evidence
786,136-ARR,136-ARR_v2_47@3,,"As a consequence, the paragraph compression module is implicitly trained to generate referring expressions in the final description.",,"Add,Fact/Evidence",Fact/Evidence
787,136-ARR,136-ARR_v2_50@0,,Implementation,,"Add,Other",Other
788,136-ARR,136-ARR_v2_51@0,,"In this section, we describe how we implement our pipeline modules ( §3) using simple template transformations ( §5.1) and neural models trained on the WIKIFLUENT dataset ( §5.2-5.4).",,"Add,Fact/Evidence",Fact/Evidence
789,136-ARR,136-ARR_v2_53@0,,We transform triples into facts ( §3.1) using a singletriple template t i for each predicate.,,"Add,Fact/Evidence",Fact/Evidence
790,136-ARR,136-ARR_v2_53@2,,"We follow previous work in which simple hand-crafted templates have been used as an efficient way of introducing domain knowledge (Kale and Rastogi, 2020a;Kasner and Dušek, 2020a) template generation engines (Laha et al., 2019;Heidari et al., 2021;Mehta et al., 2021), the approach may produce less fluent outputs, but it minimizes manual workload and makes it easier to control the quality of the input for the subsequent steps.",,"Add,Claim",Claim
791,136-ARR,136-ARR_v2_70@0,,Here we expect that the model will learn to fuse the sentences between which there are no delimiters on the input.,,"Add,Claim",Claim
792,136-ARR,136-ARR_v2_72@0,,We train our pipeline modules on the WIKIFLU-ENT corpus as described in §5.,,"Add,Fact/Evidence",Fact/Evidence
793,136-ARR,136-ARR_v2_72@1,,"Next, we use these modules without finetuning for generating descriptions for RDF triples on two English D2T datasets, WebNLG and E2E.",,"Add,Fact/Evidence",Fact/Evidence
794,136-ARR,136-ARR_v2_79@0,,Our main aim is the evaluation of our pipeline on the downstream task of D2T generation.,,"Add,Claim",Claim
795,136-ARR,136-ARR_v2_79@3,,"In §7.4, we include an intrinsic evaluation of our modules on the WIKIFLUENT test set.",,"Add,Fact/Evidence",Fact/Evidence
796,136-ARR,136-ARR_v2_81@3,,"For WebNLG (see Table 3), we compare our systems with the results of:",,"Add,Fact/Evidence",Fact/Evidence
797,136-ARR,136-ARR_v2_83@2,,"Nevertheless, our systems still underperform the state-of-the-art supervised systems.",,"Add,Fact/Evidence",Fact/Evidence
798,136-ARR,136-ARR_v2_83@3,,"For this reason, we further focus on manual error analysis in §7.2 to pinpoint the current shortcomings of our approach.",,"Add,Fact/Evidence",Fact/Evidence
799,136-ARR,136-ARR_v2_85@0,,Manual Error Analysis,,"Add,Other",Other
800,136-ARR,136-ARR_v2_86@0,,"Since automatic performance metrics do not provide insights into specific weaknesses of the system (van Miltenburg et al., 2021), we manually examined 100 outputs of the models.",,"Add,Fact/Evidence",Fact/Evidence
801,136-ARR,136-ARR_v2_88@8,,This behavior is the main obstacle to ensure factual consistency of the output.,,"Add,Claim",Claim
802,136-ARR,136-ARR_v2_88@9,,"As a possible remedy, we propose explicitly controlling the semantics of sentence fusion (Ben-David et al., 2020), e.g. using a variant of constrained decoding (Balakrishnan et al., 2019;.",,"Add,Claim",Claim
803,136-ARR,136-ARR_v2_93@0,,Intrinsic Evaluation,,"Add,Other",Other
804,136-ARR,136-ARR_v2_94@0,,"Aside from the main D2T generation results, we also provide an intrinsic evaluation of our pipeline modules on the WIKIFLUENT test sets.",,"Add,Fact/Evidence",Fact/Evidence
805,136-ARR,136-ARR_v2_94@1,,"We evaluated the ordering, aggregation, and paragraph compression modules trained on the full WIKIFLUENT corpus.",,"Add,Fact/Evidence",Fact/Evidence
806,136-ARR,136-ARR_v2_94@2,,The results for both full and filtered test sets are summarized in Table 7.,,"Add,Fact/Evidence",Fact/Evidence
807,136-ARR,136-ARR_v2_94@3,,"The PC model achieves high scores, which follows from the fact that we provide it with ground truth content plans (i.e., the ordering and aggregation plan corresponding to the original paragraph).",,"Add,Fact/Evidence",Fact/Evidence
808,136-ARR,136-ARR_v2_94@4,,Accuracy of the ordering and aggregation modules is comparable to their performance on D2T datasets.,,"Add,Fact/Evidence",Fact/Evidence
809,136-ARR,136-ARR_v2_96@0,,Our experiments outline several possible future research directions.,,"Add,Claim",Claim
810,136-ARR,136-ARR_v2_96@2,,"The task of paragraph compression could be used as a task-specific pretraining (Gururangan et al., 2020) for more efficient finetuning of D2T models, e.g., with a small amount of clean data.",,"Add,Claim",Claim
811,136-ARR,136-ARR_v2_96@3,,"Consistency checks may be introduced in the pipeline to control the output from the modules, and individual modules may be improved by using more efficient model architectures.",,"Add,Claim",Claim
812,136-ARR,136-ARR_v2_98@0,,Conclusion,,"Add,Other",Other
813,136-ARR,136-ARR_v2_99@0,,We presented an approach for zero-shot D2T generation.,,"Add,Fact/Evidence",Fact/Evidence
814,136-ARR,136-ARR_v2_99@1,,The approach uses a pipeline of PLMs trained on general-domain lexical operations over natural language.,,"Add,Fact/Evidence",Fact/Evidence
815,136-ARR,136-ARR_v2_99@2,,The pipeline builds upon traditional approaches and consists of three interpretable intermediate steps.,,"Add,Fact/Evidence",Fact/Evidence
816,136-ARR,136-ARR_v2_99@3,,"By avoiding noisy human-written references from the D2T datasets, our models produce more semantically consitent output.",,"Add,Fact/Evidence",Fact/Evidence
817,136-ARR,136-ARR_v2_99@4,,We believe that training models for zeroshot D2T generation using large cross-domain corpora will help to build D2T generation systems with good performance across various domains.,,"Add,Claim",Claim
818,136-ARR,136-ARR_v2_100@0,,Limitations and Broader Impact,,"Add,Other",Other
819,136-ARR,136-ARR_v2_101@0,,We study zero-shot D2T generation with the focus on generating descriptions for RDF triples.,,"Add,Fact/Evidence",Fact/Evidence
820,136-ARR,136-ARR_v2_101@1,,"Although the task of D2T generation has numerous applications, using neural models for D2T generation (especially in the zero-shot context) is still limited to experimental settings (Dale, 2020).",,"Add,Claim",Claim
821,136-ARR,136-ARR_v2_101@2,,"Similarly to other recent approaches for D2T generation, our approach relies on PLMs, which are known to reflect the biases in their pretraining corpus (Bender et al., 2021;Rogers, 2021).",,"Add,Fact/Evidence",Fact/Evidence
822,136-ARR,136-ARR_v2_101@3,,Our system may therefore rely on spurious correlations for verbalizing e.g. gender or occupation of the entities.,,"Add,Claim",Claim
823,136-ARR,136-ARR_v2_101@4,,"Since we cannot guarantee the factual correctness of the outputs of our system, the outputs should be used with caution.",,"Add,Claim",Claim
824,136-ARR,136-ARR_v2_102@0,,"On the flip side, our approach helps to reduce the number of omissions and hallucinations stemming from noise in human-written references.",,"Add,Claim",Claim
825,136-ARR,136-ARR_v2_102@1,,Our work thus contributes to the general aim of D2T generation in conveying the data semantics accurately and without relying on implicit world knowledge.,,"Add,Claim",Claim
826,136-ARR,136-ARR_v2_104@2,,Training times were approximately 24 hours for the ordering model and 3 hours for the aggregation and paragraph compression models.,,"Add,Fact/Evidence",Fact/Evidence
1346,166-ARR,166-ARR_v2_20@2,,"For that reason these methods are used mainly for first-stage retrieval, followed by a reranking step.",,"Add,Claim",Claim
1347,166-ARR,166-ARR_v2_45@5,,It maps from article and section titles to relevant paragraphs.,,"Add,Fact/Evidence",Fact/Evidence
1348,166-ARR,166-ARR_v2_45@6,,"Following , we use the automatic by-article annotations variant, which considers all paragraphs within the same article as relevant.",,"Add,Fact/Evidence",Fact/Evidence
1490,172-ARR,172-ARR_v2_22@1,,"The text-image input (X i , Y i ) is paired, and every (X j , Y k ) (j ̸ = k) is a non-pair.",,"Add,Fact/Evidence",Fact/Evidence
1491,172-ARR,172-ARR_v2_28@0,,"The Image-Text Matching (ITM) objective is widely used in multimodal learning (Tan and Bansal, 2020;Radford et al., 2021).",,"Add,Fact/Evidence",Fact/Evidence
1492,172-ARR,172-ARR_v2_28@1,,We modify this objective to same sentence prediction as both streams of our model takes text as input.,,"Add,Fact/Evidence",Fact/Evidence
1493,172-ARR,172-ARR_v2_32@1,,"Same as MLM, 15% of the tokens are randomly selected for reconstruction.",,"Add,Fact/Evidence",Fact/Evidence
1494,172-ARR,172-ARR_v2_32@2,,We address concerns on trivial solutions learned by the model in Section 5 and 9 in the appendix.,,"Add,Fact/Evidence",Fact/Evidence
1495,172-ARR,172-ARR_v2_41@2,,Entries where both models obtain the same performance are set aside.,,"Add,Fact/Evidence",Fact/Evidence
1496,172-ARR,172-ARR_v2_43@3,,"Swapping to wiki reduces potential overfitting from the 20 Epochs setting trained on wiki103, as training for the same amount of steps on wiki is less than 1 epoch.",,"Add,Fact/Evidence",Fact/Evidence
1497,172-ARR,172-ARR_v2_44@3,,"With the CLIPTC objective, the diversity of the input embeddings corresponding to different tokens must be retained in the cross-modal encoder, leading to more robust cross-modal attention.",,"Add,Claim",Claim
1677,178-ARR,178-ARR_v2_88@0,,"We set seeds of torch, torch.cuda, numpy, and random in Python to ensure reproducibility.",,"Add,Fact/Evidence",Fact/Evidence
1678,178-ARR,178-ARR_v2_88@1,,We use a grid search to find the best hyperparameters depending on development set performances.,,"Add,Fact/Evidence",Fact/Evidence
1679,178-ARR,178-ARR_v2_88@3,,"If the contextual embedding learning rate is 3e-5, we use static embedding learning rate and task learning rate as 5e-4 and 3e-5.",,"Add,Fact/Evidence",Fact/Evidence
1680,178-ARR,178-ARR_v2_89@0,,"We introduce the decomposition of triaffine scoring in calculating p i,j,r and p c i,j,r .",,"Add,Fact/Evidence",Fact/Evidence
2023,193-ARR,193-ARR_v2_25@0,,Character-Aware Models Some models are provided with the raw character sequence of each token.,,"Add,Fact/Evidence",Fact/Evidence
2024,193-ARR,193-ARR_v2_25@2,,"However, when no filter is applied, RoBERTa's character-oblivious but highlytuned training process produces embeddings that score higher on SpellingBee, presumably by leveraging implicit similarity functions in the embedding space.",,"Add,Claim",Claim
2025,193-ARR,193-ARR_v2_26@0,,"Although CharacterBERT's embedding layer is better at reconstructing original words (when similarity filters are applied), this does not mean that character-aware models are necessarily better downstream.",,"Add,Claim",Claim
2026,193-ARR,193-ARR_v2_26@1,,El Boukkouri et al. (2020) report performance increases only on the medical domain.,,"Add,Fact/Evidence",Fact/Evidence
2027,193-ARR,193-ARR_v2_27@0,,"In Section 5, we demonstrate that initializing a masked language model's embedding layer with character information has a negligible effect on its perplexity.",,"Add,Fact/Evidence",Fact/Evidence
2028,193-ARR,193-ARR_v2_28@0,,"The first generation of neural word representations (Mikolov et al., 2013a,b) contained only embedding layers, without any contextualization mechanism.",,"Add,Fact/Evidence",Fact/Evidence
2029,193-ARR,193-ARR_v2_28@1,,"We thus use GloVe (Pennington et al., 2014) to estimate a lower bound on character information that can be obtained by simple context-oblivious models.",,"Add,Fact/Evidence",Fact/Evidence
2030,193-ARR,193-ARR_v2_28@2,,We probe the first 50K words in GloVe's vocabulary with SpellingBee.,,"Add,Fact/Evidence",Fact/Evidence
2031,193-ARR,193-ARR_v2_28@3,,"Table 2 shows that GloVe embeddings do contain a weak orthographic signal, better than random embeddings, but substantially weaker than the information stored in the embedding layer of large transformer-based language models.",,"Add,Fact/Evidence",Fact/Evidence
2032,193-ARR,193-ARR_v2_32@0,,"Although there are many possible ways to explicitly add orthographic information to tokens embeddings, our method is relatively straightforward as it gives the model a chance to utilize pre-stored character information.",,"Add,Claim",Claim
2045,195-ARR,195-ARR_v2_60@2,,The final version of the annotation guidelines is included in the resource release (ict.fbk.eu/must-she) and is also retrievable at: https://bit.ly/3CdU50s.,,"Add,Fact/Evidence",Fact/Evidence
2046,195-ARR,195-ARR_v2_68@8,,Figure 6 shows coverage of fully generated agreement chains split into feminine (F) and masculine (M) forms.,,"Add,Fact/Evidence",Fact/Evidence
2061,195-ARR,195-ARR_v2_6@1,,"In fact, to be grammatically correct, each word in the chain has to be inflected with the same (masculine or feminine) gender form.",,"Add,Claim",Claim
2062,195-ARR,195-ARR_v2_17@1,,"As further discussed in in Section 4.2, such a feature enables fine-grained analyses of gender realization, which can also disentangle systems' tendency to (over)generate masculine -over feminine forms -in translation.",,"Add,Claim",Claim
2063,195-ARR,195-ARR_v2_32@4,,"Accordingly, we manage to make our study completely exhaustive by covering every gendermarked instance of MuST-SHE.",,"Add,Fact/Evidence",Fact/Evidence
2064,195-ARR,195-ARR_v2_32@5,,"Also, such additional manual evaluation serves as a proof-ofconcept to ensure the validity of the employed automatic evaluation metrics. .",,"Add,Claim",Claim
2065,195-ARR,195-ARR_v2_40@4,,"Also, note that the outcome of the manual analyses reiterates the results obtained with the automatic evaluation based on accuracy at the word-level, thus confirming its reliability.",,"Add,Fact/Evidence",Fact/Evidence
2365,21-ARR,21-ARR_v2_40@1,,Note that the student is never trained on the quiz set and the teacher only performs meta-update on the quiz set instead of fitting it.,,"Add,Fact/Evidence",Fact/Evidence
2366,21-ARR,21-ARR_v2_40@2,,We do not use a dynamic quiz set strategy because otherwise the student would have been trained on the quiz set and the loss would not be informative.,,"Add,Claim",Claim
2367,21-ARR,21-ARR_v2_44@3,,"For MRPC and QQP, we report both F1 and accuracy.",,"Add,Fact/Evidence",Fact/Evidence
2368,21-ARR,21-ARR_v2_44@4,,"For STS-B, we report Pearson and Spearman correlation.",,"Add,Fact/Evidence",Fact/Evidence
2369,21-ARR,21-ARR_v2_44@5,,The metric for CoLA is Matthew's correlation.,,"Add,Fact/Evidence",Fact/Evidence
2370,21-ARR,21-ARR_v2_44@6,,The other tasks use accuracy as the metric.,,"Add,Fact/Evidence",Fact/Evidence
2371,21-ARR,21-ARR_v2_63@3,,"Although our approach takes more time to achieve its own peak performance, it can match up the performance of PKD (Sun et al., 2019) with a similar time cost.",,"Add,Fact/Evidence",Fact/Evidence
2372,21-ARR,21-ARR_v2_67@0,,MetaDistil focuses on improving the performance of knowledge distillation and does not introduce extra ethical concerns compared to vanilla KD methods.,,"Add,Fact/Evidence",Fact/Evidence
2373,21-ARR,21-ARR_v2_67@1,,"Nevertheless, we would like to point out that as suggested by Hooker et al. (2020), model compression may lead to biases.",,"Add,Fact/Evidence",Fact/Evidence
2374,21-ARR,21-ARR_v2_67@2,,"However, this is not an outstanding problem of our method but a common risk in model compression, which needs to be addressed in the future.",,"Add,Claim",Claim
2375,21-ARR,21-ARR_v2_68@0,,"In MetaDistil, the student is trained in a dynamic manner.",,"Add,Fact/Evidence",Fact/Evidence
2376,21-ARR,21-ARR_v2_68@1,,"To investigate the effect of such a dynamic distillation process, we attempt to use the teacher at the end of MetaDistil training to perform a static conventional KD, to verify the effectiveness of our dynamic distillation strategy.",,"Add,Fact/Evidence",Fact/Evidence
2377,21-ARR,21-ARR_v2_68@2,,"As shown in Table 4, on both experiments, dynamic MetaDistil outperforms conventional KD and static distillation with the teacher at the end of MetaDistil training.",,"Add,Fact/Evidence",Fact/Evidence
2378,21-ARR,21-ARR_v2_68@3,,"As mentioned in Section 3.2, a meta teacher is optimized to transfer its knowledge to a specific student network.",,"Add,Fact/Evidence",Fact/Evidence
2379,21-ARR,21-ARR_v2_68@4,,"To justify this motivation, we conduct experiments using a teacher optimized for the ResNet-32 student to statically distill to the ResNet-20 student, and also in reverse.",,"Add,Fact/Evidence",Fact/Evidence
2380,21-ARR,21-ARR_v2_68@5,,"As shown in Table 4, the cross-taught students underperform the static students taught by their own teachers by 0.27 and 0.12 for ResNet-32 and ResNet-20, respectively.",,"Add,Fact/Evidence",Fact/Evidence
2381,21-ARR,21-ARR_v2_68@6,,This confirms our motivation that the meta teacher in MetaDistil can adjust itself according to its student.,,"Add,Fact/Evidence",Fact/Evidence
2382,21-ARR,21-ARR_v2_70@0,,"We also investigate why MetaDistil works by conducting experiments on the development sets of MNLI, SST, and MRPC, which are important tasks in GLUE that have a large, medium, and small training set, respectively.",,"Add,Fact/Evidence",Fact/Evidence
2383,21-ARR,21-ARR_v2_70@1,,"We illustrate the validation accuracy curves of the meta teacher and student models with training steps in Figure 5, and compare them to the student performance in conventional KD.",,"Add,Fact/Evidence",Fact/Evidence
2384,21-ARR,21-ARR_v2_70@2,,"We can see that the meta teacher maintains high accuracy in the first 5,000 steps and then begins to slowly degrade.",,"Add,Fact/Evidence",Fact/Evidence
2385,21-ARR,21-ARR_v2_70@3,,"Starting from step 8,000, the teacher model underperforms the student while the student's accuracy keeps increasing.",,"Add,Fact/Evidence",Fact/Evidence
2386,21-ARR,21-ARR_v2_70@4,,This verifies our assumption that a model with the best accuracy is not necessarily the optimal teacher.,,"Add,Fact/Evidence",Fact/Evidence
2387,21-ARR,21-ARR_v2_71@0,,"While MetaDistil achieves improved student accuracy on the GLUE benchmark, it is still not very clear where the performance improvement comes from.",,"Add,Claim",Claim
2388,21-ARR,21-ARR_v2_71@1,,"There are two possibilities: (1) the student better mimics the teacher, and (2) the changes of teacher helps student perform better on hard examples that would be incorrectly classified by the student with vanilla KD.",,"Add,Claim",Claim
2389,21-ARR,21-ARR_v2_71@2,,We conduct a series of analysis on the MRPC dataset.,,"Add,Fact/Evidence",Fact/Evidence
2390,21-ARR,21-ARR_v2_72@0,,"For the first assumption, we compute the prediction loyalty (Xu et al., 2021a) of the student model distilled with PKD and MetaDistil, respectively.",,"Add,Fact/Evidence",Fact/Evidence
2391,21-ARR,21-ARR_v2_72@1,,"For MetaDistil, we measure the loyalty with respect to both the original teacher and the final teacher.",,"Add,Fact/Evidence",Fact/Evidence
2392,21-ARR,21-ARR_v2_72@2,,We find that there is no significant difference between between PKD and MetaDistil.,,"Add,Fact/Evidence",Fact/Evidence
2393,21-ARR,21-ARR_v2_72@3,,This suggests that the improvement does not come from student better mimicking the teacher.,,"Add,Claim",Claim
2394,21-ARR,21-ARR_v2_73@0,,"For the second assumption, we first identify the examples in the quiz set for which our model gives correct predictions while the student distilled by PKD makes a wrong prediction.",,"Add,Fact/Evidence",Fact/Evidence
2683,246-ARR,246-ARR_v2_31@1,,The τ value quantifies how similar two system rankings would be if they were computed with two random sets of M input documents.,,"Add,Claim",Claim
2684,246-ARR,246-ARR_v2_31@2,,"When all M test test instances are used, the automatic metrics' rankings become near constant.",,"Add,Claim",Claim
2685,246-ARR,246-ARR_v2_31@3,,The error regions represent ±1 standard deviation.,,"Add,Fact/Evidence",Fact/Evidence
2686,246-ARR,246-ARR_v2_76@0,,"Figs. 10 and 11 contain the r SYS ∆( , u) correlations for ROUGE, BERTScore, and QAEval for various combinations of and u on both the Summ-Eval and REALSumm datasets.",,"Add,Fact/Evidence",Fact/Evidence
2687,246-ARR,246-ARR_v2_77@0,,"To estimate the difference in ROUGE-1 score that is commonly reported in papers, we performed a survey of recently published summarization papers.",,"Add,Fact/Evidence",Fact/Evidence
2688,246-ARR,246-ARR_v2_77@1,,"We selected papers from 2020 and 2021 that were published in a *ACL conference (including Findings), had ""summary"" or ""summarization"" in the title, proposed a new system, and compared systems on the CNN/DailyMail dataset with ROUGE.",,"Add,Fact/Evidence",Fact/Evidence
2689,246-ARR,246-ARR_v2_77@2,,We selected the differences between the best two models that were compared with ROUGE on the test set.,,"Add,Fact/Evidence",Fact/Evidence
